system,commuting_weight_before_fiedler,commuting_weight_after_fiedler,commuting_weight_dmrg_energy_after_fiedler,summed_single_commuting_weight_before_fiedler,summed_single_commuting_weight_after_fiedler,summed_single_commuting_weight_dmrg_energy_after_fiedler
H4chain_eqm,3,3,(-2.1802163490468844-8.465450562766819e-16j),4,4,(-2.180316614323849+1.5152369072506478e-16j)
H4chain_corr,3,4,(-1.8977806459898268-8.018095594662155e-17j),3,4,(-1.897780645989823+3.704257190379961e-16j)
H4chain_diss,2,4,(-1.867291372401352+3.0327070205403343e-16j),3,3,(-1.8670856584307738+1.9421090257687663e-15j)
H4rect_corr,3,3,(-1.915106549511798-8.862181866950371e-16j),3,4,(-1.9151065495117767+2.5350167005382933e-18j)
H4rect_diss,3,3,(-2.201824334245764-6.719861325005016e-17j),3,3,(-2.201825507424334-9.652936641522061e-17j)
LIH_eqm,3,3,(-7.882099970371081-3.427813588530171e-15j),3,3,(-7.882167113344481-1.1880696728147011e-14j)
LIH_corr,3,3,(-7.784029188798111+5.9838202101647475e-15j),3,3,(-7.784039338580201+8.590350653037149e-15j)
H2O_eqm,5,5,(-75.01906853806402+1.0555445406623676e-13j),5,5,(-75.0190934755887+4.427014310692812e-15j)
H2O_corr,4,4,(-74.75222336909782-1.8180171258982712e-15j),4,4,(-74.75273748632532-1.3079815008865125e-14j)
H2O_diss,1,1,(-74.73697627424079+1.2484457911909885e-13j),2,1,(-74.73697627423016-5.524554514817028e-14j)
N2frozen_eqm,14,12,(-107.6755619737917-1.6697754290362354e-13j),14,12,(-107.67549541752585+4.829470157119431e-15j)
N2frozen_corr,12,12,(-107.62237242573792+9.264791679914968e-14j),30,14,(-107.62194733924211+6.0923488476305465e-15j)
N2frozen_diss,10,14,(-107.44378843421157+1.361036256570733e-13j),16,14,(-107.44357803090907-9.461926420677545e-15j)
