system,benchmark,dataset_tag,fiedler,n_qubits,dmrg_bd,dmrg_energy
BeH2_eqm,Original Qubit,,False,14,5,(-15.593975408795975+7.161874817099745e-15j)
BeH2_eqm,HCT N/2,HCT N/2 Comm,False,14,5,(-15.594539013839126-1.4669565539084908e-13j)
BeH2_eqm,HCT N,HCT N Comm,False,14,4,(-15.594719008595145-1.295565493211208e-15j)
BeH2_eqm,HCT+BLISS N,Pauli BLISS+HCT N Comm,False,14,4,(-15.594719008595247-1.3026259639982642e-14j)
BeH2_eqm,BS N/2,BS N/2 Comm,False,14,4,(-15.59495214615+1.2479343131265035e-14j)
BeH2_eqm,BS N,BS N Comm,False,14,3,(-15.594636677526642+3.913743116249404e-14j)
BeH2_eqm,BS N + Fiedler,BS N Comm,True,14,3,(-15.59461373085795+1.59089204261259e-14j)
BeH2_corr,Original Qubit,,False,14,12,(-15.445146361980154+1.54682715205385e-15j)
BeH2_corr,HCT N/2,HCT N/2 Comm,False,14,8,(-15.44468040451363-5.236271599778665e-14j)
BeH2_corr,HCT N,HCT N Comm,False,14,5,(-15.445501053061257+1.0511944001413014e-15j)
BeH2_corr,HCT+BLISS N,Pauli BLISS+HCT N Comm,False,14,5,(-15.445890196641233+9.953439309140435e-15j)
BeH2_corr,BS N/2,BS N/2 Comm,False,14,4,(-15.444670448988495+1.6102674443621252e-15j)
BeH2_corr,BS N,BS N Comm,False,14,5,(-15.445090175227472+1.921540193977507e-14j)
BeH2_corr,BS N + Fiedler,BS N Comm,True,14,4,(-15.444800575791875+1.4708255578996161e-15j)
BeH2_diss,Original Qubit,,False,14,9,(-15.3354147599046+6.339337119176245e-15j)
BeH2_diss,HCT N/2,HCT N/2 Comm,False,14,7,(-15.335693383939743+1.436190346088137e-13j)
BeH2_diss,HCT N,HCT N Comm,False,14,3,(-15.33610166630756-9.256742422425797e-15j)
BeH2_diss,HCT+BLISS N,Pauli BLISS+HCT N Comm,False,14,3,(-15.336101666307568-8.917589780641295e-15j)
BeH2_diss,BS N/2,BS N/2 Comm,False,14,4,(-15.33548441389598-1.2115407950155514e-13j)
BeH2_diss,BS N,BS N Comm,False,14,4,(-15.336547060898244-1.7263188932508378e-14j)
BeH2_diss,BS N + Fiedler,BS N Comm,True,14,4,(-15.33655067537735+1.5991437504481257e-14j)
