frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation
N2_corr_iter000_baseline,block2_pauli,1,-107.27244850120636,0.30918642097607574,False,0.5505202089989325,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.52694981960468, -107.27244850120636, -107.27244850120636, -107.27244850120636, -107.27244850120636, -107.27244850120636, -107.27244850120636]","[0.11278708300960716, 0.06586379199870862, 0.0702182919922052, 0.08285474999865983, 0.06444708300114144, 0.06126545800361782, 0.06034991701017134]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,2,-107.37282419015715,0.20881073202528455,False,0.5217740000080084,2,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-107.52694981960468, -107.37282419014919, -107.37282419015696, -107.37282419015716, -107.37282419015716, -107.37282419015716, -107.37282419015715]","[0.0806605830002809, 0.06914712500292808, 0.05541166699549649, 0.09048708299815189, 0.07786750000377651, 0.0572166250058217, 0.05223483398731332]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,3,-107.44681947559494,0.13481544658749556,False,0.4481379589997232,3,True,False,False,100,7,1e-06,9.805489753489383e-13,0.0,"[-107.52694981960468, -107.44666429198804, -107.44666429961993, -107.44681946083443, -107.44681946083662, -107.44681947559395, -107.44681947559494]","[0.07139537499460857, 0.062096666006254964, 0.05843212499166839, 0.05656312500650529, 0.060572999995201826, 0.05375079199438915, 0.05452366700046696]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,4,-107.46107378899538,0.12056113318705286,False,0.6399988339981064,4,True,False,False,100,10,1e-06,3.1934166599967284e-07,0.0,"[-107.52694981960468, -107.46029779815632, -107.46100460014583, -107.4610487997285, -107.46104855539784, -107.46103161333824, -107.46116561560962, -107.46116348793575, -107.46107346965371, -107.46107378899538]","[0.07446020799397957, 0.062149124991265126, 0.06133595800201874, 0.062081666008452885, 0.05601737499819137, 0.060939041009987704, 0.05363708300865255, 0.057063250002101995, 0.0554011670028558, 0.06444216700037941]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,5,-107.4737154110648,0.10791951111762899,False,0.8089612920011859,5,True,False,False,100,12,1e-06,4.451165125374246e-08,0.0,"[-107.52694981960471, -107.4731124530611, -107.47317998369004, -107.47322164828645, -107.47393792102044, -107.47394178514608, -107.47337441545245, -107.4733762581538, -107.4735030637232, -107.47350413556006, -107.47371536655315, -107.4737154110648]","[0.07717758399667218, 0.061807499994756654, 0.0791390840022359, 0.0643160000036005, 0.05926075000024866, 0.06611683301161975, 0.06414245899941307, 0.05948337499285117, 0.0634062500030268, 0.062831917006406, 0.059353167001972906, 0.05799566599307582]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,6,-107.49187315445184,0.08976176773059308,False,0.5817862080002669,6,True,False,False,100,8,1e-06,5.448978868116683e-08,0.0,"[-107.52694981960471, -107.49131123216507, -107.49147228109217, -107.4915314696834, -107.49157946168944, -107.49156701517504, -107.49187309996205, -107.49187315445184]","[0.0778356250084471, 0.0656920000037644, 0.06544545799260959, 0.06591779200243764, 0.08651020801335108, 0.06581312499474734, 0.05971854200470261, 0.06475112499902025]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,7,-107.50615362945871,0.0754812927237225,False,0.6310737910098396,7,True,False,False,100,8,1e-06,2.20469189571304e-08,0.0,"[-107.52694981960474, -107.506000027535, -107.507643137549, -107.50764352125614, -107.50606789233706, -107.50606789332835, -107.50615365150563, -107.50615362945871]","[0.08732879199669696, 0.08029762499791104, 0.07713120899279602, 0.07887858399772085, 0.07347837500856258, 0.07008250000944827, 0.06852108301245607, 0.06317983400367666]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,8,-107.51193555657238,0.06969936561004886,False,0.6672470409976086,8,True,False,False,100,8,1e-06,3.337788712087786e-09,0.0,"[-107.52694981960474, -107.51267529291519, -107.51340726884177, -107.51340814235661, -107.51235347949806, -107.51235342739145, -107.51193555991017, -107.51193555657238]","[0.07960895900032483, 0.07334783401165623, 0.07142020799801685, 0.07077229100104887, 0.07117733400082216, 0.07124829200620297, 0.12402287499571685, 0.07455237499380019]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,9,-107.52002697355772,0.06160794862471164,False,0.6366320829984033,9,True,False,False,100,8,1e-06,2.2504593744088197e-09,0.0,"[-107.52694981960474, -107.51973311864855, -107.51976315024186, -107.51976335900358, -107.52002315022992, -107.52002315351886, -107.52002697130726, -107.52002697355772]","[0.08838387500145473, 0.07681991699791979, 0.07524008399923332, 0.07788716700451914, 0.07136129200807773, 0.07699370899354108, 0.06809370900737122, 0.0678922499937471]",N2_corr,0,baseline
N2_corr_iter000_baseline,block2_pauli,10,-107.5215099340481,0.060124988134333535,False,1.7703208340099081,10,True,False,False,100,20,1e-06,1.3933342302152596e-07,0.0,"[-107.52694981960474, -107.52234709434083, -107.52116020606984, -107.52116119215663, -107.52116982146339, -107.52116997726714, -107.52095141504786, -107.52095269555588, -107.52117229626111, -107.52118134673624, -107.52124352166082, -107.52129643999335, -107.52134682219217, -107.5214344298512, -107.52148050094587, -107.52149846747952, -107.52150418098434, -107.52150608682771, -107.52150979471467, -107.5215099340481]","[0.08734312500746455, 0.09052645799238235, 0.08905541599960998, 0.08790754100482445, 0.08022945899574552, 0.08657020800455939, 0.08376458300335798, 0.08782662499288563, 0.08316787501098588, 0.08678850000433158, 0.12936949999129865, 0.09531099999730941, 0.08441041701007634, 0.09157174998836126, 0.08201787500001956, 0.07919191601104103, 0.07754420899436809, 0.0797789170028409, 0.07475099999282975, 0.07578854101302568]",N2_corr,0,baseline
