frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation
N2_corr_iter003_beam_fiedler,block2_pauli,1,-107.51206121455266,0.06957370762977177,False,0.59641208400717,1,True,False,False,100,7,1e-06,7.494569160826359e-07,0.0,"[-107.53143591400412, -107.51234022341771, -107.5121808045063, -107.51210494302981, -107.5121090752117, -107.51206046509574, -107.51206121455266]","[0.09781466700951569, 0.0812777919927612, 0.07835629201144911, 0.07855695800390095, 0.07174512499477714, 0.07738112499646377, 0.07423379100509919]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,2,-107.53457057810614,0.0470643440762899,False,0.6499328339996282,2,True,False,False,100,7,1e-06,5.349355092221231e-08,0.0,"[-107.54279062476571, -107.53392491245862, -107.53390796796756, -107.53459381123521, -107.53458863241676, -107.53457052461259, -107.53457057810614]","[0.09863949999271426, 0.07014320899907034, 0.07048729198868386, 0.12426820799009874, 0.08480416699603666, 0.09072529099648818, 0.07017512500169687]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,3,-107.55845312729305,0.02318179488938199,False,1.0157600420061499,3,True,False,False,100,13,1e-06,8.820898500516705e-07,0.0,"[-107.56409438412899, -107.55775351599729, -107.55781858022334, -107.55835733661615, -107.55845206576828, -107.55844264516611, -107.55846728970707, -107.55845078378178, -107.55845889164297, -107.55845207083905, -107.55845474413212, -107.5584522452032, -107.55845312729305]","[0.09433804200671148, 0.08048491699446458, 0.07298183300008532, 0.07886954199057072, 0.0716415000060806, 0.07378083399089519, 0.06814070801192429, 0.07039970900223125, 0.07695891700859647, 0.07250904200191144, 0.06984741700580344, 0.07620670799224172, 0.06878775000222959]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,4,-107.5671052922028,0.014529629979634251,False,1.9368848750018515,4,True,False,False,100,24,1e-06,5.607910367189106e-07,0.0,"[-107.56959827476965, -107.56623510269023, -107.56687315544505, -107.56685453868947, -107.56670811270467, -107.56669141149457, -107.56654243737665, -107.56654035934976, -107.56653818810025, -107.56652684647122, -107.56705002949182, -107.5670312838577, -107.56724618252309, -107.56723066058919, -107.56717109485385, -107.56716535163815, -107.56714169497906, -107.56713880954216, -107.56712300864204, -107.56712133123925, -107.5671119444572, -107.56711093868864, -107.56710585299383, -107.5671052922028]","[0.09888516701175831, 0.0848010829940904, 0.08180025000183377, 0.08221570801106282, 0.08071062499948312, 0.09480295899265911, 0.08348608299274929, 0.07654758301214315, 0.07771612500073388, 0.07586983300279826, 0.07348295900737867, 0.0721303330064984, 0.07582158299919683, 0.07513108299463056, 0.07573687499098014, 0.07630212498770561, 0.07500654199975543, 0.07445758399262559, 0.07536483299918473, 0.07785791700007394, 0.07352866699511651, 0.0738164580106968, 0.07846429200435523, 0.07454329200845677]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,5,-107.57291342157991,0.008721500602518972,False,1.9479077080031857,5,True,False,False,100,22,1e-06,9.797503111030892e-07,0.0,"[-107.57216060097842, -107.5718000113142, -107.57226731243495, -107.57232002661974, -107.57240248767229, -107.57264087425159, -107.5728918167852, -107.57304228278866, -107.5730850046056, -107.57308853909154, -107.57306061978605, -107.57305254967991, -107.57301491331332, -107.5730083500762, -107.5729757213835, -107.57297148300563, -107.57294700649962, -107.57294440204396, -107.57292737977178, -107.57292578785257, -107.57291440133022, -107.57291342157991]","[0.1007287910033483, 0.09179591700376477, 0.0864552089915378, 0.0870739579986548, 0.08869183399656322, 0.08874237499549054, 0.10609145800117403, 0.08239162500831299, 0.08335400000214577, 0.08244883299630601, 0.0848445829906268, 0.0829475420032395, 0.08422874999814667, 0.08250849999603815, 0.08187466599338222, 0.08339795799111016, 0.08436362499196548, 0.0819463329971768, 0.08264816699374933, 0.08700499999395106, 0.08379554099519737, 0.08450745799927972]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,6,-107.57717611874793,0.004458803434502556,False,0.8269606249959907,6,True,False,False,100,8,1e-06,1.7261704954307788e-07,0.0,"[-107.57560117031707, -107.57703633649717, -107.57729493841666, -107.57729379319333, -107.57720788591271, -107.57720711541657, -107.57717629136498, -107.57717611874793]","[0.12840245800907724, 0.09743937500752509, 0.09798725000291597, 0.09387083401088603, 0.09429508300672751, 0.09605470800306648, 0.09285612500389107, 0.09075925000070129]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,7,-107.57876963261057,0.002865289571857943,False,0.757028416992398,7,True,False,False,100,7,1e-06,8.410502516653651e-08,0.0,"[-107.57786039920124, -107.57862462026488, -107.57877311998973, -107.57877023098368, -107.57876999252834, -107.5787697167156, -107.57876963261057]","[0.1046888749988284, 0.1015075000032084, 0.1037374580046162, 0.10254141699988395, 0.10629979100485798, 0.1073780419974355, 0.09631166700273752]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,8,-107.57929995027001,0.002334971912418382,False,0.6964846670016414,8,True,False,False,100,7,1e-06,7.290196890608058e-08,0.0,"[-107.57840218708517, -107.57922467792349, -107.57929059260897, -107.57930064518018, -107.57930087254572, -107.57930002317198, -107.57929995027001]","[0.10997241700533777, 0.09419699999853037, 0.09260179199918639, 0.09053104199119844, 0.09344462500303052, 0.09089666699583177, 0.09040416599600576]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,9,-107.57979365087053,0.0018412713119033697,False,0.8585567909904057,9,True,False,False,100,7,1e-06,4.881699027237119e-07,0.0,"[-107.5790829304642, -107.57970934954055, -107.57979144665615, -107.5797937515145, -107.57979798979211, -107.57979413904043, -107.57979365087053]","[0.12350025000341702, 0.11476929199125152, 0.12327237499994226, 0.11695904198859353, 0.11509695800486952, 0.11675766699772794, 0.11240270800772123]",N2_corr,3,beam_fiedler
N2_corr_iter003_beam_fiedler,block2_pauli,10,-107.58015978104166,0.001475141140772962,True,0.9019827500014799,10,True,False,False,100,7,1e-06,4.903432682112907e-08,0.0,"[-107.57941089821722, -107.58005553275291, -107.5801424187108, -107.58015604601277, -107.58015853054533, -107.58015983007598, -107.58015978104166]","[0.13009449999663047, 0.12423245800891891, 0.1253758750099223, 0.12164787499932572, 0.12617441698967014, 0.1217856660077814, 0.11785704198700842]",N2_corr,3,beam_fiedler
