frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,iteration,representation
N2_eqm_iter000_baseline,block2_pauli,1,-107.49650051179765,0.15762193572489025,False,0.6163606670015724,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.6416702478832, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765, -107.49650051179765]","[0.11147975000494625, 0.07697833300335333, 0.08155041700229049, 0.07816295900556725, 0.07220854199840687, 0.0751010829990264, 0.06980504200328141]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,2,-107.53451950226793,0.11960294525461279,False,0.5346545409993269,2,True,False,False,100,7,1e-06,2.842170943040401e-14,0.0,"[-107.6416702478832, -107.53735933751366, -107.53451950226793, -107.53451950226793, -107.53451950226794, -107.53451950226795, -107.53451950226793]","[0.09722808399237692, 0.07054195899399929, 0.0692545829951996, 0.06427445799636189, 0.05877241599955596, 0.0670660829928238, 0.060110249993158504]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,3,-107.57629475525889,0.0778276922636536,False,0.7072144160047174,3,True,False,False,100,10,1e-06,7.637634951151995e-07,0.0,"[-107.6416702478832, -107.57416522756705, -107.5750911739629, -107.57514335991313, -107.57515302328956, -107.57514642318654, -107.57514762771875, -107.57515161965645, -107.57629399149539, -107.57629475525889]","[0.0833526670030551, 0.06806095798674505, 0.06436337500053924, 0.06224600000132341, 0.060403291005059145, 0.06615008300286718, 0.0750079999997979, 0.06591600000683684, 0.05648295900027733, 0.056525250009144656]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,4,-107.58678751381993,0.06733493370261101,False,0.8171935419959482,4,True,False,False,100,11,1e-06,9.79258530264815e-07,0.0,"[-107.64167024788321, -107.5851942040261, -107.58582544045495, -107.58592034404336, -107.58591852246535, -107.58591558560215, -107.5859278719827, -107.58593190483455, -107.58678745899192, -107.58678849307846, -107.58678751381993]","[0.08737375000782777, 0.06814841700543184, 0.06347212499531452, 0.06549349999113474, 0.062266000008094124, 0.07847541599767283, 0.06019758300681133, 0.06279133299540263, 0.06685625000682194, 0.06538699999509845, 0.0840967499971157]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,5,-107.59915772160554,0.054964725917002966,False,0.862223542004358,5,True,False,False,100,10,1e-06,2.918847314958839e-07,0.0,"[-107.64167024788321, -107.59898684450582, -107.5986706951048, -107.59862998025619, -107.59911525304332, -107.59911622114085, -107.5986505565804, -107.59865552684582, -107.5991574297208, -107.59915772160554]","[0.0898918339953525, 0.07950833300128579, 0.1392549590091221, 0.09237379199475981, 0.07865170799777843, 0.07444674998987466, 0.06676187500124797, 0.0670948749902891, 0.06341558399435598, 0.06861870900320355]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,6,-107.60139321702097,0.05272923050156919,False,0.6562248339905636,6,True,False,False,100,8,1e-06,9.576679360634444e-08,0.0,"[-107.64167024788321, -107.60120460178408, -107.60133573921561, -107.60134036255438, -107.60139778320736, -107.60139828448973, -107.60139312125418, -107.60139321702097]","[0.09285316699242685, 0.09804770800110418, 0.06756774999666959, 0.07245295800385065, 0.07158762498875149, 0.0718984580016695, 0.07147812499897555, 0.07185975000902545]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,7,-107.6106979832435,0.043424464279041786,False,0.6509066250000615,7,True,False,False,100,8,1e-06,8.286231434340152e-08,0.0,"[-107.64167024788321, -107.6112025981625, -107.61145485937865, -107.6114540655937, -107.61117930228173, -107.61107686968658, -107.61069790038118, -107.6106979832435]","[0.08772424999915529, 0.07494150000275113, 0.07658820800133981, 0.07872854199376889, 0.0773638340033358, 0.07619225000962615, 0.06899258299381472, 0.07133445898944046]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,8,-107.61071504506305,0.04340740245949348,False,1.7301223329995992,8,True,False,False,100,22,1e-06,7.318032544390007e-07,0.0,"[-107.64167024788321, -107.61054470511439, -107.61054323993073, -107.61056570720876, -107.61053494083404, -107.61055016297902, -107.61064505215995, -107.61064619869127, -107.61056793254221, -107.61057259285056, -107.61055351796367, -107.61055160611951, -107.61068335929147, -107.61068540220086, -107.61056496536773, -107.61056635549534, -107.61056341860598, -107.61056551547946, -107.61056323964624, -107.61055779530436, -107.6107157768663, -107.61071504506305]","[0.09118845900229644, 0.07555745801073499, 0.07827266599633731, 0.07645712500379886, 0.07341950001136865, 0.07928216599975713, 0.07308958399516996, 0.07118108301074244, 0.07818954199319705, 0.0828397919976851, 0.06927037501009181, 0.07334654100122862, 0.07720975000120234, 0.10223891701025423, 0.07384616599301808, 0.07469074999971781, 0.07031825000012759, 0.07144008300383575, 0.06990404200041667, 0.06970166700193658, 0.08320329200068954, 0.06956404200172983]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,9,-107.61604595104842,0.038076496474118926,False,0.612245583004551,9,True,False,False,100,7,1e-06,1.0668085792531201e-07,0.0,"[-107.64167024788321, -107.61585089604841, -107.61601526270013, -107.61604109024128, -107.61604518710189, -107.61604584436756, -107.61604595104842]","[0.09995216601237189, 0.08213974999671336, 0.08073083299677819, 0.08237849999568425, 0.07624283300538082, 0.08085554199351463, 0.07212404199526645]",N2_eqm,0,baseline
N2_eqm_iter000_baseline,block2_pauli,10,-107.61839739312055,0.03572505440199336,False,0.7331752910104115,10,True,False,False,100,8,1e-06,3.385713398529333e-08,0.0,"[-107.64167024788321, -107.61832996320834, -107.61840501842485, -107.61853551925903, -107.61855684464884, -107.6185591624386, -107.61839735926341, -107.61839739312055]","[0.10443308399408124, 0.08667416698881425, 0.08002504199976102, 0.0874396660074126, 0.0845359999948414, 0.08715895900968462, 0.07900241699826438, 0.08389158399950247]",N2_eqm,0,baseline
