qubit_i,qubit_j,mutual_information_bits
0,1,6.636734076397842e-11
0,2,1.908743000088656e-07
0,3,4.985460195713887e-10
0,6,3.309319485111928e-11
0,7,3.309319485111928e-11
0,8,3.302753214251553e-07
0,9,2.082226091548733e-08
0,10,3.309330587342174e-11
0,11,3.309330587342174e-11
0,12,3.309319485111928e-11
0,13,3.309319485111928e-11
1,2,8.797506312850645e-10
1,3,3.937707688753816e-07
1,6,1.568034591059586e-11
1,7,1.568034591059586e-11
1,8,1.615361777673741e-08
1,9,7.080000087311689e-07
1,10,1.568045693289832e-11
1,11,1.568045693289832e-11
1,12,1.568056795520079e-11
1,13,1.568056795520079e-11
2,3,1.179368617225743e-06
2,6,5.298066231285148e-07
2,7,5.298066231285148e-07
2,8,0.002517508835079729
2,9,0.0003260340256123762
2,10,5.298066231285148e-07
2,11,5.298066231285148e-07
2,12,5.298066232395371e-07
2,13,5.298066232395371e-07
3,6,2.51089963598794e-07
3,7,2.51089963598794e-07
3,8,0.0002435424640762074
3,9,0.005620437420804647
3,10,2.510899637098163e-07
3,11,2.510899637098163e-07
3,12,2.510899637098163e-07
3,13,2.510899637098163e-07
6,7,0.9130422505077638
6,8,0.001284387634202133
6,9,0.00128311098198397
6,10,0.001285538166345468
6,11,0.001285538166345468
6,12,0.00128553816634458
6,13,0.00128553816634458
7,8,0.001284387634202133
7,9,0.00128311098198397
7,10,0.001285538166345468
7,11,0.001285538166345468
7,12,0.00128553816634458
7,13,0.00128553816634458
8,9,0.9064488180781125
8,10,0.001284387634204132
8,11,0.001284387634204132
8,12,0.001284387634203021
8,13,0.001284387634203021
9,10,0.001283110981986413
9,11,0.001283110981986413
9,12,0.001283110981984859
9,13,0.001283110981984859
10,11,0.9130422505077938
10,12,0.001285538166346356
10,13,0.001285538166346356
11,12,0.001285538166346356
11,13,0.001285538166346356
12,13,0.9130422505077747
