q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,6.636734076397841919e-11,1.908743000088655717e-07,4.985460195713886655e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.309319485111927861e-11,3.309319485111927861e-11,3.302753214251552549e-07,2.082226091548733393e-08,3.309330587342174113e-11,3.309330587342174113e-11,3.309319485111927861e-11,3.309319485111927861e-11
6.636734076397841919e-11,0.000000000000000000e+00,8.797506312850644772e-10,3.937707688753816493e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.568034591059586091e-11,1.568034591059586091e-11,1.615361777673740562e-08,7.080000087311688617e-07,1.568045693289832343e-11,1.568045693289832343e-11,1.568056795520078595e-11,1.568056795520078595e-11
1.908743000088655717e-07,8.797506312850644772e-10,0.000000000000000000e+00,1.179368617225742821e-06,0.000000000000000000e+00,0.000000000000000000e+00,5.298066231285147865e-07,5.298066231285147865e-07,2.517508835079729224e-03,3.260340256123761549e-04,5.298066231285147865e-07,5.298066231285147865e-07,5.298066232395370889e-07,5.298066232395370889e-07
4.985460195713886655e-10,3.937707688753816493e-07,1.179368617225742821e-06,0.000000000000000000e+00,1.604619215278546562e-16,1.604619215278546562e-16,2.510899635987939860e-07,2.510899635987939860e-07,2.435424640762073878e-04,5.620437420804647033e-03,2.510899637098162884e-07,2.510899637098162884e-07,2.510899637098162884e-07,2.510899637098162884e-07
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.604619215278546562e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.110223024625156540e-16,1.110223024625156540e-16,2.220446049250313081e-16,2.220446049250313081e-16
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.604619215278546562e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.110223024625156540e-16,1.110223024625156540e-16,2.220446049250313081e-16,2.220446049250313081e-16
3.309319485111927861e-11,1.568034591059586091e-11,5.298066231285147865e-07,2.510899635987939860e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.130422505077637751e-01,1.284387634202133199e-03,1.283110981983970333e-03,1.285538166345467914e-03,1.285538166345467914e-03,1.285538166344579736e-03,1.285538166344579736e-03
3.309319485111927861e-11,1.568034591059586091e-11,5.298066231285147865e-07,2.510899635987939860e-07,0.000000000000000000e+00,0.000000000000000000e+00,9.130422505077637751e-01,0.000000000000000000e+00,1.284387634202133199e-03,1.283110981983970333e-03,1.285538166345467914e-03,1.285538166345467914e-03,1.285538166344579736e-03,1.285538166344579736e-03
3.302753214251552549e-07,1.615361777673740562e-08,2.517508835079729224e-03,2.435424640762073878e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.284387634202133199e-03,1.284387634202133199e-03,0.000000000000000000e+00,9.064488180781125060e-01,1.284387634204131601e-03,1.284387634204131601e-03,1.284387634203021378e-03,1.284387634203021378e-03
2.082226091548733393e-08,7.080000087311688617e-07,3.260340256123761549e-04,5.620437420804647033e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.283110981983970333e-03,1.283110981983970333e-03,9.064488180781125060e-01,0.000000000000000000e+00,1.283110981986412824e-03,1.283110981986412824e-03,1.283110981984858512e-03,1.283110981984858512e-03
3.309330587342174113e-11,1.568045693289832343e-11,5.298066231285147865e-07,2.510899637098162884e-07,1.110223024625156540e-16,1.110223024625156540e-16,1.285538166345467914e-03,1.285538166345467914e-03,1.284387634204131601e-03,1.283110981986412824e-03,0.000000000000000000e+00,9.130422505077937512e-01,1.285538166346356093e-03,1.285538166346356093e-03
3.309330587342174113e-11,1.568045693289832343e-11,5.298066231285147865e-07,2.510899637098162884e-07,1.110223024625156540e-16,1.110223024625156540e-16,1.285538166345467914e-03,1.285538166345467914e-03,1.284387634204131601e-03,1.283110981986412824e-03,9.130422505077937512e-01,0.000000000000000000e+00,1.285538166346356093e-03,1.285538166346356093e-03
3.309319485111927861e-11,1.568056795520078595e-11,5.298066232395370889e-07,2.510899637098162884e-07,2.220446049250313081e-16,2.220446049250313081e-16,1.285538166344579736e-03,1.285538166344579736e-03,1.284387634203021378e-03,1.283110981984858512e-03,1.285538166346356093e-03,1.285538166346356093e-03,0.000000000000000000e+00,9.130422505077746553e-01
3.309319485111927861e-11,1.568056795520078595e-11,5.298066232395370889e-07,2.510899637098162884e-07,2.220446049250313081e-16,2.220446049250313081e-16,1.285538166344579736e-03,1.285538166344579736e-03,1.284387634203021378e-03,1.283110981984858512e-03,1.285538166346356093e-03,1.285538166346356093e-03,9.130422505077746553e-01,0.000000000000000000e+00
