qubit_i,qubit_j,mutual_information_bits
0,1,2.531659011523967e-07
0,2,1.025212165342571e-06
0,3,9.868292710369514e-07
0,4,5.92524098362579e-12
0,5,5.923905463389723e-12
0,6,1.720858133769099e-08
0,7,7.08718006503517e-09
0,8,1.763025414547315e-07
0,9,8.6765372664388e-11
0,10,5.692518167954574e-08
0,11,6.642572702997285e-08
0,12,5.991916751657556e-08
0,13,3.355515987291113e-08
1,2,9.86829273611281e-07
1,3,3.822651466200977e-10
1,4,5.926915642301411e-12
1,5,5.922299543131837e-12
1,6,7.087178954812146e-09
1,7,1.720858044951257e-08
1,8,8.676193097301166e-11
1,9,1.291914625056734e-06
1,10,6.642572636383903e-08
1,11,5.625051791025015e-08
1,12,3.355515565406364e-08
1,13,5.991916995906621e-08
2,3,0.001113788897537073
2,4,1.388875672803103e-08
2,5,1.388875423176394e-08
2,6,3.243070677827475e-05
2,7,1.374558531130887e-05
2,8,0.0009885367148415591
2,9,2.138772980941894e-08
2,10,0.005890212232440906
2,11,0.0001043976692176596
2,12,4.950177994866856e-05
2,13,8.006499391255417e-06
3,4,1.388875728314254e-08
3,5,1.388875640710718e-08
3,6,1.374558531019865e-05
3,7,3.243070677960702e-05
3,8,2.138772992044125e-08
3,9,0.004012546098543068
3,10,0.0001043976692182147
3,11,0.003254575524714753
3,12,8.00649938992315e-06
3,13,4.950177995044491e-05
4,5,0.001820988280534899
4,6,2.379030729871001e-05
4,7,2.379030730248477e-05
4,8,1.307176352460804e-05
4,9,1.307176352349781e-05
4,10,3.013473347057705e-05
4,11,3.013473346680229e-05
4,12,4.102266073113814e-05
4,13,4.102266073158223e-05
5,6,2.379030730048637e-05
5,7,2.379030730093046e-05
5,8,1.307176352449702e-05
5,9,1.307176352216555e-05
5,10,3.013473346746842e-05
5,11,3.013473346447082e-05
5,12,4.102266072991689e-05
5,13,4.102266072780747e-05
6,7,0.1872800724914192
6,8,0.004030508161703805
6,9,0.07272139778454734
6,10,0.04448512921508874
6,11,0.0005577441453386012
6,12,0.3303543202685326
6,13,0.5058848228722452
7,8,0.07272139778437725
7,9,0.004030508161673607
7,10,0.0005577441453445964
7,11,0.04448512921500614
7,12,0.5058848228720516
7,13,0.330354320271129
8,9,0.2055874685298298
8,10,0.346097866550988
8,11,0.5295416978127254
8,12,0.0445222364407587
8,13,0.0005539305384534288
9,10,0.5295416978128862
9,11,0.346131628869103
9,12,0.000553930538449654
9,13,0.04452223644083131
10,11,0.2057984196297644
10,12,0.004035096563314244
10,13,0.07271145329315676
11,12,0.07271145329312856
11,13,0.004035096563289153
12,13,0.1874226744373548
