q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,2.531659011523967287e-07,1.025212165342570536e-06,9.868292710369513943e-07,5.925240983625790214e-12,5.923905463389722570e-12,1.720858133769098686e-08,7.087180065035170173e-09,1.763025414547314540e-07,8.676537266438799634e-11,5.692518167954574437e-08,6.642572702997284750e-08,5.991916751657555551e-08,3.355515987291113333e-08
2.531659011523967287e-07,0.000000000000000000e+00,9.868292736112810326e-07,3.822651466200976955e-10,5.926915642301411324e-12,5.922299543131837041e-12,7.087178954812145548e-09,1.720858044951256716e-08,8.676193097301165835e-11,1.291914625056733712e-06,6.642572636383903273e-08,5.625051791025015291e-08,3.355515565406363976e-08,5.991916995906620969e-08
1.025212165342570536e-06,9.868292736112810326e-07,0.000000000000000000e+00,1.113788897537073413e-03,1.388875672803102646e-08,1.388875423176394452e-08,3.243070677827475379e-05,1.374558531130887218e-05,9.885367148415591387e-04,2.138772980941894275e-08,5.890212232440905638e-03,1.043976692176595833e-04,4.950177994866855613e-05,8.006499391255417208e-06
9.868292710369513943e-07,3.822651466200976955e-10,1.113788897537073413e-03,0.000000000000000000e+00,1.388875728314253877e-08,1.388875640710718340e-08,1.374558531019864915e-05,3.243070677960702142e-05,2.138772992044124521e-08,4.012546098543068318e-03,1.043976692182146948e-04,3.254575524714753421e-03,8.006499389923149579e-06,4.950177995044491297e-05
5.925240983625790214e-12,5.926915642301411324e-12,1.388875672803102646e-08,1.388875728314253877e-08,0.000000000000000000e+00,1.820988280534898860e-03,2.379030729871001171e-05,2.379030730248476999e-05,1.307176352460803770e-05,1.307176352349781467e-05,3.013473347057704643e-05,3.013473346680228815e-05,4.102266073113813860e-05,4.102266073158222781e-05
5.923905463389722570e-12,5.922299543131837041e-12,1.388875423176394452e-08,1.388875640710718340e-08,1.820988280534898860e-03,0.000000000000000000e+00,2.379030730048636855e-05,2.379030730093045776e-05,1.307176352449701540e-05,1.307176352216554704e-05,3.013473346746842196e-05,3.013473346447081980e-05,4.102266072991689327e-05,4.102266072780746953e-05
1.720858133769098686e-08,7.087178954812145548e-09,3.243070677827475379e-05,1.374558531019864915e-05,2.379030729871001171e-05,2.379030730048636855e-05,0.000000000000000000e+00,1.872800724914192028e-01,4.030508161703805214e-03,7.272139778454733694e-02,4.448512921508873674e-02,5.577441453386011716e-04,3.303543202685326197e-01,5.058848228722452323e-01
7.087180065035170173e-09,1.720858044951256716e-08,1.374558531130887218e-05,3.243070677960702142e-05,2.379030730248476999e-05,2.379030730093045776e-05,1.872800724914192028e-01,0.000000000000000000e+00,7.272139778437725077e-02,4.030508161673607148e-03,5.577441453445963759e-04,4.448512921500613615e-02,5.058848228720516094e-01,3.303543202711289872e-01
1.763025414547314540e-07,8.676193097301165835e-11,9.885367148415591387e-04,2.138772992044124521e-08,1.307176352460803770e-05,1.307176352449701540e-05,4.030508161703805214e-03,7.272139778437725077e-02,0.000000000000000000e+00,2.055874685298297866e-01,3.460978665509879537e-01,5.295416978127254204e-01,4.452223644075870013e-02,5.539305384534287668e-04
8.676537266438799634e-11,1.291914625056733712e-06,2.138772980941894275e-08,4.012546098543068318e-03,1.307176352349781467e-05,1.307176352216554704e-05,7.272139778454733694e-02,4.030508161673607148e-03,2.055874685298297866e-01,0.000000000000000000e+00,5.295416978128861807e-01,3.461316288691029808e-01,5.539305384496540086e-04,4.452223644083130871e-02
5.692518167954574437e-08,6.642572636383903273e-08,5.890212232440905638e-03,1.043976692182146948e-04,3.013473347057704643e-05,3.013473346746842196e-05,4.448512921508873674e-02,5.577441453445963759e-04,3.460978665509879537e-01,5.295416978128861807e-01,0.000000000000000000e+00,2.057984196297644175e-01,4.035096563314244378e-03,7.271145329315675809e-02
6.642572702997284750e-08,5.625051791025015291e-08,1.043976692176595833e-04,3.254575524714753421e-03,3.013473346680228815e-05,3.013473346447081980e-05,5.577441453386011716e-04,4.448512921500613615e-02,5.295416978127254204e-01,3.461316288691029808e-01,2.057984196297644175e-01,0.000000000000000000e+00,7.271145329312855843e-02,4.035096563289153337e-03
5.991916751657555551e-08,3.355515565406363976e-08,4.950177994866855613e-05,8.006499389923149579e-06,4.102266073113813860e-05,4.102266072991689327e-05,3.303543202685326197e-01,5.058848228720516094e-01,4.452223644075870013e-02,5.539305384496540086e-04,4.035096563314244378e-03,7.271145329312855843e-02,0.000000000000000000e+00,1.874226744373548303e-01
3.355515987291113333e-08,5.991916995906620969e-08,8.006499391255417208e-06,4.950177995044491297e-05,4.102266073158222781e-05,4.102266072780746953e-05,5.058848228722452323e-01,3.303543202711289872e-01,5.539305384534287668e-04,4.452223644083130871e-02,7.271145329315675809e-02,4.035096563289153337e-03,1.874226744373548303e-01,0.000000000000000000e+00
