qubit_i,qubit_j,mutual_information_bits
0,1,2.909955744476024e-09
0,2,1.399922739868744e-08
0,3,1.750388094735292e-08
0,4,1.233730007044187e-09
0,5,4.954272547763594e-10
0,8,9.817797907984982e-09
0,9,1.403124172405512e-09
0,10,2.205680083022798e-12
0,11,2.824185330041473e-12
0,12,1.03104191850889e-11
0,13,1.160538332101169e-11
1,2,1.750388073422588e-08
1,3,4.213564618201458e-10
1,4,4.954281429547791e-10
1,5,1.282153494486238e-09
1,8,1.403124283427815e-09
1,9,9.975085424329677e-09
1,10,2.823408173924236e-12
1,11,2.206568261442499e-12
1,12,1.160704865554862e-11
1,13,1.030886487285443e-11
2,3,2.751735088545832e-05
2,4,3.356027027612285e-06
2,5,9.763880592927876e-09
2,6,6.910740954642856e-12
2,7,6.910740954642856e-12
2,8,5.336117988230527e-05
2,9,3.794996048744892e-06
2,10,8.395589357057531e-08
2,11,1.678200547416964e-07
2,12,3.021782970513698e-07
2,13,4.519803000757605e-07
3,4,9.763881037017086e-09
3,5,3.097568871845979e-06
3,6,6.910130426847003e-12
3,7,6.910130426847003e-12
3,8,3.794996048300803e-06
3,9,5.273887603896021e-05
3,10,1.678200542976072e-07
3,11,8.395589401466452e-08
3,12,4.519803009639389e-07
3,13,3.021782959411468e-07
4,5,0.9693950998486003
4,6,9.941299543569926e-07
4,7,9.941299543569926e-07
4,8,0.3585862617248938
4,9,0.3437665691711116
4,10,0.3448541766487447
4,11,0.3448898653062158
4,12,0.08008713577119497
4,13,0.08011105300614596
5,6,9.941299545790372e-07
5,7,9.941299545790372e-07
5,8,0.3437665691711134
5,9,0.3585862865969569
5,10,0.3448898653065675
5,11,0.3448541766486437
5,12,0.08011105300622834
5,13,0.08008713577117121
6,7,2.132521340262362e-05
6,8,1.000934849004764e-06
6,9,1.000934849004764e-06
6,10,1.225464174581248e-12
6,11,1.226130308396023e-12
6,12,1.235456181802874e-12
6,13,1.234345958778249e-12
7,8,1.000934849004764e-06
7,9,1.000934849004764e-06
7,10,1.225464174581248e-12
7,11,1.226130308396023e-12
7,12,1.235456181802874e-12
7,13,1.234345958778249e-12
8,9,0.9693272102880068
8,10,0.08008635900168692
8,11,0.08011001242010396
8,12,0.3448508914818194
8,13,0.3448859669882822
9,10,0.08011001242018656
9,11,0.08008635900166183
9,12,0.3448859669886344
9,13,0.3448508914817183
10,11,0.9461272359037918
10,12,0.3658759960412308
10,13,0.3366666368494826
11,12,0.3366666368494793
11,13,0.365875996042381
12,13,0.9461324974682601
