q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,2.909955744476024217e-09,1.399922739868744454e-08,1.750388094735291951e-08,1.233730007044187005e-09,4.954272547763594048e-10,2.148356769175394088e-15,2.148356769175394088e-15,9.817797907984981975e-09,1.403124172405512127e-09,2.205680083022798499e-12,2.824185330041473208e-12,1.031041918508890376e-11,1.160538332101168635e-11
2.909955744476024217e-09,0.000000000000000000e+00,1.750388073422587745e-08,4.213564618201458278e-10,4.954281429547791049e-10,1.282153494486237832e-09,2.148356769175394088e-15,2.148356769175394088e-15,1.403124283427814589e-09,9.975085424329677153e-09,2.823408173924235598e-12,2.206568261442498624e-12,1.160704865554862408e-11,1.030886487285442854e-11
1.399922739868744454e-08,1.750388073422587745e-08,0.000000000000000000e+00,2.751735088545831744e-05,3.356027027612284996e-06,9.763880592927876023e-09,6.910740954642856371e-12,6.910740954642856371e-12,5.336117988230526521e-05,3.794996048744891937e-06,8.395589357057531288e-08,1.678200547416963673e-07,3.021782970513697819e-07,4.519803000757605105e-07
1.750388094735291951e-08,4.213564618201458278e-10,2.751735088545831744e-05,0.000000000000000000e+00,9.763881037017085873e-09,3.097568871845979288e-06,6.910130426847002627e-12,6.910130426847002627e-12,3.794996048300802727e-06,5.273887603896021403e-05,1.678200542976071574e-07,8.395589401466452273e-08,4.519803009639389302e-07,3.021782959411467573e-07
1.233730007044187005e-09,4.954281429547791049e-10,3.356027027612284996e-06,9.763881037017085873e-09,0.000000000000000000e+00,9.693950998486002835e-01,9.941299543569925845e-07,9.941299543569925845e-07,3.585862617248938289e-01,3.437665691711115912e-01,3.448541766487447369e-01,3.448898653062157926e-01,8.008713577119497273e-02,8.011105300614596025e-02
4.954272547763594048e-10,1.282153494486237832e-09,9.763880592927876023e-09,3.097568871845979288e-06,9.693950998486002835e-01,0.000000000000000000e+00,9.941299545790371894e-07,9.941299545790371894e-07,3.437665691711133675e-01,3.585862865969569047e-01,3.448898653065675113e-01,3.448541766486437066e-01,8.011105300622833880e-02,8.008713577117121396e-02
2.148356769175394088e-15,2.148356769175394088e-15,6.910740954642856371e-12,6.910130426847002627e-12,9.941299543569925845e-07,9.941299545790371894e-07,0.000000000000000000e+00,2.132521340262361921e-05,1.000934849004764260e-06,1.000934849004764260e-06,1.225464174581247789e-12,1.226130308396022883e-12,1.235456181802874198e-12,1.234345958778249042e-12
2.148356769175394088e-15,2.148356769175394088e-15,6.910740954642856371e-12,6.910130426847002627e-12,9.941299543569925845e-07,9.941299545790371894e-07,2.132521340262361921e-05,0.000000000000000000e+00,1.000934849004764260e-06,1.000934849004764260e-06,1.225464174581247789e-12,1.226130308396022883e-12,1.235456181802874198e-12,1.234345958778249042e-12
9.817797907984981975e-09,1.403124283427814589e-09,5.336117988230526521e-05,3.794996048300802727e-06,3.585862617248938289e-01,3.437665691711133675e-01,1.000934849004764260e-06,1.000934849004764260e-06,0.000000000000000000e+00,9.693272102880068353e-01,8.008635900168692423e-02,8.011001242010395984e-02,3.448508914818193549e-01,3.448859669882822221e-01
1.403124172405512127e-09,9.975085424329677153e-09,3.794996048744891937e-06,5.273887603896021403e-05,3.437665691711115912e-01,3.585862865969569047e-01,1.000934849004764260e-06,1.000934849004764260e-06,9.693272102880068353e-01,0.000000000000000000e+00,8.011001242018656043e-02,8.008635900166183319e-02,3.448859669886343848e-01,3.448508914817183246e-01
2.205680083022798499e-12,2.823408173924235598e-12,8.395589357057531288e-08,1.678200542976071574e-07,3.448541766487447369e-01,3.448898653065675113e-01,1.225464174581247789e-12,1.225464174581247789e-12,8.008635900168692423e-02,8.011001242018656043e-02,0.000000000000000000e+00,9.461272359037917745e-01,3.658759960412307777e-01,3.366666368494826145e-01
2.824185330041473208e-12,2.206568261442498624e-12,1.678200547416963673e-07,8.395589401466452273e-08,3.448898653062157926e-01,3.448541766486437066e-01,1.226130308396022883e-12,1.226130308396022883e-12,8.011001242010395984e-02,8.008635900166183319e-02,9.461272359037917745e-01,0.000000000000000000e+00,3.366666368494792838e-01,3.658759960423809687e-01
1.031041918508890376e-11,1.160704865554862408e-11,3.021782970513697819e-07,4.519803009639389302e-07,8.008713577119497273e-02,8.011105300622833880e-02,1.235456181802874198e-12,1.235456181802874198e-12,3.448508914818193549e-01,3.448859669886343848e-01,3.658759960412307777e-01,3.366666368494792838e-01,0.000000000000000000e+00,9.461324974682601141e-01
1.160538332101168635e-11,1.030886487285442854e-11,4.519803000757605105e-07,3.021782959411467573e-07,8.011105300614596025e-02,8.008713577117121396e-02,1.234345958778249042e-12,1.234345958778249042e-12,3.448859669882822221e-01,3.448508914817183246e-01,3.366666368494826145e-01,3.658759960423809687e-01,9.461324974682601141e-01,0.000000000000000000e+00
