qubit_i,qubit_j,mutual_information_bits
0,1,7.46825735997061e-09
0,2,3.256173797047267e-08
0,3,4.586956257022785e-08
0,4,4.035463074814061e-10
0,5,2.164104451196636e-10
0,8,8.561923836580831e-09
0,9,4.31221947039262e-10
0,10,8.080478508531996e-10
0,11,9.412267631958571e-10
0,12,1.01265129615058e-09
0,13,7.352309872032947e-10
1,2,4.586956059608543e-08
1,3,1.004246840793552e-08
1,4,2.164143309002498e-10
1,5,4.517037854867567e-10
1,8,4.312166179687438e-10
1,9,8.68741312221033e-09
1,10,9.412248758167152e-10
1,11,8.080456304071504e-10
1,12,7.352267683558011e-10
1,13,1.012653516596629e-09
2,3,7.564189256741008e-05
2,4,1.807055462155205e-06
2,5,1.509444347291833e-08
2,6,2.081376303947335e-12
2,7,2.082626904048243e-12
2,8,4.994238665068096e-05
2,9,1.78727802047085e-06
2,10,5.288475013465188e-07
2,11,1.696110367932491e-06
2,12,2.005604879284917e-06
2,13,1.762404582272836e-07
3,4,1.509441727165495e-08
3,5,1.54852033018571e-06
3,6,2.080816828521279e-12
3,7,2.082261636336333e-12
3,8,1.787277730258552e-06
3,9,4.914106505848892e-05
3,10,1.696110094151493e-06
3,11,5.288476299103451e-07
3,12,1.762405650307386e-07
3,13,2.005604556432061e-06
4,5,0.9692759042861394
4,6,2.796214075839742e-07
4,7,2.796212890121552e-07
4,8,0.3585815975235909
4,9,0.3437727256138827
4,10,0.3447882741677717
4,11,0.3448446630702706
4,12,0.08006140429917252
4,13,0.08010810845339433
5,6,2.79620079091103e-07
5,7,2.796201217236671e-07
5,8,0.343772725614268
5,9,0.3585816297781423
5,10,0.3448446634810938
5,11,0.3447882740472665
5,12,0.08010810855016559
5,13,0.08006140427043662
6,7,5.291017511349752e-05
6,8,2.769504208188778e-07
6,9,2.769503522070949e-07
6,10,7.951460987420944e-07
6,11,7.951460325728021e-07
6,12,8.043349268849198e-07
6,13,8.043348540542894e-07
7,8,2.769503677502172e-07
7,9,2.769504010569079e-07
7,10,7.951459863875243e-07
7,11,7.951461145072614e-07
7,12,8.04335071213913e-07
7,13,8.043349828401603e-07
8,9,0.9692172416403451
8,10,0.08006083411971665
8,11,0.08010686383821963
8,12,0.3447845520878499
8,13,0.3448409453222561
9,10,0.08010686393497735
9,11,0.08006083409040698
9,12,0.3448409457320265
9,13,0.3447845519669812
10,11,0.9454887737424356
10,12,0.3660064703924595
10,13,0.3364986332535349
11,12,0.3364986332533966
11,13,0.3660064717400229
12,13,0.9454772070472346
