q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,7.468257359970609696e-09,3.256173797047266956e-08,4.586956257022784672e-08,4.035463074814060747e-10,2.164104451196635637e-10,2.660618375464364471e-13,2.609052635938781395e-13,8.561923836580831448e-09,4.312219470392619769e-10,8.080478508531996340e-10,9.412267631958570746e-10,1.012651296150579583e-09,7.352309872032947169e-10
7.468257359970609696e-09,0.000000000000000000e+00,4.586956059608542600e-08,1.004246840793552274e-08,2.164143309002497517e-10,4.517037854867567148e-10,2.621471087622430363e-13,2.612882173537271757e-13,4.312166179687437761e-10,8.687413122210330130e-09,9.412248758167152118e-10,8.080456304071503837e-10,7.352267683558011413e-10,1.012653516596628833e-09
3.256173797047266956e-08,4.586956059608542600e-08,0.000000000000000000e+00,7.564189256741008145e-05,1.807055462155204850e-06,1.509444347291832855e-08,2.081376303947335416e-12,2.082626904048243133e-12,4.994238665068095884e-05,1.787278020470850493e-06,5.288475013465188113e-07,1.696110367932490703e-06,2.005604879284916819e-06,1.762404582272836251e-07
4.586956257022784672e-08,1.004246840793552274e-08,7.564189256741008145e-05,0.000000000000000000e+00,1.509441727165494740e-08,1.548520330185709781e-06,2.080816828521278583e-12,2.082261636336332766e-12,1.787277730258551856e-06,4.914106505848891970e-05,1.696110094151492831e-06,5.288476299103450629e-07,1.762405650307385940e-07,2.005604556432061258e-06
4.035463074814060747e-10,2.164143309002497517e-10,1.807055462155204850e-06,1.509441727165494740e-08,0.000000000000000000e+00,9.692759042861394114e-01,2.796214075839742463e-07,2.796212890121552164e-07,3.585815975235908670e-01,3.437727256138827236e-01,3.447882741677716911e-01,3.448446630702706184e-01,8.006140429917252277e-02,8.010810845339433328e-02
2.164104451196635637e-10,4.517037854867567148e-10,1.509444347291832855e-08,1.548520330185709781e-06,9.692759042861394114e-01,0.000000000000000000e+00,2.796200790911029799e-07,2.796201217236671255e-07,3.437727256142679710e-01,3.585816297781423412e-01,3.448446634810937717e-01,3.447882740472665297e-01,8.010810855016559096e-02,8.006140427043662022e-02
2.660618375464364471e-13,2.621471087622430363e-13,2.081376303947335416e-12,2.080816828521278583e-12,2.796214075839742463e-07,2.796200790911029799e-07,0.000000000000000000e+00,5.291017511349752111e-05,2.769504208188777739e-07,2.769503522070948520e-07,7.951460987420944093e-07,7.951460325728021417e-07,8.043349268849198097e-07,8.043348540542893943e-07
2.609052635938781395e-13,2.612882173537271757e-13,2.082626904048243133e-12,2.082261636336332766e-12,2.796212890121552164e-07,2.796201217236671255e-07,5.291017511349752111e-05,0.000000000000000000e+00,2.769503677502171968e-07,2.769504010569079355e-07,7.951459863875243173e-07,7.951461145072613590e-07,8.043350712139130110e-07,8.043349828401602508e-07
8.561923836580831448e-09,4.312166179687437761e-10,4.994238665068095884e-05,1.787277730258551856e-06,3.585815975235908670e-01,3.437727256142679710e-01,2.769504208188777739e-07,2.769503677502171968e-07,0.000000000000000000e+00,9.692172416403450619e-01,8.006083411971665065e-02,8.010686383821963297e-02,3.447845520878498604e-01,3.448409453222560650e-01
4.312219470392619769e-10,8.687413122210330130e-09,1.787278020470850493e-06,4.914106505848891970e-05,3.437727256138827236e-01,3.585816297781423412e-01,2.769503522070948520e-07,2.769504010569079355e-07,9.692172416403450619e-01,0.000000000000000000e+00,8.010686393497734592e-02,8.006083409040698484e-02,3.448409457320265048e-01,3.447845519669812120e-01
8.080478508531996340e-10,9.412248758167152118e-10,5.288475013465188113e-07,1.696110094151492831e-06,3.447882741677716911e-01,3.448446634810937717e-01,7.951460987420944093e-07,7.951459863875243173e-07,8.006083411971665065e-02,8.010686393497734592e-02,0.000000000000000000e+00,9.454887737424355620e-01,3.660064703924594820e-01,3.364986332535349067e-01
9.412267631958570746e-10,8.080456304071503837e-10,1.696110367932490703e-06,5.288476299103450629e-07,3.448446630702706184e-01,3.447882740472665297e-01,7.951460325728021417e-07,7.951461145072613590e-07,8.010686383821963297e-02,8.006083409040698484e-02,9.454887737424355620e-01,0.000000000000000000e+00,3.364986332533965729e-01,3.660064717400228762e-01
1.012651296150579583e-09,7.352267683558011413e-10,2.005604879284916819e-06,1.762405650307385940e-07,8.006140429917252277e-02,8.010810855016559096e-02,8.043349268849198097e-07,8.043350712139130110e-07,3.447845520878498604e-01,3.448409457320265048e-01,3.660064703924594820e-01,3.364986332533965729e-01,0.000000000000000000e+00,9.454772070472345913e-01
7.352309872032947169e-10,1.012653516596628833e-09,1.762404582272836251e-07,2.005604556432061258e-06,8.010810845339433328e-02,8.006140427043662022e-02,8.043348540542893943e-07,8.043349828401602508e-07,3.448409453222560650e-01,3.447845519669812120e-01,3.364986332535349067e-01,3.660064717400228762e-01,9.454772070472345913e-01,0.000000000000000000e+00
