qubit_i,qubit_j,mutual_information_bits
0,1,7.468260800869851e-09
0,2,3.256174447040022e-08
0,3,4.58695616599046e-08
0,4,4.035475287267332e-10
0,5,2.164147749894596e-10
0,8,8.561923392491622e-09
0,9,4.312165069464413e-10
0,10,8.080502933438538e-10
0,11,9.412286505749989e-10
0,12,1.012651074105975e-09
0,13,7.352283226680356e-10
1,2,4.586956184370397e-08
1,3,1.004247397726524e-08
1,4,2.164159962347867e-10
1,5,4.517064500220158e-10
1,8,4.312228352176817e-10
1,9,8.687416785946311e-09
1,10,9.412290946642088e-10
1,11,8.080509594776686e-10
1,12,7.352264352888938e-10
1,13,1.012652628418209e-09
2,3,7.564189256997829e-05
2,4,1.807055463265428e-06
2,5,1.509444502723056e-08
2,6,2.078287710113522e-12
2,7,2.083927458764248e-12
2,8,4.994238665201323e-05
2,9,1.787278022913341e-06
2,10,5.288475024567418e-07
2,11,1.696110370152937e-06
2,12,2.005604881727407e-06
2,13,1.762404602256851e-07
3,4,1.509441549529811e-08
3,5,1.548520329741621e-06
3,6,2.080983145134538e-12
3,7,2.081551592333572e-12
3,8,1.787277731368775e-06
3,9,4.914106506004323e-05
3,10,1.696110094817627e-06
3,11,5.288476283560328e-07
3,12,1.762405656968724e-07
3,13,2.005604553767526e-06
4,5,0.9692759042861387
4,6,2.796214082501081e-07
4,7,2.796212899003336e-07
4,8,0.3585815975235915
4,9,0.3437727256138834
4,10,0.3447882741677717
4,11,0.3448446630702713
4,12,0.08006140429917297
4,13,0.08010810845339478
5,6,2.796200799792814e-07
5,7,2.796201223898009e-07
5,8,0.3437727256142684
5,9,0.358581629778143
5,10,0.3448446634810942
5,11,0.344788274047267
5,12,0.08010810855016604
5,13,0.08006140427043706
6,7,5.291017511917913e-05
6,8,2.769504188204763e-07
6,9,2.769503528732287e-07
6,10,7.951460994082282e-07
6,11,7.951460327948467e-07
6,12,8.043349239983399e-07
6,13,8.043348551645124e-07
7,8,2.76950368416351e-07
7,9,2.76950403277354e-07
7,10,7.95145988830015e-07
7,11,7.951461131749937e-07
7,12,8.043350745445821e-07
7,13,8.043349803976696e-07
8,9,0.9692172416403457
8,10,0.08006083411971754
8,11,0.08010686383822008
8,12,0.3447845520878503
8,13,0.3448409453222558
9,10,0.08010686393497801
9,11,0.08006083409040787
9,12,0.3448409457320276
9,13,0.3447845519669814
10,11,0.9454887737424347
10,12,0.3660064703924595
10,13,0.3364986332535358
11,12,0.3364986332533972
11,13,0.3660064717400233
12,13,0.9454772070472348
