q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
0.000000000000000000e+00,7.468260800869851409e-09,3.256174447040021888e-08,4.586956165990459765e-08,4.035475287267331623e-10,2.164147749894596018e-10,2.649974220635988031e-13,2.660859542685106716e-13,8.561923392491621598e-09,4.312165069464413136e-10,8.080502933438538093e-10,9.412286505749989374e-10,1.012651074105974658e-09,7.352283226680356165e-10
7.468260800869851409e-09,0.000000000000000000e+00,4.586956184370397094e-08,1.004247397726524237e-08,2.164159962347866895e-10,4.517064500220158152e-10,2.658020152720638740e-13,2.654904901065908984e-13,4.312228352176816770e-10,8.687416785946311393e-09,9.412290946642087874e-10,8.080509594776685844e-10,7.352264352888937538e-10,1.012652628418209133e-09
3.256174447040021888e-08,4.586956184370397094e-08,0.000000000000000000e+00,7.564189256997828534e-05,1.807055463265427875e-06,1.509444502723056303e-08,2.078287710113521647e-12,2.083927458764248120e-12,4.994238665201322647e-05,1.787278022913341147e-06,5.288475024567418359e-07,1.696110370152936753e-06,2.005604881727407474e-06,1.762404602256850694e-07
4.586956165990459765e-08,1.004247397726524237e-08,7.564189256997828534e-05,0.000000000000000000e+00,1.509441549529810800e-08,1.548520329741620571e-06,2.080983145134537859e-12,2.081551592333572009e-12,1.787277731368774880e-06,4.914106506004323194e-05,1.696110094817626646e-06,5.288476283560328284e-07,1.762405656968724088e-07,2.005604553767525999e-06
4.035475287267331623e-10,2.164159962347866895e-10,1.807055463265427875e-06,1.509441549529810800e-08,0.000000000000000000e+00,9.692759042861387453e-01,2.796214082501080611e-07,2.796212899003336361e-07,3.585815975235915332e-01,3.437727256138833898e-01,3.447882741677716911e-01,3.448446630702712845e-01,8.006140429917296686e-02,8.010810845339477737e-02
2.164147749894596018e-10,4.517064500220158152e-10,1.509444502723056303e-08,1.548520329741620571e-06,9.692759042861387453e-01,0.000000000000000000e+00,2.796200799792813996e-07,2.796201223898009403e-07,3.437727256142684151e-01,3.585816297781430073e-01,3.448446634810942157e-01,3.447882740472669738e-01,8.010810855016603504e-02,8.006140427043706431e-02
2.649974220635988031e-13,2.658020152720638740e-13,2.078287710113521647e-12,2.080983145134537859e-12,2.796214082501080611e-07,2.796200799792813996e-07,0.000000000000000000e+00,5.291017511917913351e-05,2.769504188204763295e-07,2.769503528732286668e-07,7.951460994082282241e-07,7.951460327948467466e-07,8.043349239983399457e-07,8.043348551645124189e-07
2.660859542685106716e-13,2.654904901065908984e-13,2.083927458764248120e-12,2.081551592333572009e-12,2.796212899003336361e-07,2.796201223898009403e-07,5.291017511917913351e-05,0.000000000000000000e+00,2.769503684163510115e-07,2.769504032773539848e-07,7.951459888300149714e-07,7.951461131749937294e-07,8.043350745445820849e-07,8.043349803976695966e-07
8.561923392491621598e-09,4.312228352176816770e-10,4.994238665201322647e-05,1.787277731368774880e-06,3.585815975235915332e-01,3.437727256142684151e-01,2.769504188204763295e-07,2.769503684163510115e-07,0.000000000000000000e+00,9.692172416403457280e-01,8.006083411971753883e-02,8.010686383822007706e-02,3.447845520878503045e-01,3.448409453222558430e-01
4.312165069464413136e-10,8.687416785946311393e-09,1.787278022913341147e-06,4.914106506004323194e-05,3.437727256138833898e-01,3.585816297781430073e-01,2.769503528732286668e-07,2.769504032773539848e-07,9.692172416403457280e-01,0.000000000000000000e+00,8.010686393497801205e-02,8.006083409040787302e-02,3.448409457320276150e-01,3.447845519669814340e-01
8.080502933438538093e-10,9.412290946642087874e-10,5.288475024567418359e-07,1.696110094817626646e-06,3.447882741677716911e-01,3.448446634810942157e-01,7.951460994082282241e-07,7.951459888300149714e-07,8.006083411971753883e-02,8.010686393497801205e-02,0.000000000000000000e+00,9.454887737424346739e-01,3.660064703924594820e-01,3.364986332535357949e-01
9.412286505749989374e-10,8.080509594776685844e-10,1.696110370152936753e-06,5.288476283560328284e-07,3.448446630702712845e-01,3.447882740472669738e-01,7.951460327948467466e-07,7.951461131749937294e-07,8.010686383822007706e-02,8.006083409040787302e-02,9.454887737424346739e-01,0.000000000000000000e+00,3.364986332533972391e-01,3.660064717400233203e-01
1.012651074105974658e-09,7.352264352888937538e-10,2.005604881727407474e-06,1.762405656968724088e-07,8.006140429917296686e-02,8.010810855016603504e-02,8.043349239983399457e-07,8.043350745445820849e-07,3.447845520878503045e-01,3.448409457320276150e-01,3.660064703924594820e-01,3.364986332533972391e-01,0.000000000000000000e+00,9.454772070472348133e-01
7.352283226680356165e-10,1.012652628418209133e-09,1.762404602256850694e-07,2.005604553767525999e-06,8.010810845339477737e-02,8.006140427043706431e-02,8.043348551645124189e-07,8.043349803976695966e-07,3.448409453222558430e-01,3.447845519669814340e-01,3.364986332535357949e-01,3.660064717400233203e-01,9.454772070472348133e-01,0.000000000000000000e+00
