frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-195.73109815321564,0.25303986735542594,False,0.23496208299911814,1,True,False,False,100,3,1e-06,0.0,0.0,"[-195.98413802057024, -195.73109815321564, -195.73109815321564]","[0.06962120900425361, 0.076071082999988, 0.06013291699491674]",F2_corr,,False
raw_qubit,block2_pauli,2,-195.98138650749206,0.002751513079005008,False,0.20258304200251587,2,True,False,False,100,3,1e-06,0.0,0.0,"[-195.98413802057024, -195.98138650749206, -195.98138650749206]","[0.0672932919987943, 0.05381404199579265, 0.05747466700267978]",F2_corr,,False
raw_qubit,block2_pauli,3,-195.98218545013464,0.0019525704364298235,False,0.22509633300069254,3,True,False,False,100,3,1e-06,2.842170943040401e-14,0.0,"[-195.98413802057024, -195.9821854501346, -195.98218545013464]","[0.07257787500566337, 0.06795508399954997, 0.06146291700133588]",F2_corr,,False
raw_qubit,block2_pauli,4,-195.98286255930586,0.0012754612652088326,True,0.2851337500032969,4,True,False,False,100,4,1e-06,1.4210854715202004e-13,0.0,"[-195.98413802057024, -195.98301792547784, -195.98286255930572, -195.98286255930586]","[0.07945029099937528, 0.06289074999949662, 0.057731417000468355, 0.05298187500011409]",F2_corr,,False
HCT_Nover2_Comm,block2_pauli,1,-195.98139481843447,0.0027432021365996206,False,0.26095683300081873,1,True,False,False,100,3,1e-06,9.663072546572948e-07,0.0,"[-195.9841380205703, -195.9813938521272, -195.98139481843447]","[0.06975895800133003, 0.08109304199751932, 0.07193820799875539]",F2_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,2,-195.98219539855262,0.0019426220184470822,False,0.323449666997476,2,True,False,False,100,3,1e-06,2.6677247433326556e-07,0.0,"[-195.98413802057033, -195.98219513178014, -195.98219539855262]","[0.08870962499349844, 0.1169217499991646, 0.08527270799822873]",F2_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,3,-195.9817462444655,0.0023917761055542996,False,0.3171558750036638,3,True,False,False,100,3,1e-06,4.329780267653405e-08,0.0,"[-195.98413802057036, -195.9817462011677, -195.9817462444655]","[0.10159504100010963, 0.08649945800425485, 0.08980541600612924]",F2_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,4,-195.98252582099644,0.0016121995746232187,False,0.2649741669956711,4,True,False,False,100,3,1e-06,6.566060051227396e-08,0.0,"[-195.98413802057036, -195.98252575533584, -195.98252582099644]","[0.08859525000298163, 0.07462329100235365, 0.07161304100009147]",F2_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,5,-195.98318594644496,0.0009520741261042076,True,0.27366362499742536,5,True,False,False,100,3,1e-06,2.3376856006507296e-09,0.0,"[-195.98413802057036, -195.98318594410728, -195.98318594644496]","[0.08251029199891491, 0.09129358300560853, 0.06963841700053308]",F2_corr,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-195.98230981389804,0.001828206673025079,False,0.4427864169992972,1,True,False,False,100,5,1e-06,4.6114647034301015e-07,0.0,"[-195.98413802057044, -195.98215335658807, -195.98228967113224, -195.98230935275157, -195.98230981389804]","[0.08625970900175162, 0.09893204199761385, 0.07859175000339746, 0.06748583300213795, 0.06895658299617935]",F2_corr,HCT N Comm,False
