frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-195.56990299076622,0.4033294963687979,False,0.22868916699371766,1,True,False,False,100,3,1e-06,0.0,0.0,"[-195.97301152181797, -195.56990299076622, -195.56990299076622]","[0.07773591599834617, 0.06311874999664724, 0.06018508299894165]",F2_diss,,False
raw_qubit,block2_pauli,2,-195.97291651176903,0.0003159753659929265,True,0.2168266670050798,2,True,False,False,100,3,1e-06,1.1368683772161603e-13,0.0,"[-195.97301152181797, -195.97291651176914, -195.97291651176903]","[0.06320570899697486, 0.05747620799957076, 0.06936291699821595]",F2_diss,,False
HCT_Nover2_Comm,block2_pauli,1,-195.97291651176897,0.00031597536604976995,True,0.27571379199798685,1,True,False,False,100,3,1e-06,2.842170943040401e-14,0.0,"[-195.97301152181797, -195.972916511769, -195.97291651176897]","[0.07998191699880408, 0.07604754199564923, 0.0796764170008828]",F2_diss,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-195.972916511769,0.00031597536602134824,True,0.25769283400586573,1,True,False,False,100,3,1e-06,1.9042545318370685e-12,0.0,"[-195.97301152181802, -195.9729165117671, -195.972916511769]","[0.07888595899567008, 0.06564487499417737, 0.07387758299591951]",F2_diss,HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,1,-195.5614921303644,0.41174035677062193,False,0.3105542500052252,1,True,False,False,100,3,1e-06,8.797286454864661e-09,0.0,"[-195.9730115218181, -195.5614921215671, -195.5614921303644]","[0.10827712500031339, 0.0862308329960797, 0.07485641699895496]",F2_diss,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,2,-195.97294290815336,0.00028957898166481755,True,7.784005333996902,2,False,True,True,100,100,1e-06,1.0260684746299376e-06,0.0,"[-195.9730115218181, -195.9728893742714, -195.97294393424164, -195.97294290811521, -195.97294393422283, -195.9729429080731, -195.9729439341847, -195.97294290816194, -195.97294393418568, -195.97294290816316, -195.97294393425193, -195.97294290809856, -195.9729439342127, -195.9729429081587, -195.97294393425778, -195.97294290815745, -195.9729439342414, -195.9729429081286, -195.97294393423476, -195.97294290808134, -195.9729439341943, -195.97294290815762, -195.97294393425398, -195.97294290814995, -195.9729439342147, -195.9729429081696, -195.97294393426364, -195.9729429081185, -195.9729439342219, -195.97294290806923, -195.97294393410087, -195.9729429080803, -195.9729439342405, -195.9729429081383, -195.97294393424488, -195.97294290815253, -195.97294393425423, -195.9729429081461, -195.9729439342439, -195.97294290814426, -195.9729439341603, -195.9729429080482, -195.97294393424502, -195.97294290813738, -195.9729439342161, -195.97294290814364, -195.972943934228, -195.972942908111, -195.9729439341732, -195.9729429081825, -195.97294393426148, -195.97294290814068, -195.97294393425034, -195.97294290815745, -195.97294393426063, -195.9729429081178, -195.97294393417923, -195.9729429080562, -195.97294393416047, -195.9729429081311, -195.9729439342551, -195.97294290815125, -195.97294393425227, -195.9729429081499, -195.97294393425605, -195.97294290814736, -195.9729439342467, -195.97294290814648, -195.97294393414086, -195.9729429080519, -195.97294393423456, -195.97294290813315, -195.97294393423903, -195.9729429080852, -195.97294393413915, -195.9729429081708, -195.97294393424767, -195.97294290808918, -195.9729439341786, -195.97294290813204, -195.97294393425474, -195.97294290815694, -195.9729439342521, -195.97294290812312, -195.97294393421316, -195.97294290807253, -195.97294393420478, -195.97294290808088, -195.97294393418275, -195.97294290815273, -195.97294393424747, -195.9729429080994, -195.97294393420646, -195.9729429081556, -195.9729439342017, -195.97294290810152, -195.97294393426, -195.97294290813244, -195.97294393422183, -195.97294290815336]","[0.10140612500254065, 0.09140387499792268, 0.08726429200032726, 0.08926095900096698, 0.09116016600455623, 0.10967979200358968, 0.08046754199313, 0.08660987499752082, 0.08368558300571749, 0.07385554200300248, 0.06823770800110651, 0.07392454100045143, 0.08160487499844749, 0.06759916699957103, 0.08648387500579702, 0.07163354100339347, 0.06798041599540738, 0.0678594159981003, 0.06866574999730801, 0.066279749997193, 0.068396708004002, 0.06621320799604291, 0.06852379199699499, 0.0679992500008666, 0.07086929100478301, 0.06889137499820208, 0.06962999999814201, 0.06702575000235811, 0.0734506250009872, 0.07123837499966612, 0.07045562499843072, 0.07039312500273809, 0.07032820900349179, 0.06769691599765792, 0.08329224999761209, 0.07492591699701734, 0.07097433300077682, 0.08177045799675398, 0.07505308300460456, 0.06766125000285683, 0.07685341700562276, 0.07060920799995074, 0.07725483299873304, 0.07413429200096289, 0.07106983399717137, 0.06808916699810652, 0.0696140829968499, 0.06704599999648053, 0.07004741700075101, 0.06740208299743244, 0.087236583000049, 0.06885283299925504, 0.07102941699849907, 0.08304625000164378, 0.08418883299600566, 0.08069650000106776, 0.07616087500355206, 0.06972195799608016, 0.07072704199526925, 0.07090600000083214, 0.07040654199954588, 0.06838466599583626, 0.06881408399931388, 0.06659045800188323, 0.06889545900048688, 0.06934295799874235, 0.07024741700297454, 0.06678529200144112, 0.0688353340010508, 0.07157158300105948, 0.0748335419993964, 0.0680056670025806, 0.0689687909980421, 0.06722274999629008, 0.0719874999995227, 0.09592491699731909, 0.08161512500373647, 0.07365366700105369, 0.06969687499804422, 0.13109495800017612, 0.1523594169993885, 0.0775107500012382, 0.08273254199593794, 0.0680297920043813, 0.08283116700476967, 0.0693524169982993, 0.06973541600018507, 0.06674120800016681, 0.06838304099801462, 0.07484658300381852, 0.0866867920049117, 0.06978691699623596, 0.10324170799867716, 0.1341653330018744, 0.0796963750035502, 0.07659208300174214, 0.06995950000418816, 0.07294225000077859, 0.0846870419991319, 0.06920150000223657]",F2_diss,Pauli BLISS+HCT N Comm,False
BS_Nover2_Comm,block2_pauli,1,-195.5699185969665,0.40331389016853336,False,0.334347666001122,1,True,False,False,100,4,1e-06,0.0,0.0,"[-195.973011521818, -195.5698921009428, -195.5699185969665, -195.5699185969665]","[0.07426470799691742, 0.07968391699978383, 0.0790886659960961, 0.06900345900066895]",F2_diss,BS N/2 Comm,False
BS_Nover2_Comm,block2_pauli,2,-195.972892923404,0.0003395637310177335,True,0.2896182909971685,2,True,False,False,100,3,1e-06,2.0732076677631994e-07,0.0,"[-195.973011521818, -195.97289271608324, -195.972892923404]","[0.09220654199452838, 0.08581116599816596, 0.0742018340024515]",F2_diss,BS N/2 Comm,False
BS_N_Comm,block2_pauli,1,-195.97268971185179,0.0005427752832360966,True,0.5666290840017609,1,True,False,False,100,6,1e-06,5.684341886080802e-14,0.0,"[-195.97301152181785, -195.88362705826177, -195.97218252980906, -195.97265174545123, -195.97268971185184, -195.97268971185179]","[0.0982440410007257, 0.08448833299917169, 0.08744424999895273, 0.08533470900147222, 0.09334912499616621, 0.07519041700288653]",F2_diss,BS N Comm,False
HCT_N_Comm_Fiedler,block2_pauli,1,-195.97291651360007,0.0003159735349527182,True,0.2888503329959349,1,True,False,False,100,3,1e-06,1.8311823168914998e-09,0.0,"[-195.97301152181808, -195.9729165117689, -195.97291651360007]","[0.09512254199944437, 0.0748827919960604, 0.0877425829967251]",F2_diss,HCT N Comm,True
