frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-195.96743429168015,0.08220363156840449,False,0.2735246250013006,1,True,False,False,100,3,1e-06,0.0,0.0,"[-196.04963792324895, -195.96743429168015, -195.96743429168015]","[0.07642920900252648, 0.05831704199954402, 0.058535832999041304]",F2_eqm,,False
raw_qubit,block2_pauli,2,-196.04276512708844,0.006872796160109829,False,0.2037123749978491,2,True,False,False,100,3,1e-06,3.4300410334253684e-07,0.0,"[-196.04963792324895, -196.04276547009255, -196.04276512708844]","[0.06719841599988285, 0.053101165998668876, 0.05741883300652262]",F2_eqm,,False
raw_qubit,block2_pauli,3,-196.0461251448543,0.0035127783942527913,False,0.21325845800311072,3,True,False,False,100,3,1e-06,3.105071755271638e-10,0.0,"[-196.04963792324895, -196.0461251445438, -196.0461251448543]","[0.06762637499923585, 0.06308124999486608, 0.055509625002741814]",F2_eqm,,False
raw_qubit,block2_pauli,4,-196.0477821156303,0.001855807618255767,False,0.2586904159979895,4,True,False,False,100,4,1e-06,4.2580751369314385e-07,0.0,"[-196.04963792324895, -196.04881707198373, -196.0477825414378, -196.0477821156303]","[0.05592337499547284, 0.06628170800104272, 0.0543344999969122, 0.060546458000317216]",F2_eqm,,False
raw_qubit,block2_pauli,5,-196.04925567778082,0.0003822454677333553,True,0.22126149999530753,5,True,False,False,100,4,1e-06,2.6852529799725744e-07,0.0,"[-196.04963792324895, -196.04924292756942, -196.04925594630612, -196.04925567778082]","[0.05255304199818056, 0.04900912499579135, 0.047577500001352746, 0.052344499999890104]",F2_eqm,,False
HCT_Nover2_Comm,block2_pauli,1,-195.96744233731027,0.08219558593827969,False,0.2516407090006396,1,True,False,False,100,3,1e-06,2.609749572002329e-08,0.0,"[-196.04963792324907, -195.96744231121278, -195.96744233731027]","[0.07771579200198175, 0.0792502499971306, 0.06782654199923854]",F2_eqm,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,2,-196.04162192947558,0.008015993772971797,False,0.49839970800530864,2,True,False,False,100,6,1e-06,7.389644451905042e-12,0.0,"[-196.04963792324907, -196.03970081549585, -196.04026075074285, -196.04162083447147, -196.0416219294682, -196.04162192947558]","[0.0751812499947846, 0.07123945799685316, 0.06750062500213971, 0.07285204200161388, 0.0823262500052806, 0.09899604100064607]",F2_eqm,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,3,-196.0460398133419,0.003598109906647551,False,0.34042158300144365,3,True,False,False,100,5,1e-06,1.3445571767078945e-08,0.0,"[-196.04963792324907, -196.04597220950785, -196.04603792893943, -196.04603979989633, -196.0460398133419]","[0.06571266700484557, 0.07050241699471371, 0.058505875000264496, 0.0584420829982264, 0.06026774999918416]",F2_eqm,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,4,-196.04848934881744,0.0011485744311130475,True,0.26414862499950686,4,True,False,False,100,4,1e-06,8.301898901663662e-07,0.0,"[-196.04963792324907, -196.04847600768653, -196.04848851862755, -196.04848934881744]","[0.06132604199956404, 0.06009949999861419, 0.05754404100298416, 0.05915945900051156]",F2_eqm,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-196.04595488002948,0.0036830432190697593,False,0.2919730409994372,1,True,False,False,100,4,1e-06,1.9269918993813917e-11,0.0,"[-196.049637923249, -196.0458681513592, -196.0459548800102, -196.04595488002948]","[0.06344179200095823, 0.06818104100238997, 0.07130220800172538, 0.06277020800189348]",F2_eqm,HCT N Comm,False
HCT_N_Comm,block2_pauli,2,-196.049193347271,0.0004445759775535407,True,0.2281414999961271,2,True,False,False,100,3,1e-06,6.8938049935241e-08,0.0,"[-196.04963792324907, -196.04919327833295, -196.049193347271]","[0.06775345799542265, 0.06532762499409728, 0.06697154200082878]",F2_eqm,HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,1,-192.56339853755333,3.486239385695228,False,0.6783736659999704,1,True,False,False,100,6,1e-06,2.2737367544323206e-13,0.0,"[-196.04963792324924, -192.4070208015094, -192.56329266450297, -192.5633256212524, -192.56339853755355, -192.56339853755333]","[0.16183620899391826, 0.09133699999802047, 0.09180099999503, 0.08313037500192877, 0.10140287499962142, 0.08831891600129893]",F2_eqm,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,2,-195.17864439181054,0.8709935314380175,False,0.9115600000004633,2,True,False,False,100,9,1e-06,1.6173856920431717e-08,0.0,"[-196.04963792324924, -195.74442719048272, -195.7429071494599, -195.7453745202295, -195.74681642168537, -195.17920642411045, -195.1785845185596, -195.1786444079844, -195.17864439181054]","[0.1859368329969584, 0.09619175000261748, 0.08793841599981533, 0.08343508299731184, 0.08371720799914328, 0.08159675000206335, 0.0763165839962312, 0.07543925000209128, 0.0807185829980881]",F2_eqm,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,3,-196.03751792071068,0.012120002537869823,False,12.3718254589985,3,False,True,True,100,100,1e-06,0.0006518715942149811,0.0,"[-196.04963792324924, -196.04101290935102, -196.04109222947824, -196.02969375553005, -196.02967196320867, -196.03600447595596, -196.03601772598319, -196.037215429247, -196.03721703182893, -196.03744167088513, -196.03744470740895, -196.0266478412604, -196.02663060968132, -196.03686373458814, -196.036884558356, -196.03751526336234, -196.0375172599537, -196.02656646718765, -196.02654896537916, -196.036842137654, -196.03686311455942, -196.03751833979408, -196.03752022539788, -196.02657500383413, -196.02655753672278, -196.03684558234872, -196.03686653876906, -196.03751785059677, -196.03751975334228, -196.02657353034522, -196.026556057322, -196.0368450073383, -196.0368659672145, -196.03751793243458, -196.03751983230765, -196.02657377544045, -196.0265563034036, -196.0368451035148, -196.03686606281502, -196.037517918751, -196.03751981910378, -196.02657373441934, -196.02655626221804, -196.03684508743413, -196.0368660468306, -196.03751792103935, -196.03751982131183, -196.02657374129723, -196.0265562691233, -196.03684509013118, -196.0368660495107, -196.03751792065447, -196.03751982094047, -196.02657374013774, -196.02655626795882, -196.03684508967507, -196.03686604905778, -196.03751792071859, -196.03751982100312, -196.02657374030332, -196.0265562681256, -196.03684508974095, -196.03686604912286, -196.03751792070932, -196.03751982099377, -196.0265737402595, -196.02655626808115, -196.03684508972322, -196.03686604910587, -196.03751792071432, -196.03751982099902, -196.0265737402775, -196.02655626809917, -196.03684508973106, -196.03686604911326, -196.03751792071162, -196.03751982099686, -196.0265737402696, -196.02655626809135, -196.036845089727, -196.03686604910962, -196.03751792071324, -196.03751982099794, -196.02657374028792, -196.02655626810937, -196.03684508973356, -196.03686604911587, -196.03751792071097, -196.03751982099564, -196.02657374027294, -196.02655626809496, -196.03684508972825, -196.03686604911087, -196.03751792071137, -196.03751982099604, -196.0265737402844, -196.0265562681057, -196.03684508973402, -196.03686604911647, -196.03751792071068]","[0.23550641600013478, 0.133558458997868, 0.11792562500340864, 0.1172824169989326, 0.11697866699978476, 0.11463233300310094, 0.12901304200204322, 0.12143374999868684, 0.12134616700495826, 0.11632633399858605, 0.11621308299800148, 0.12304883299657376, 0.12390495900035603, 0.12076608299685176, 0.1596287919965107, 0.17920554200100014, 0.11940395899728173, 0.11390274999575922, 0.11808787499467144, 0.11490291699738009, 0.1218262090042117, 0.12186524999560788, 0.12429487500048708, 0.12673858400376048, 0.12455000000045402, 0.12089204199583037, 0.16869166699325433, 0.12655829099821858, 0.11738991599850124, 0.12133641700347653, 0.13327570800174726, 0.11747470800037263, 0.12115554200136103, 0.12104329199792119, 0.1243559170034132, 0.11696933299390366, 0.12233662500511855, 0.11438099999941187, 0.12904070800141199, 0.12635458300064784, 0.12099020800087601, 0.11308704200200737, 0.11580595900159096, 0.11536420799529878, 0.14159700000163866, 0.12139770800422411, 0.12736025000049267, 0.11612558300112141, 0.11981758299953071, 0.11360154200519901, 0.11810574999981327, 0.12022620800416917, 0.11983854100253666, 0.11330954200093402, 0.11818229199707275, 0.11500708299718099, 0.12409887499961769, 0.1205556670029182, 0.11664429100346752, 0.11452120800095145, 0.11729299999569776, 0.11593470800289651, 0.1190041250010836, 0.11861687499913387, 0.11943704100121977, 0.11400566600059392, 0.11514187500142725, 0.11429541600227822, 0.11988399999972899, 0.13290654099546373, 0.1195146250029211, 0.15248691700253403, 0.11702720900211716, 0.11509166700125206, 0.11788241699832724, 0.12192645799950697, 0.11891499999910593, 0.11392458400223404, 0.1152021669986425, 0.1189433339968673, 0.12062158299522707, 0.12160866599879228, 0.11738408300152514, 0.11228804200072773, 0.11606266699527623, 0.11843254200357478, 0.11899033300142037, 0.11832658299681498, 0.11695995899935951, 0.11547762500413228, 0.11644408400024986, 0.11424766700656619, 0.11779450000176439, 0.11887516600108938, 0.11971116600034293, 0.11339354200026719, 0.11567175000527641, 0.11494308299734257, 0.12024612499953946, 0.11912645900156349]",F2_eqm,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,4,-196.04712081895576,0.0025171042927922826,False,0.8297890000030748,4,True,False,False,100,5,1e-06,2.8720751288346946e-07,0.0,"[-196.04963792324924, -196.04675598929552, -196.04712157728397, -196.04712053174825, -196.04712081895576]","[0.22863150000193855, 0.13739354199788067, 0.13963816700561438, 0.14461358400149038, 0.1327404999974533]",F2_eqm,Pauli BLISS+HCT N Comm,False
