frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-74.73308083271489,0.004658984645601549,False,0.09655895800096914,1,True,False,False,100,3,1e-06,0.0,0.0,"[-74.73773022812922, -74.73308083271489, -74.73308083271489]","[0.026913624998996966, 0.023872582998592407, 0.034137957998609636]",H2O_diss,,False
raw_qubit,block2_pauli,2,-74.73550995318047,0.0022298641800233554,False,0.13589016699552303,2,True,False,False,100,3,1e-06,0.0,0.0,"[-74.73773022812922, -74.73550995318047, -74.73550995318047]","[0.05053504199895542, 0.033923750001122244, 0.03796541599876946]",H2O_diss,,False
raw_qubit,block2_pauli,3,-74.73725087305593,0.0004889443045641428,True,0.1247547079983633,3,True,False,False,100,3,1e-06,3.1525958377187635e-07,0.0,"[-74.73773022812922, -74.73725055779634, -74.73725087305593]","[0.036864999994577374, 0.035000083000340965, 0.038286208000499755]",H2O_diss,,False
HCT_Nover2_Comm,block2_pauli,1,-74.73697627425682,0.0007635431036732143,True,0.15263637499447213,1,True,False,False,100,3,1e-06,1.4210854715202004e-14,0.0,"[-74.73773022812925, -74.7369762742568, -74.73697627425682]","[0.05792887500138022, 0.048993500000506174, 0.032959957999992184]",H2O_diss,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-74.7369481969697,0.0007916203907853969,True,0.20357270800013794,1,True,False,False,100,4,1e-06,1.4210854715202004e-14,0.0,"[-74.7377302368607, -74.73661177018806, -74.73694819696969, -74.7369481969697]","[0.04693458400288364, 0.049254458004725166, 0.042410290996485855, 0.0452415409963578]",H2O_diss,HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,1,-74.73697627509699,0.0007635422634990618,True,0.1971275410032831,1,True,False,False,100,3,1e-06,1.4210854715202004e-14,0.0,"[-74.73773052504924, -74.73697627509698, -74.73697627509699]","[0.044502082993858494, 0.0817801250013872, 0.05338149999442976]",H2O_diss,Pauli BLISS+HCT N Comm,False
BS_Nover2_Comm,block2_pauli,1,-74.73552983180329,0.0022099855572008664,False,0.16198658300709212,1,True,False,False,100,4,1e-06,2.4065371917458833e-09,0.0,"[-74.73773022812921, -74.73551545906727, -74.73552982939675, -74.73552983180329]","[0.043566374995862134, 0.030655208000098355, 0.03316791699762689, 0.03890470800251933]",H2O_diss,BS N/2 Comm,False
BS_Nover2_Comm,block2_pauli,2,-74.7374775390259,0.0002622783345884727,True,0.18012816699774703,2,True,False,False,100,5,1e-06,2.7912960831599776e-09,0.0,"[-74.73773022812921, -74.73681483152012, -74.73727179296112, -74.7374775362346, -74.7374775390259]","[0.03407987499667797, 0.030033333001483697, 0.03713850000349339, 0.03078537499823142, 0.0256312080018688]",H2O_diss,BS N/2 Comm,False
BS_N_Comm,block2_pauli,1,-74.73696258821094,0.0007772291495484751,True,0.5123307500034571,1,True,False,False,100,12,1e-06,1.8336042728606117e-07,0.0,"[-74.7377302324862, -74.69721069417477, -74.7180606620428, -74.73258367375438, -74.73591527976066, -74.73650239737361, -74.73685627261213, -74.73689445117898, -74.73694244126858, -74.73694583634621, -74.73696240485052, -74.73696258821094]","[0.03261916700284928, 0.0798912080063019, 0.034321041996008717, 0.04008112500014249, 0.04516283299744828, 0.04882783300126903, 0.03224562499963213, 0.03595754200068768, 0.027444040999398567, 0.03354895800293889, 0.044305250004981644, 0.037952041006064974]",H2O_diss,BS N Comm,False
HCT_N_Comm_Fiedler,block2_pauli,1,-74.73724824501798,0.0004915723425114038,True,0.17138700000214158,1,True,False,False,100,4,1e-06,3.497291345411213e-11,0.0,"[-74.73773022813555, -74.735994377448, -74.73724824498301, -74.73724824501798]","[0.04712695800117217, 0.03542649999872083, 0.032660417004080955, 0.03661212500446709]",H2O_diss,HCT N Comm,True
BS_N_Comm_Fiedler,block2_pauli,1,-74.73574314949266,0.0019966678678287053,False,0.1824503329989966,1,True,False,False,100,5,1e-06,1.2342115951469168e-07,0.0,"[-74.73773022854527, -74.7354942086057, -74.73570978824762, -74.7357430260715, -74.73574314949266]","[0.03954399999929592, 0.033425082998292055, 0.029382458997133654, 0.03147266700398177, 0.03187774999969406]",H2O_diss,BS N Comm,True
BS_N_Comm_Fiedler,block2_pauli,2,-74.73726358270649,0.000476234654001928,True,0.34601166599895805,2,True,False,False,100,9,1e-06,5.282773400949736e-07,0.0,"[-74.7377368675493, -74.73550875450418, -74.73678611639995, -74.73720744954302, -74.73723685992374, -74.73725870364288, -74.73726164078317, -74.73726305442915, -74.73726358270649]","[0.043654916997184046, 0.03583058300137054, 0.039120125002227724, 0.0385882090049563, 0.0377558339969255, 0.03948758300248301, 0.028225666996149812, 0.03209808399697067, 0.03359154200006742]",H2O_diss,BS N Comm,True
