frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-1.8656454887722755,0.0016458836291022294,False,0.02940741700149374,1,True,False,False,100,2,1e-06,5.995204332975845e-14,0.0,"[-1.8656454887722156, -1.8656454887722755]","[0.013476375002937857, 0.009583749997545965]",H4chain_diss,,False
raw_qubit,block2_pauli,2,-1.5551402138435615,0.3121511585578163,False,0.048244707999401726,2,True,False,False,100,3,1e-06,0.0,0.0,"[-1.8588887525947486, -1.5551402138435615, -1.5551402138435615]","[0.011218250001547858, 0.01746837499376852, 0.014896458000293933]",H4chain_diss,,False
raw_qubit,block2_pauli,3,-1.8656454887004155,0.0016458837009623029,False,0.04579229200317059,3,True,False,False,100,2,1e-06,1.709299368712891e-12,0.0,"[-1.8656454886987062, -1.8656454887004155]","[0.01994354199996451, 0.016436333004094195]",H4chain_diss,,False
raw_qubit,block2_pauli,4,-1.8656454887493792,0.0016458836519985809,False,0.05231416600145167,4,True,False,False,100,3,1e-06,0.0,0.0,"[-1.8588887525947486, -1.8656454887493792, -1.8656454887493792]","[0.0222144159997697, 0.015151583000260871, 0.00953312500496395]",H4chain_diss,,False
raw_qubit,block2_pauli,5,-1.8656454887709957,0.0016458836303820945,False,0.043233124997641426,5,True,False,False,100,3,1e-06,1.1102230246251565e-15,0.0,"[-1.8603763505070792, -1.8656454887709946, -1.8656454887709957]","[0.014341292000608519, 0.014202958998794202, 0.010388917005911935]",H4chain_diss,,False
raw_qubit,block2_pauli,6,-1.865645488732941,0.001645883668436765,False,0.04335766699659871,6,True,False,False,100,3,1e-06,4.931610675384945e-13,0.0,"[-1.8656390932529008, -1.8656454887334342, -1.865645488732941]","[0.0140992919987184, 0.01279229099600343, 0.012203708000015467]",H4chain_diss,,False
raw_qubit,block2_pauli,7,-1.8656454887114131,0.0016458836899646556,False,0.04840029199840501,7,True,False,False,100,3,1e-06,4.578695889101425e-08,0.0,"[-1.8661649317995908, -1.865645534498372, -1.8656454887114131]","[0.016539708005439024, 0.015363540995167568, 0.012409750001097564]",H4chain_diss,,False
raw_qubit,block2_pauli,8,-1.8661649318613116,0.0011264405400661648,True,0.04412137500185054,8,True,False,False,100,2,1e-06,6.172085065259125e-11,0.0,"[-1.8661649317995908, -1.8661649318613116]","[0.016215415998885874, 0.01948662500217324]",H4chain_diss,,False
HCT_Nover2_Comm,block2_pauli,1,-1.8656454134082843,0.0016459589930934992,False,0.1019130410059006,1,True,False,False,100,8,1e-06,6.485826999913513e-07,0.0,"[-1.86140716451192, -1.821886279613783, -1.858883122658992, -1.864932830980439, -1.865574347204309, -1.8656381512383784, -1.8656447648255843, -1.8656454134082843]","[0.011900958001206163, 0.014124375004030298, 0.00977075000264449, 0.016668832999130245, 0.016678999993018806, 0.009792583994567394, 0.009538749996863771, 0.009505916001216974]",H4chain_diss,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,2,-1.8670563911480045,0.0002349812533732898,True,0.07272116700187325,2,True,False,False,100,4,1e-06,1.7763568394002505e-15,0.0,"[-1.8672913361184698, -1.8668043691249578, -1.8670563911480063, -1.8670563911480045]","[0.018882208998547867, 0.026188916999672074, 0.010098833998199552, 0.014187334003509022]",H4chain_diss,HCT N/2 Comm,False
