frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-7.624975630131303,0.15930254858409842,False,0.0872155830002157,1,True,False,False,100,3,1e-06,0.0,0.0,"[-7.784136800198446, -7.624975630131303, -7.624975630131303]","[0.022839417004433926, 0.028910417000588495, 0.027461416000733152]",LIH_corr,,False
raw_qubit,block2_pauli,2,-7.781258226498613,0.003019952216788191,False,0.26115629100240767,2,True,False,False,100,11,1e-06,9.999285195405605e-07,0.0,"[-7.784136800198446, -7.782014392091579, -7.781894485372652, -7.780860244030932, -7.780230931808028, -7.780243775189556, -7.7809510778510935, -7.781034927660811, -7.781052944712512, -7.7812592264271325, -7.781258226498613]","[0.027049083000747487, 0.027271458005998284, 0.01872383300360525, 0.018993749996297993, 0.02182554200408049, 0.018718624996836297, 0.03217854199465364, 0.019168207996699493, 0.022086208999098744, 0.021238417000859044, 0.019056124998314772]",LIH_corr,,False
raw_qubit,block2_pauli,3,-7.781745885915899,0.0025322927995024003,False,0.1214094169990858,3,True,False,False,100,5,1e-06,1.3740120152760937e-12,0.0,"[-7.784136800198446, -7.782141279246212, -7.782144353323199, -7.781745885917273, -7.781745885915899]","[0.021841791000042576, 0.023284708004212007, 0.022446584000135772, 0.02233245800016448, 0.018899624999903608]",LIH_corr,,False
raw_qubit,block2_pauli,4,-7.783925083539451,0.00035309517595027984,True,0.10595233400090365,4,True,False,False,100,4,1e-06,6.108802352855491e-11,0.0,"[-7.784136800198446, -7.78392616296251, -7.783925083600539, -7.783925083539451]","[0.029901750000135507, 0.020908957994834054, 0.019125584003631957, 0.02800937500433065]",LIH_corr,,False
HCT_Nover2_Comm,block2_pauli,1,-7.625071750828667,0.15920642788673423,False,0.0915632079995703,1,True,False,False,100,4,1e-06,3.907985046680551e-13,0.0,"[-7.784145468355383, -7.625045501327847, -7.625071750829058, -7.625071750828667]","[0.0204948750033509, 0.017713749999529682, 0.021065917004307266, 0.02419804100645706]",LIH_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,2,-7.628171593533791,0.15610658518161014,False,0.3645725840033265,2,True,False,False,100,15,1e-06,3.609062915188588e-08,0.0,"[-7.784198603968159, -7.782221130641426, -7.782193509268341, -7.724056329718419, -7.7240421689062675, -7.746287122665571, -7.7615360338500885, -7.779527730235042, -7.779508061631573, -7.736962749139096, -7.736948439337151, -7.738830983032267, -7.73892298242961, -7.628171557443162, -7.628171593533791]","[0.03263962500204798, 0.01953704199695494, 0.025440249999519438, 0.037144667003303766, 0.025614749996748287, 0.02184670800488675, 0.018779291996906977, 0.018568291001429316, 0.02280416699795751, 0.02205845900607528, 0.020908499995130114, 0.02147158300067531, 0.017515791005280335, 0.018126584000128787, 0.03232258400385035]",LIH_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,3,-7.782387730823562,0.001890447891839564,False,0.1352466660027858,3,True,False,False,100,5,1e-06,8.657074168638701e-07,0.0,"[-7.784229496536566, -7.781887729641159, -7.781906571872675, -7.782386865116145, -7.782387730823562]","[0.03348212499986403, 0.021183958000619896, 0.02662350000173319, 0.027209959000174422, 0.019818833003228065]",LIH_corr,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,4,-7.78417199185685,0.00010618685855146026,True,0.10446991700155195,4,True,False,False,100,4,1e-06,5.9472426983120386e-12,0.0,"[-7.784259505373256, -7.784224059835026, -7.7841719918509025, -7.78417199185685]","[0.028280166996410117, 0.023833042003388982, 0.01902437499666121, 0.02647754100325983]",LIH_corr,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-7.760202774966998,0.024075403748403446,False,0.0995484170052805,1,True,False,False,100,3,1e-06,7.190608153351263e-07,0.0,"[-7.7841368008448795, -7.760202055906182, -7.760202774966998]","[0.02645091700105695, 0.02597008399607148, 0.02383433299837634]",LIH_corr,HCT N Comm,False
HCT_N_Comm,block2_pauli,2,-7.7839384908271345,0.00033968788826665985,True,0.08282516700273845,2,True,False,False,100,3,1e-06,2.249415622657125e-07,0.0,"[-7.784137066075041, -7.783938265885572, -7.7839384908271345]","[0.02911024999775691, 0.023290042001463007, 0.018951957994431723]",LIH_corr,HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,1,-7.767134657421512,0.017143521293888853,False,0.09960970799875213,1,True,False,False,100,4,1e-06,2.6645352591003757e-15,0.0,"[-7.784136800198449, -7.767262599680703, -7.767134657421515, -7.767134657421512]","[0.022264875005930662, 0.021455041998706292, 0.02380795800127089, 0.024073583001154475]",LIH_corr,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,2,-7.7825328321647635,0.0017453465506376276,False,0.20826116699754493,2,True,False,False,100,9,1e-06,4.8519336104391186e-08,0.0,"[-7.784140096666025, -7.781718399266582, -7.782158555135826, -7.782375539903449, -7.782458410498084, -7.782507225517847, -7.78251879057509, -7.782532783645427, -7.7825328321647635]","[0.025105000000621658, 0.020957000000635162, 0.018926915996416938, 0.02030574999662349, 0.021668916000635363, 0.01837395799520891, 0.02175379200343741, 0.023862916001235135, 0.028418999994755723]",LIH_corr,Pauli BLISS+HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,3,-7.783610104297006,0.0006680744183951148,True,0.07631125000625616,3,True,False,False,100,3,1e-06,8.954813317529897e-07,0.0,"[-7.784269894650178, -7.783609208815674, -7.783610104297006]","[0.021026709000580013, 0.02074920899758581, 0.019535790997906588]",LIH_corr,Pauli BLISS+HCT N Comm,False
BS_Nover2_Comm,block2_pauli,1,-7.625071750828667,0.15920642788673423,False,0.09218795799824875,1,True,False,False,100,4,1e-06,3.907985046680551e-13,0.0,"[-7.784145468355383, -7.625045501327847, -7.625071750829058, -7.625071750828667]","[0.022814333002315834, 0.021046750000095926, 0.022140666995255742, 0.0181460000021616]",LIH_corr,BS N/2 Comm,False
BS_Nover2_Comm,block2_pauli,2,-7.628171593533791,0.15610658518161014,False,0.3352865409979131,2,True,False,False,100,15,1e-06,3.609062915188588e-08,0.0,"[-7.784198603968159, -7.782221130641426, -7.782193509268341, -7.724056329718419, -7.7240421689062675, -7.746287122665571, -7.7615360338500885, -7.779527730235042, -7.779508061631573, -7.736962749139096, -7.736948439337151, -7.738830983032267, -7.73892298242961, -7.628171557443162, -7.628171593533791]","[0.020573500005411915, 0.01941758299653884, 0.01822099999844795, 0.032842249995155726, 0.026560291000350844, 0.021977165997668635, 0.0291510829993058, 0.02236237499892013, 0.017407750005077105, 0.02040616700105602, 0.019893083001079503, 0.017013875003613066, 0.016462999999930616, 0.022701292000419926, 0.020821167003305163]",LIH_corr,BS N/2 Comm,False
BS_Nover2_Comm,block2_pauli,3,-7.782387730823562,0.001890447891839564,False,0.13010245799523545,3,True,False,False,100,5,1e-06,8.657074168638701e-07,0.0,"[-7.784229496536566, -7.781887729641159, -7.781906571872675, -7.782386865116145, -7.782387730823562]","[0.029625750001287088, 0.02013299999816809, 0.020721917004266288, 0.025037583996891044, 0.02369837500009453]",LIH_corr,BS N/2 Comm,False
BS_Nover2_Comm,block2_pauli,4,-7.78417199185685,0.00010618685855146026,True,0.10779512499721022,4,True,False,False,100,4,1e-06,5.9472426983120386e-12,0.0,"[-7.784259505373256, -7.784224059835026, -7.7841719918509025, -7.78417199185685]","[0.028672957996604964, 0.027741790996515192, 0.023648333000892308, 0.019834582999465056]",LIH_corr,BS N/2 Comm,False
BS_N_Comm,block2_pauli,1,-7.781627064952574,0.0026511137628268955,False,0.3393555840011686,1,True,False,False,100,13,1e-06,3.5334507320072817e-07,0.0,"[-7.7841454683553835, -7.755913247870719, -7.773240319292707, -7.777069912936485, -7.7805237247396, -7.781376350046524, -7.7815490041513, -7.781602998896483, -7.781617338781904, -7.781623640330644, -7.781625679492856, -7.781626711607501, -7.781627064952574]","[0.028423250005289447, 0.029412000003503636, 0.024646457997732796, 0.03405037500488106, 0.025385583001479972, 0.020782917003089096, 0.03932675000396557, 0.01958491699770093, 0.017404583006282337, 0.019656875003420282, 0.031584083997586276, 0.01993400000355905, 0.019955000003392342]",LIH_corr,BS N Comm,False
BS_N_Comm,block2_pauli,2,-7.784015224786021,0.0002629539293801386,True,0.10479770800156984,2,True,False,False,100,4,1e-06,1.0359713087382261e-10,0.0,"[-7.784197270811649, -7.784009700228497, -7.784015224889618, -7.784015224786021]","[0.028011624999635387, 0.019450333005806897, 0.02339520800160244, 0.021795417000248563]",LIH_corr,BS N Comm,False
HCT_N_Comm_Fiedler,block2_pauli,1,-7.757756826578142,0.02652135213725959,False,2.2401859590027016,1,False,True,True,100,100,1e-06,0.00041719846984999975,0.0,"[-7.784136800844879, -7.770598925831443, -7.7650101571620045, -7.764592243628481, -7.763951295356087, -7.762922970568625, -7.762669721284133, -7.762024742426513, -7.7618984693986395, -7.761473775186028, -7.761394959583433, -7.7610921612711685, -7.761036430868415, -7.760805817152766, -7.760763239247309, -7.7605780745713115, -7.760543717687981, -7.76038854592739, -7.76035961136907, -7.760224813307819, -7.760199560664947, -7.760078737551147, -7.760056003910797, -7.759944619075272, -7.759923574161317, -7.7598181893742115, -7.759798198101333, -7.75969600640188, -7.759676544215015, -7.759575052318404, -7.759555646779555, -7.7594524254595765, -7.759432609222246, -7.759325056613427, -7.7593043214573925, -7.759189388895492, -7.759167130914999, -7.759040946480505, -7.7590163891198785, -7.758873671521779, -7.758845743850482, -7.758678799716607, -7.75864592577428, -7.758442787333411, -7.758402491343853, -7.758143148618254, -7.758091251439426, -7.757739219201926, -7.757668001348877, -7.75714884323382, -7.757042780037452, -7.7561797130169285, -7.75600502980896, -7.754291183915065, -7.754124702169296, -7.749859747161658, -7.753452850985046, -7.7590950910481045, -7.763782690942817, -7.764935930465074, -7.766035378635245, -7.766114911687415, -7.763108976462059, -7.763208507581867, -7.765996291985807, -7.7660527575406295, -7.760439460261338, -7.760616692229364, -7.766162844644402, -7.766239680341547, -7.765709107189146, -7.765733489922129, -7.765650626205751, -7.765679591238154, -7.757328858015111, -7.757738080819977, -7.766044881395034, -7.7662667274427974, -7.765629659306489, -7.765660338195515, -7.757341798966146, -7.757761526676388, -7.766022796580572, -7.766251611232751, -7.765630446606161, -7.765662200010193, -7.757339067635613, -7.757755636702298, -7.766028423690614, -7.766255473565959, -7.765630133752591, -7.7656616197873465, -7.757339835706467, -7.757757269202571, -7.766026869136202, -7.76625440721425, -7.765630213014498, -7.765661773332553, -7.757339628108292, -7.757756826578142]","[0.027611083998635877, 0.022679583002172876, 0.025286584001150914, 0.027597874999628402, 0.023805083001207095, 0.02257070800260408, 0.018376874999376014, 0.039541124999232125, 0.0191279169957852, 0.02348395800072467, 0.020857333001913503, 0.022556707997864578, 0.021714041999075562, 0.022541833997820504, 0.016797459000372328, 0.022533666997333057, 0.025075249999645166, 0.03545691599720158, 0.020982541995181236, 0.01944750000257045, 0.020223917003022507, 0.02128429100412177, 0.023624500005098525, 0.023735082999337465, 0.020697958003438544, 0.0240557080032886, 0.01880325000092853, 0.02774024999962421, 0.022376375003659632, 0.02310879099968588, 0.02194908399542328, 0.024667083998792805, 0.02112337500147987, 0.02160612500301795, 0.021981166006298736, 0.029441334001603536, 0.020069707999937236, 0.023947250003402587, 0.018685750001168344, 0.024618124996777624, 0.019584374997066334, 0.019795332998910453, 0.028540250001242384, 0.023483707998821046, 0.021650167000188958, 0.02336825000384124, 0.017340541002340615, 0.021057666999695357, 0.022251666996453423, 0.02417841700662393, 0.026748959004180506, 0.020903165997879114, 0.021620999999868218, 0.023145250001107343, 0.02116891700279666, 0.024448041003779508, 0.017533915997773875, 0.01905533300305251, 0.01712299999780953, 0.018447000002197456, 0.01696129199990537, 0.018056208005873486, 0.017136916001618374, 0.01809079200029373, 0.01738741699955426, 0.018213291994470637, 0.017210374993737787, 0.034198332999949344, 0.02171058300154982, 0.02243083299981663, 0.019081042002653703, 0.01950487500289455, 0.02033845800178824, 0.01981720900221262, 0.02105387499614153, 0.02079420800146181, 0.02088549999461975, 0.03555212500214111, 0.024605333994259126, 0.021401833000709303, 0.01910249999491498, 0.021875209000427276, 0.020375249994685873, 0.022360875002050307, 0.02036641699669417, 0.020585959005984478, 0.018258666998008266, 0.019756749999942258, 0.029559417002019472, 0.02080424999439856, 0.022821833001216874, 0.022098790999734774, 0.02435325000260491, 0.02449216700188117, 0.02219541699741967, 0.021654125004715752, 0.02211162500316277, 0.020523125000181608, 0.019707250001374632, 0.019575416001316626]",LIH_corr,HCT N Comm,True
HCT_N_Comm_Fiedler,block2_pauli,2,-7.784026944126808,0.00025123458859344083,True,0.09130350000486942,2,True,False,False,100,4,1e-06,5.774758449206274e-11,0.0,"[-7.784216198396662, -7.784023242349063, -7.78402694406906, -7.784026944126808]","[0.0218777920017601, 0.020803583996894304, 0.02144729199790163, 0.019913791998988017]",LIH_corr,HCT N Comm,True
BS_N_Comm_Fiedler,block2_pauli,1,-7.781443927900225,0.002834250815175743,False,0.1942211249988759,1,True,False,False,100,6,1e-06,7.998015174592865e-07,0.0,"[-7.784138598404508, -7.73476544252736, -7.778283411915945, -7.778347802050345, -7.781443128098708, -7.781443927900225]","[0.03429275000235066, 0.037683875001675915, 0.026221332998829894, 0.024713167003937997, 0.0324852500052657, 0.029866541000956204]",LIH_corr,BS N Comm,True
BS_N_Comm_Fiedler,block2_pauli,2,-7.784023126838457,0.000255051876943746,True,0.1016011659958167,2,True,False,False,100,3,1e-06,1.8276047342169477e-11,0.0,"[-7.784217330068309, -7.7840231268567335, -7.784023126838457]","[0.033296916997642256, 0.032617083001241554, 0.026246084002195857]",LIH_corr,BS N Comm,True
