frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
raw_qubit,block2_pauli,1,-7.861864769808658,0.020459609074883645,False,0.07784966699546203,1,True,False,False,100,3,1e-06,0.0,0.0,"[-7.882310986267197, -7.861864769808658, -7.861864769808658]","[0.019348166999407113, 0.022960292000789195, 0.026708708006481174]",LIH_eqm,,False
raw_qubit,block2_pauli,2,-7.8770809079345305,0.005243470949011453,False,0.06701849999808474,2,True,False,False,100,3,1e-06,1.7247064754144503e-07,0.0,"[-7.882310986267197, -7.877080735463883, -7.8770809079345305]","[0.023703250000835396, 0.018551207998825703, 0.016331375001755077]",LIH_eqm,,False
raw_qubit,block2_pauli,3,-7.879465494741163,0.0028588841423786704,False,0.09460791700257687,3,True,False,False,100,4,1e-06,2.1622450496749934e-07,0.0,"[-7.882310986267197, -7.879335504044751, -7.879465278516658, -7.879465494741163]","[0.023393957999360282, 0.021305458001734223, 0.024564332998124883, 0.01774779200059129]",LIH_eqm,,False
raw_qubit,block2_pauli,4,-7.881603328545805,0.0007210503377370614,True,0.10469866699713748,4,True,False,False,100,4,1e-06,2.6645352591003757e-15,0.0,"[-7.882310986267197, -7.881598226606511, -7.881603328545802, -7.881603328545805]","[0.02591095900424989, 0.023539250003523193, 0.019866916998580564, 0.02265612500195857]",LIH_eqm,,False
HCT_Nover2_Comm,block2_pauli,1,-7.8619876061918434,0.020336772691698535,False,0.07348908400308574,1,True,False,False,100,3,1e-06,7.83967024631238e-09,0.0,"[-7.882311077619468, -7.861987614031514, -7.8619876061918434]","[0.020985791001294274, 0.017427833001420368, 0.016408750001573935]",LIH_eqm,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,2,-7.87843642193985,0.003887956943692039,False,0.0937815409997711,2,True,False,False,100,3,1e-06,8.283106724960021e-07,0.0,"[-7.882313262576345, -7.8784355936291774, -7.87843642193985]","[0.026644208999641705, 0.029319500004930887, 0.026921290998870973]",LIH_eqm,HCT N/2 Comm,False
HCT_Nover2_Comm,block2_pauli,3,-7.882032276427861,0.0002921024556812313,True,0.12676687500061234,3,True,False,False,100,4,1e-06,3.907985046680551e-14,0.0,"[-7.882322605199504, -7.881841372983882, -7.8820322764279, -7.882032276427861]","[0.030708874997799285, 0.02222304199676728, 0.019195415996364318, 0.041163042005791795]",LIH_eqm,HCT N/2 Comm,False
HCT_N_Comm,block2_pauli,1,-7.8765363683690826,0.00578801051445943,False,0.10224066599766957,1,True,False,False,100,4,1e-06,6.437644817225419e-08,0.0,"[-7.882310994108678, -7.876812503203877, -7.876536432745531, -7.8765363683690826]","[0.01875266600109171, 0.021176041998842265, 0.024705249998078216, 0.029628582997247577]",LIH_eqm,HCT N Comm,False
HCT_N_Comm,block2_pauli,2,-7.88209888668413,0.0002254921994122583,True,0.11036645800049882,2,True,False,False,100,4,1e-06,2.7844659911124836e-09,0.0,"[-7.882314899423639, -7.882097672908259, -7.882098883899664, -7.88209888668413]","[0.019580792002670933, 0.022014417001628317, 0.030308957997476682, 0.030178208005963825]",LIH_eqm,HCT N Comm,False
Pauli_BLISS+HCT_N_Comm,block2_pauli,1,-7.8765363683690826,0.00578801051445943,False,0.16625104199920315,1,True,False,False,100,4,1e-06,6.437644817225419e-08,0.0,"[-7.882310994108678, -7.876812503203877, -7.876536432745531, -7.8765363683690826]","[0.02445224999974016, 0.030304667001473717, 0.08500095800263807, 0.018812542002706323]",LIH_eqm,Pauli BLISS+HCT N Comm,False
