frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-195.98138650749266,0.002751513078408152,False,0.11205833299754886,1,True,False,False,100,7,1e-06,0.0,0.0,"[-195.98413802057087, -195.98138650749266, -195.98138650749266, -195.98138650749266, -195.98138650749266, -195.98138650749266, -195.98138650749266]","[0.018126540999219287, 0.028803334003896452, 0.009532750002108514, 0.01147645900346106, 0.016379458000301383, 0.012201124998682644, 0.009067541999684181]",,False,block2_su2,F2_corr
raw_fermionic_su2,2,-195.98206125836867,0.0020767622023925014,False,0.11495591599668842,2,True,False,False,100,7,1e-06,5.105592606469145e-07,0.0,"[-195.98413802057087, -195.9828614765392, -195.98205751472608, -195.9820589734316, -195.98205963449183, -195.9820607478094, -195.98206125836867]","[0.012374457997793797, 0.03595770899846684, 0.011417583998991176, 0.019365459003893193, 0.010818417002155911, 0.011078791001637, 0.009472458994423505]",,False,block2_su2,F2_corr
raw_fermionic_su2,3,-195.98350971287283,0.0006283076982356306,True,0.10606108399952063,3,True,False,False,100,7,1e-06,5.214326392888324e-07,0.0,"[-195.98413802057087, -195.98359843255503, -195.98350466808674, -195.98350791772455, -195.98350791772455, -195.9835091914402, -195.98350971287283]","[0.013933457994426135, 0.015086208004504442, 0.010188041000219528, 0.01463349999539787, 0.01918587500404101, 0.019823833004920743, 0.00901141700160224]",,False,block2_su2,F2_corr
raw_qubit,1,-195.73109815321564,0.25303986735542594,False,0.4851222910001525,1,True,False,False,100,7,1e-06,0.0,0.0,"[-195.98413802057024, -195.73109815321564, -195.73109815321564, -195.73109815321564, -195.73109815321564, -195.73109815321564, -195.73109815321564]","[0.07276895799441263, 0.0711363340014941, 0.06139508299384033, 0.06465366600605194, 0.0628858330019284, 0.06758379199891351, 0.056310291998670436]",,False,block2_pauli,F2_corr
raw_qubit,2,-195.98138650749206,0.002751513079005008,False,0.45930841699737357,2,True,False,False,100,7,1e-06,0.0,0.0,"[-195.98413802057024, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206]","[0.08138483299990185, 0.07016000000294298, 0.054973666003206745, 0.06793833400297444, 0.05543429100362118, 0.05106629200599855, 0.047041290999914054]",,False,block2_pauli,F2_corr
raw_qubit,3,-195.9821854501347,0.0019525704363729801,False,0.4259628750005504,3,True,False,False,100,7,1e-06,2.842170943040401e-14,0.0,"[-195.98413802057024, -195.9821854501346, -195.98218545013464, -195.98218545013464, -195.98218545013464, -195.98218545013466, -195.9821854501347]","[0.06475116700312356, 0.058098292000067886, 0.05892462500196416, 0.06244708300073398, 0.04828750000160653, 0.055278666004596744, 0.05353599999943981]",,False,block2_pauli,F2_corr
raw_qubit,4,-195.98286255930566,0.0012754612654077846,True,0.4075366250035586,4,True,False,False,100,7,1e-06,1.1368683772161603e-13,0.0,"[-195.98413802057024, -195.98301792547784, -195.98286255930572, -195.98286255930586, -195.9828625593058, -195.98286255930577, -195.98286255930566]","[0.06221279199962737, 0.05300683299719822, 0.060459332999016624, 0.05173170800117077, 0.056827041997166816, 0.05278987500059884, 0.0467619580012979]",,False,block2_pauli,F2_corr
seniority_Nover2,1,-195.98138650749206,0.002751513079005008,False,0.4634145419986453,1,True,False,False,100,7,1e-06,0.0,0.0,"[-195.9841380205703, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206, -195.98138650749206]","[0.0721679159978521, 0.0602710829989519, 0.05992479199630907, 0.06544437500269851, 0.05801029100257438, 0.061198250004963484, 0.057070458999078255]",Seniority N/2,False,block2_pauli,F2_corr
seniority_Nover2,2,-195.98316829984446,0.0009697207266015084,True,0.45288308399904054,2,True,False,False,100,7,1e-06,8.526512829121202e-14,0.0,"[-195.9841380205703, -195.98316840649028, -195.98316840835867, -195.9831683011637, -195.98316830116357, -195.98316829984438, -195.98316829984446]","[0.0626744580004015, 0.06206262499472359, 0.058081458999367896, 0.07068170799902873, 0.0596300000033807, 0.06538929200178245, 0.049442208000982646]",Seniority N/2,False,block2_pauli,F2_corr
HCT_Nover2_Comm,1,-195.98139506080074,0.0027429597703303443,False,0.6031728750022012,1,True,False,False,100,7,1e-06,2.842170943040401e-14,0.0,"[-195.9841380205703, -195.9813938521272, -195.98139481843447, -195.9813950607151, -195.98139506080076, -195.98139506080076, -195.98139506080074]","[0.06624762499995995, 0.13269512499391567, 0.07179475000157254, 0.07836587500059977, 0.07716204100142932, 0.07570416600356111, 0.07012516699614935]",HCT N/2 Comm,False,block2_pauli,F2_corr
HCT_Nover2_Comm,2,-195.98219539905878,0.001942621512284859,False,0.5393553749963758,2,True,False,False,100,7,1e-06,8.526512829121202e-14,0.0,"[-195.98413802057033, -195.98219513178014, -195.98219539855262, -195.98219539905853, -195.98219539905887, -195.98219539905887, -195.98219539905878]","[0.09209612500126241, 0.07713833299931139, 0.06568333299946971, 0.07192562500131316, 0.06573683299939148, 0.06566029199893819, 0.0626581249962328]",HCT N/2 Comm,False,block2_pauli,F2_corr
