frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-195.96967857808266,0.07995934516588932,False,0.1476635420040111,1,True,False,False,100,7,1e-06,0.0,0.0,"[-196.04963792324847, -195.96967857808266, -195.96967857808266, -195.96967857808266, -195.96967857808266, -195.96967857808266, -195.96967857808266]","[0.016955208004219458, 0.024013125002966262, 0.016630625003017485, 0.019579500003601424, 0.026025332997960504, 0.015021791004983243, 0.02102970799751347]",,False,block2_su2,F2_eqm
raw_fermionic_su2,2,-196.04618777476122,0.0034501484873317168,False,0.13258133299677866,2,True,False,False,100,7,1e-06,2.7384032819099957e-09,0.0,"[-196.04963792324847, -196.0461876713035, -196.04618777165257, -196.04618777140522, -196.04618777195176, -196.04618777202282, -196.04618777476122]","[0.016093666999950074, 0.02118216700182529, 0.023315042002650443, 0.0139698330021929, 0.013979916002426762, 0.02031412500218721, 0.01818237499537645]",,False,block2_su2,F2_eqm
raw_fermionic_su2,3,-196.0489398029541,0.0006981202944587039,True,0.15469816700351657,3,True,False,False,100,7,1e-06,1.1192753390787402e-08,0.0,"[-196.04963792324858, -196.0489501529307, -196.04895015293027, -196.04895021485348, -196.048939810929, -196.04893981414685, -196.0489398029541]","[0.023774708999553695, 0.021185083001910243, 0.018768458998238202, 0.021077834004245233, 0.022821999998996034, 0.01536741699965205, 0.014495499999611638]",,False,block2_su2,F2_eqm
raw_qubit,1,-195.96743429168015,0.08220363156840449,False,0.42455899999913527,1,True,False,False,100,7,1e-06,0.0,0.0,"[-196.04963792324895, -195.96743429168015, -195.96743429168015, -195.96743429168015, -195.96743429168015, -195.96743429168015, -195.96743429168015]","[0.062322290999873076, 0.057042042004468385, 0.06374770800175611, 0.056155957994633354, 0.052538625001034234, 0.05205779199604876, 0.059628584000165574]",,False,block2_pauli,F2_eqm
raw_qubit,2,-196.04276512708844,0.006872796160109829,False,0.41807279200293124,2,True,False,False,100,7,1e-06,5.684341886080802e-14,0.0,"[-196.04963792324895, -196.04276547009255, -196.04276512708844, -196.04276512708847, -196.0427651270884, -196.0427651270884, -196.04276512708844]","[0.0594431660065311, 0.05804254199756542, 0.05348566699831281, 0.05569695900339866, 0.05466195799817797, 0.05561712499911664, 0.05588174999866169]",,False,block2_pauli,F2_eqm
raw_qubit,3,-196.0461251448544,0.003512778394167526,False,0.43617512499622535,3,True,False,False,100,7,1e-06,0.0,0.0,"[-196.04963792324895, -196.0461251445438, -196.0461251448543, -196.0461251448544, -196.04612514485433, -196.0461251448544, -196.0461251448544]","[0.058502917003352195, 0.058374583000841085, 0.06472987500455929, 0.058143166002992075, 0.060389792000933085, 0.060501125000882894, 0.05050020800263155]",,False,block2_pauli,F2_eqm
raw_qubit,4,-196.0477821157017,0.001855807546860433,False,0.38621691699518124,4,True,False,False,100,7,1e-06,1.1368683772161603e-13,0.0,"[-196.04963792324895, -196.04881707198373, -196.0477825414378, -196.0477821156303, -196.04778211563024, -196.04778211570158, -196.0477821157017]","[0.054083333001472056, 0.05413220800255658, 0.05353504199592862, 0.05308529100148007, 0.0523848340017139, 0.05075533299532253, 0.04616445899591781]",,False,block2_pauli,F2_eqm
raw_qubit,5,-196.0492556768262,0.0003822464223617317,True,0.3884152499958873,5,True,False,False,100,7,1e-06,4.263256414560601e-13,0.0,"[-196.04963792324895, -196.04924292756942, -196.04925594630612, -196.04925567778082, -196.0492556777485, -196.04925567682662, -196.0492556768262]","[0.053433916000358295, 0.05311920799431391, 0.05181741699925624, 0.05237770800158614, 0.052047459001187235, 0.05559983300190652, 0.04871008400368737]",,False,block2_pauli,F2_eqm
seniority_Nover2,1,-195.96967857808295,0.0799593451656051,False,0.5052617920009652,1,True,False,False,100,7,1e-06,0.0,0.0,"[-196.049637923249, -195.96967857808295, -195.96967857808295, -195.96967857808295, -195.96967857808295, -195.96967857808295, -195.96967857808295]","[0.06045704099960858, 0.07201220800197916, 0.07681075000436977, 0.06680545800190885, 0.06241500000032829, 0.06675549999636132, 0.07621970799664268]",Seniority N/2,False,block2_pauli,F2_eqm
seniority_Nover2,2,-196.04655936582793,0.003078557420622019,False,0.465089249999437,2,True,False,False,100,7,1e-06,2.842170943040401e-14,0.0,"[-196.049637923249, -196.04655933830725, -196.0465593422635, -196.04655936582708, -196.04655936582702, -196.04655936582796, -196.04655936582793]","[0.06420208299823571, 0.0589970830042148, 0.06750170799932675, 0.0642809999990277, 0.058447458999580704, 0.06407374999980675, 0.06078525000339141]",Seniority N/2,False,block2_pauli,F2_eqm
seniority_Nover2,3,-196.0495990158954,3.890735314371341e-05,True,0.39864745900558773,3,True,False,False,100,7,1e-06,1.8189894035458565e-12,0.0,"[-196.049637923249, -196.04959903344326, -196.04959903043712, -196.0495990138112, -196.0495990138033, -196.04959901589723, -196.0495990158954]","[0.055750833002093714, 0.060131250000267755, 0.05371645799459657, 0.05519374999857973, 0.051102583995088935, 0.050894958003482316, 0.04755304100399371]",Seniority N/2,False,block2_pauli,F2_eqm
HCT_Nover2_Comm,1,-195.96744233731027,0.08219558593827969,False,0.4956526249952731,1,True,False,False,100,7,1e-06,5.684341886080802e-14,0.0,"[-196.04963792324907, -195.96744231121278, -195.96744233731027, -195.96744233731022, -195.96744233731027, -195.96744233731022, -195.96744233731027]","[0.06051895899872761, 0.0747480829959386, 0.06566895900323289, 0.06805316600366496, 0.0669670830029645, 0.07269833300233586, 0.06142849999741884]",HCT N/2 Comm,False,block2_pauli,F2_eqm
