frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-74.73113565570132,0.0066041616591689944,False,0.06351462499878835,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773022812907, -74.73113565570132, -74.73113565570132, -74.73113565570132, -74.73113565570132, -74.73113565570132, -74.73113565570132]","[0.007845125001040287, 0.0063084159992286, 0.010433333001856226, 0.005673957995895762, 0.006030916003510356, 0.009299541998188943, 0.010335749997466337]",,False,block2_su2,H2O_diss
raw_fermionic_su2,2,-74.7373880421062,0.0003517752542876451,True,0.062222375003329944,2,True,False,False,100,7,1e-06,6.745750624759239e-10,0.0,"[-74.73773022812907, -74.73738805184517, -74.7373880414147, -74.73738804141234, -74.73738804143399, -74.73738804143163, -74.7373880421062]","[0.009854333999101073, 0.0071165829940582626, 0.0068757499975617975, 0.010994374999427237, 0.006165165999846067, 0.006831625003542285, 0.010056416998850182]",,False,block2_su2,H2O_diss
raw_qubit,1,-74.73308083271489,0.004658984645601549,False,0.2874473330011824,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773022812927, -74.73308083271489, -74.73308083271489, -74.73308083271489, -74.73308083271489, -74.73308083271489, -74.73308083271489]","[0.0381275839972659, 0.035006832993531134, 0.04151362500124378, 0.053201041999273, 0.028367167004034854, 0.03957333399739582, 0.0314337920062826]",,False,block2_pauli,H2O_diss
raw_qubit,2,-74.7355099531805,0.0022298641799949337,False,0.23966345899680164,2,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-74.73773022812927, -74.73550995318048, -74.73550995318048, -74.73550995318048, -74.73550995318048, -74.73550995318048, -74.7355099531805]","[0.029386041998805013, 0.03247529199870769, 0.027154916002473328, 0.039017374998365995, 0.03126495899778092, 0.030824041001324076, 0.032754583000496496]",,False,block2_pauli,H2O_diss
raw_qubit,3,-74.73725087305591,0.0004889443045783537,True,0.2570334999982151,3,True,False,False,100,7,1e-06,1.4210854715202004e-13,0.0,"[-74.73773022812927, -74.73725055779632, -74.73725087305593, -74.73725087305579, -74.73725087305591, -74.73725087305577, -74.73725087305591]","[0.03046379200532101, 0.03428866600006586, 0.03179308299877448, 0.03284325000277022, 0.0302534580041538, 0.0348406250050175, 0.04945979100011755]",,False,block2_pauli,H2O_diss
seniority_Nover2,1,-74.73356533232634,0.00417448503415585,False,0.25758529199811164,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773022812922, -74.73356533232634, -74.73356533232634, -74.73356533232634, -74.73356533232634, -74.73356533232634, -74.73356533232634]","[0.04502691700326977, 0.029666624999663327, 0.03486170899850549, 0.030512124998494983, 0.03715154199744575, 0.031406499998411164, 0.029951958000310697]",Seniority N/2,False,block2_pauli,H2O_diss
seniority_Nover2,2,-74.73697628494676,0.0007635324137282851,True,0.26238537499739323,2,True,False,False,100,7,1e-06,1.0741914024947619e-08,0.0,"[-74.73773022812922, -74.73531412964081, -74.73643300261428, -74.73695498403876, -74.73697627403142, -74.73697627420485, -74.73697628494676]","[0.04219733300124062, 0.02695037499506725, 0.03727820800122572, 0.03907174999767449, 0.039053207998222206, 0.038149332998727914, 0.023685207997914404]",Seniority N/2,False,block2_pauli,H2O_diss
HCT_Nover2_Comm,1,-74.73697627425682,0.0007635431036732143,True,0.23596729199925903,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773022812921, -74.7369762742568, -74.73697627425682, -74.73697627425682, -74.73697627425682, -74.73697627425682, -74.73697627425682]","[0.031070916993485298, 0.03367020800214959, 0.03560637500049779, 0.03265537499828497, 0.027099167004053015, 0.033511125002405606, 0.029417166006169282]",HCT N/2 Comm,False,block2_pauli,H2O_diss
HCT_N_Comm,1,-74.7369683140355,0.0007715033249979797,True,0.32588733300508466,1,True,False,False,100,8,1e-06,0.0,0.0,"[-74.73773023686068, -74.73661177018818, -74.7369481969697, -74.7369481969697, -74.73696248916731, -74.73696248916733, -74.7369683140355, -74.7369683140355]","[0.06292466699960642, 0.03637883299961686, 0.0354325410007732, 0.0329829999973299, 0.03644962500402471, 0.033310667000478134, 0.029628750002302695, 0.03523741599929053]",HCT N Comm,False,block2_pauli,H2O_diss
Pauli_BLISS+HCT_N_Comm,1,-74.73697627509698,0.0007635422635132727,True,0.2499801669982844,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773052504927, -74.73697627509698, -74.73697627509698, -74.73697627509698, -74.73697627509698, -74.73697627509698, -74.73697627509698]","[0.03581270800350467, 0.03861716700339457, 0.03108866699767532, 0.029986292000103276, 0.03812837499572197, 0.026923291996354237, 0.03208537499449449]",Pauli BLISS+HCT N Comm,False,block2_pauli,H2O_diss
BS_Nover2_Comm,1,-74.73552983180798,0.0022099855525112844,False,0.23707249999279156,1,True,False,False,100,7,1e-06,0.0,0.0,"[-74.73773022812922, -74.73551545906726, -74.73552982939675, -74.73552983180328, -74.73552983180328, -74.73552983180798, -74.73552983180798]","[0.02952937500231201, 0.03455191700049909, 0.03359641700080829, 0.03604116700444138, 0.029126792003808077, 0.032117000002472196, 0.025110833994403947]",BS N/2 Comm,False,block2_pauli,H2O_diss
BS_Nover2_Comm,2,-74.73747753913912,0.0002622782213705932,True,0.2325219590056804,2,True,False,False,100,7,1e-06,2.7569058147491887e-10,0.0,"[-74.73773022812922, -74.73681483152563, -74.73727179296117, -74.73747753623411, -74.73747753902212, -74.73747753941481, -74.73747753913912]","[0.03630608299863525, 0.03200445800030138, 0.03575295799964806, 0.03169145900028525, 0.025416124997718725, 0.03094341600080952, 0.028427458004443906]",BS N/2 Comm,False,block2_pauli,H2O_diss
BS_N_Comm,1,-74.73696258821094,0.0007772291495484751,True,0.4146911249990808,1,True,False,False,100,12,1e-06,1.8336039886435174e-07,0.0,"[-74.73773023248619, -74.69721069417037, -74.7180606620355, -74.73258367375226, -74.73591527976026, -74.73650239737339, -74.73685627261206, -74.73689445117897, -74.73694244126857, -74.7369458363462, -74.73696240485054, -74.73696258821094]","[0.036607958005333785, 0.03163187499740161, 0.03617883400147548, 0.03854854199744295, 0.032801500005007256, 0.02786512500460958, 0.029668333001609426, 0.03835670899570687, 0.02978212499874644, 0.026738708998891525, 0.03336524999758694, 0.037454042001627386]",BS N Comm,False,block2_pauli,H2O_diss
HCT_N_Comm_Fiedler,1,-74.73724824504507,0.0004915723154255147,True,0.27646145800099475,1,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-74.73773022813553, -74.73599437744801, -74.73724824498301, -74.73724824501797, -74.73724824504507, -74.73724824504505, -74.73724824504507]","[0.04784591600036947, 0.03224666700407397, 0.03656141700048465, 0.03444162500090897, 0.038881707994733006, 0.03436179100390291, 0.03434658399783075]",HCT N Comm,True,block2_pauli,H2O_diss
BS_N_Comm_Fiedler,1,-74.73574315102745,0.001996666333042185,False,0.2578359589970205,1,True,False,False,100,7,1e-06,7.44790895623737e-11,0.0,"[-74.73773022854527, -74.73549420860569, -74.7357097882476, -74.7357430260715, -74.73574314949266, -74.73574315095297, -74.73574315102745]","[0.04048237499955576, 0.030851124996843282, 0.03874545799772022, 0.033832207998784725, 0.033377374995325226, 0.03015645800041966, 0.037003459001425654]",BS N Comm,True,block2_pauli,H2O_diss
BS_N_Comm_Fiedler,2,-74.73726358270652,0.0004762346539735063,True,0.33379320800304413,2,True,False,False,100,9,1e-06,5.282773685166831e-07,0.0,"[-74.73773686754937, -74.73550875450415, -74.73678611639994, -74.73720744954295, -74.73723685992373, -74.73725870364285, -74.73726164078316, -74.73726305442915, -74.73726358270652]","[0.03653124999982538, 0.03744091699627461, 0.04404662500019185, 0.03134941600001184, 0.03267095900082495, 0.03332349999982398, 0.03542400000151247, 0.027423041996371467, 0.04109733299992513]",BS N Comm,True,block2_pauli,H2O_diss
