frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-74.96591491079833,0.0539398854460984,False,0.061384458997054026,1,True,False,False,100,7,1e-06,0.0,0.0,"[-75.0189278501031, -74.96591491079833, -74.96591491079833, -74.96591491079833, -74.96591491079833, -74.96591491079833, -74.96591491079833]","[0.015269624993379693, 0.007196708997071255, 0.006364208995364606, 0.011015959003998432, 0.006041958004061598, 0.006107834000431467, 0.005598625000857282]",,False,block2_su2,H2O_eqm
raw_fermionic_su2,2,-74.99068153686461,0.029173259379817296,False,0.058590417000232264,2,True,False,False,100,7,1e-06,1.5124233243568597e-07,0.0,"[-75.0189278501031, -74.99034748326773, -74.99068147326818, -74.99068147328813, -74.99068168810935, -74.99068168810695, -74.99068153686461]","[0.008738458993320819, 0.007083875003445428, 0.006107291999796871, 0.010491417000594083, 0.007335916001466103, 0.007570082998427097, 0.007287458000064362]",,False,block2_su2,H2O_eqm
raw_fermionic_su2,3,-75.01187628217394,0.007978514070487108,False,0.0737516249937471,3,True,False,False,100,10,1e-06,2.744257301401376e-07,0.0,"[-75.01892785010313, -75.01189391022615, -75.00807352509163, -75.00806595352057, -75.00805804180786, -75.00805775352019, -75.01186491326732, -75.01187215365599, -75.01187600774821, -75.01187628217394]","[0.008124291001877282, 0.007692249993851874, 0.006864209004561417, 0.00714829199569067, 0.007013416005065665, 0.006923207998625003, 0.006109750000177883, 0.006583249996765517, 0.006163749996630941, 0.007203792003565468]",,False,block2_su2,H2O_eqm
raw_fermionic_su2,4,-75.01433960843967,0.0055151878047610126,False,0.06448258299496956,4,True,False,False,100,7,1e-06,1.3017142919125035e-11,0.0,"[-75.01892785010313, -75.0143184981352, -75.01433602654035, -75.01433953146591, -75.01433953089332, -75.01433960845269, -75.01433960843967]","[0.007844125000701752, 0.011965375000727363, 0.0068972919980296865, 0.013070207998680416, 0.006805459001043346, 0.007871875001001172, 0.006576625004527159]",,False,block2_su2,H2O_eqm
raw_fermionic_su2,5,-75.01860775025966,0.0012470459847691018,True,0.06728791700152215,5,True,False,False,100,8,1e-06,5.903189048694912e-10,0.0,"[-75.01892785010313, -75.01861053572745, -75.0186207743748, -75.01862075877781, -75.01862075906236, -75.01862075924315, -75.01860775084998, -75.01860775025966]","[0.007872624999436084, 0.00723741600086214, 0.006593999998585787, 0.006923708999238443, 0.011465957999462262, 0.00718145800055936, 0.005932875006692484, 0.010635457998432685]",,False,block2_su2,H2O_eqm
raw_qubit,1,-74.96466253913059,0.05519225711384479,False,0.24963237500196556,1,True,False,False,100,7,1e-06,0.0,0.0,"[-75.0189278501031, -74.96466253913059, -74.96466253913059, -74.96466253913059, -74.96466253913059, -74.96466253913059, -74.96466253913059]","[0.032410917003289796, 0.04126954199455213, 0.029275083004904445, 0.03479854100442026, 0.03216500000417, 0.03703608400246594, 0.02535854199959431]",,False,block2_pauli,H2O_eqm
raw_qubit,2,-74.98147441071447,0.038380385529961814,False,0.25820529100019485,2,True,False,False,100,7,1e-06,0.0,0.0,"[-75.0189278501031, -74.98147441071445, -74.98147441071448, -74.98147441071447, -74.98147441071447, -74.98147441071447, -74.98147441071447]","[0.04147570799977984, 0.03451474999747006, 0.032879500002309214, 0.030158958994434215, 0.040236207998532336, 0.032947625004453585, 0.03154129200265743]",,False,block2_pauli,H2O_eqm
raw_qubit,3,-74.98657448936078,0.03328030688365402,False,0.26154958300321596,3,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-75.0189278501031, -74.98657448936063, -74.98657448936069, -74.98657448936075, -74.98657448936075, -74.98657448936076, -74.98657448936078]","[0.0417661660030717, 0.034217166001326405, 0.03725041600409895, 0.03321025000332156, 0.027656458994897548, 0.03754829199897358, 0.030990083003416657]",,False,block2_pauli,H2O_eqm
raw_qubit,4,-74.99661694744404,0.023237848800391703,False,0.28334895899752155,4,True,False,False,100,7,1e-06,1.6132162272697315e-10,0.0,"[-75.0189278501031, -74.99633725133563, -74.99834376649898, -74.99706254858114, -74.99661694529581, -74.99661694728272, -74.99661694744404]","[0.045669582999835256, 0.038737959002901334, 0.03357749999850057, 0.044414291995053645, 0.030412749998504296, 0.03828633299417561, 0.03839804099698085]",,False,block2_pauli,H2O_eqm
raw_qubit,5,-75.01147491763764,0.008379878606788793,False,0.29996420799579937,5,True,False,False,100,7,1e-06,2.3034374407870928e-10,0.0,"[-75.0189278501031, -75.0114731936594, -75.0114741831462, -75.0114951855642, -75.01149518737198, -75.01147491786799, -75.01147491763764]","[0.047979832997953054, 0.04032941599871265, 0.04070941700047115, 0.03324795800290303, 0.0410794579947833, 0.04186295800172957, 0.03614295899751596]",,False,block2_pauli,H2O_eqm
