frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-1.4273888265298889,0.4399025458714889,False,0.021450291002111044,1,True,False,False,100,7,1e-06,0.0,0.0,"[-1.8588887525947484, -1.4273888265298889, -1.4273888265298889, -1.4273888265298889, -1.4273888265298889, -1.4273888265298889, -1.4273888265298889]","[0.0033724579989211634, 0.003058249996684026, 0.002922917003161274, 0.002690207998966798, 0.002903665998019278, 0.002563665999332443, 0.0024277499978779815]",,False,block2_su2,H4chain_diss
raw_fermionic_su2,2,-1.5551477624684293,0.31214360993294843,False,0.023943709005834535,2,True,False,False,100,7,1e-06,2.220446049250313e-15,0.0,"[-1.8588887525947484, -1.5644023167065229, -1.5551477624684324, -1.5551477624684262, -1.5551477624684285, -1.5551477624684271, -1.5551477624684293]","[0.0028476250008679926, 0.0024158750020433217, 0.0022007090010447428, 0.006977417004236486, 0.0034904589992947876, 0.002564124995842576, 0.002173584005504381]",,False,block2_su2,H4chain_diss
raw_fermionic_su2,3,-1.867291372398402,2.9758417952052696e-12,True,0.026624541998899076,3,True,False,False,100,7,1e-06,2.9691804570575187e-12,0.0,"[-1.8672913724006184, -1.8672913724013604, -1.8672913723984068, -1.8672913724013693, -1.8672913723984028, -1.867291372401371, -1.867291372398402]","[0.00612441600242164, 0.003413875005207956, 0.003121458998066373, 0.003277791998698376, 0.0029307500008144416, 0.0029891660014982335, 0.0035242500016465783]",,False,block2_su2,H4chain_diss
raw_qubit,1,-1.8656454887722755,0.0016458836291022294,False,0.08838654099963605,1,True,False,False,100,7,1e-06,0.0,0.0,"[-1.8656454887722156, -1.8656454887722755, -1.8656454887722755, -1.8656454887722755, -1.8656454887722755, -1.8656454887722755, -1.8656454887722755]","[0.011343791004037485, 0.01071800000499934, 0.014527209001244046, 0.009841917002631817, 0.013083416997687891, 0.009455500003241468, 0.014205749997927342]",,False,block2_pauli,H4chain_diss
raw_qubit,2,-1.5551402138435613,0.3121511585578165,False,0.10333050000190269,2,True,False,False,100,7,1e-06,2.220446049250313e-16,0.0,"[-1.8588887525947486, -1.5551402138435615, -1.5551402138435615, -1.5551402138435615, -1.5551402138435615, -1.5551402138435615, -1.5551402138435613]","[0.014955375001591165, 0.015035208001791034, 0.011849166003230494, 0.010976958001265302, 0.01966174999688519, 0.01102954099769704, 0.014060207999136765]",,False,block2_pauli,H4chain_diss
raw_qubit,3,-1.8656454887004155,0.0016458837009623029,False,0.09377904199936893,3,True,False,False,100,7,1e-06,4.440892098500626e-16,0.0,"[-1.8656454886987062, -1.8656454887004155, -1.8656454887004155, -1.865645488700416, -1.865645488700416, -1.865645488700415, -1.8656454887004155]","[0.014456416000030003, 0.01110708399937721, 0.013708750004298054, 0.015213541002594866, 0.009542291998513974, 0.014758167002582923, 0.009925042002578266]",,False,block2_pauli,H4chain_diss
raw_qubit,4,-1.865645488749379,0.001645883651998803,False,0.10779845800425392,4,True,False,False,100,7,1e-06,0.0,0.0,"[-1.8588887525947486, -1.8656454887493792, -1.8656454887493792, -1.865645488749379, -1.865645488749379, -1.865645488749379, -1.865645488749379]","[0.013961084005131852, 0.015072750000399537, 0.011389915998734068, 0.0170429999998305, 0.014133832999505103, 0.010690666997106746, 0.01634649999323301]",,False,block2_pauli,H4chain_diss
raw_qubit,5,-1.8656454887709955,0.0016458836303823166,False,0.11211424999783048,5,True,False,False,100,7,1e-06,0.0,0.0,"[-1.8603763505070792, -1.8656454887709946, -1.8656454887709957, -1.8656454887709957, -1.865645488770995, -1.8656454887709955, -1.8656454887709955]","[0.015096458999323659, 0.018839958000171464, 0.011250041003222577, 0.023158666997915134, 0.011022625003533904, 0.016281709002214484, 0.011564916996576358]",,False,block2_pauli,H4chain_diss
raw_qubit,6,-1.865645488732941,0.001645883668436765,False,0.12722195800597547,6,True,False,False,100,7,1e-06,2.220446049250313e-16,0.0,"[-1.8656390932529008, -1.8656454887334342, -1.865645488732941, -1.865645488732941, -1.8656454887329414, -1.8656454887329412, -1.865645488732941]","[0.01997595799912233, 0.019231042002502363, 0.015589332993840799, 0.016050584003096446, 0.018703792004089337, 0.016412541997851804, 0.01638700000330573]",,False,block2_pauli,H4chain_diss
raw_qubit,7,-1.8656454886290348,0.001645883772342982,False,0.13172741599555593,7,True,False,False,100,7,1e-06,1.4729262254320474e-10,0.0,"[-1.8661649317995908, -1.865645534498372, -1.8656454887114131, -1.8656454887644474, -1.865645488772369, -1.8656454887763274, -1.8656454886290348]","[0.026905125007033348, 0.018319667004107032, 0.01819320800132118, 0.01608020899584517, 0.01336483300110558, 0.01495029099896783, 0.01803029200527817]",,False,block2_pauli,H4chain_diss
