frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-7.743462554710146,0.04081562400525485,False,0.044041749999450985,1,True,False,False,100,7,1e-06,0.0,0.0,"[-7.784136800198444, -7.743462554710146, -7.743462554710146, -7.743462554710146, -7.743462554710146, -7.743462554710146, -7.743462554710146]","[0.004996540999854915, 0.008984207997855265, 0.005481625004904345, 0.005262917002255563, 0.0056758749997243285, 0.006211583000549581, 0.00464737499714829]",,False,block2_su2,LIH_corr
raw_fermionic_su2,2,-7.783375537642763,0.0009026410726384881,True,0.054258458003459964,2,True,False,False,100,7,1e-06,3.0375701953744283e-13,0.0,"[-7.784199892417679, -7.783375535963972, -7.783375535963674, -7.783375537643846, -7.783375537643548, -7.7833755376430664, -7.783375537642763]","[0.005610125001112465, 0.0056899579940363765, 0.009603124999557622, 0.006109334004577249, 0.011255999997956678, 0.0077593749956577085, 0.005629249993944541]",,False,block2_su2,LIH_corr
raw_qubit,1,-7.624975630131303,0.15930254858409842,False,0.17070079199766042,1,True,False,False,100,7,1e-06,0.0,0.0,"[-7.784136800198446, -7.624975630131303, -7.624975630131303, -7.624975630131303, -7.624975630131303, -7.624975630131303, -7.624975630131303]","[0.024165458002244122, 0.023147207997681107, 0.020618250004190486, 0.022898417002579663, 0.022253166003793012, 0.02655520800180966, 0.02315404199907789]",,False,block2_pauli,LIH_corr
raw_qubit,2,-7.781258226498613,0.003019952216788191,False,0.2605052919971058,2,True,False,False,100,11,1e-06,9.999285195405605e-07,0.0,"[-7.784136800198446, -7.782014392091579, -7.781894485372652, -7.780860244030932, -7.780230931808028, -7.780243775189556, -7.7809510778510935, -7.781034927660811, -7.781052944712512, -7.7812592264271325, -7.781258226498613]","[0.021973292001348455, 0.02079083299759077, 0.023800582996045705, 0.02338725000299746, 0.024455541002680548, 0.021696208998037037, 0.021003124995331746, 0.018380708002950996, 0.023218416004965547, 0.02449108300061198, 0.029005333002714906]",,False,block2_pauli,LIH_corr
raw_qubit,3,-7.781745889561999,0.0025322891534020897,False,0.21124562500335742,3,True,False,False,100,7,1e-06,5.849543072145025e-12,0.0,"[-7.784136800198446, -7.782141279246212, -7.782144353323199, -7.781745885917273, -7.781745885915899, -7.7817458895561495, -7.781745889561999]","[0.020057417001225986, 0.033121374995971564, 0.03050749999965774, 0.03672833299788181, 0.02461537499766564, 0.02730275000067195, 0.02987458300049184]",,False,block2_pauli,LIH_corr
raw_qubit,4,-7.783925090874735,0.00035308784066589993,True,0.2806465419998858,4,True,False,False,100,7,1e-06,2.5216273513706255e-11,0.0,"[-7.784136800198446, -7.78392616296251, -7.783925083600539, -7.783925083539451, -7.783925091042008, -7.7839250908999515, -7.783925090874735]","[0.029934208003396634, 0.03291266599990195, 0.09990041600394761, 0.03347049999865703, 0.025026499999512453, 0.02251583299948834, 0.023453333000361454]",,False,block2_pauli,LIH_corr
seniority_Nover2,1,-7.729982504970426,0.054295673744975126,False,0.26047475000086706,1,True,False,False,100,7,1e-06,0.0,0.0,"[-7.784136800198446, -7.729982504970426, -7.729982504970426, -7.729982504970426, -7.729982504970426, -7.729982504970426, -7.729982504970426]","[0.04327533399919048, 0.03266304199496517, 0.04148029200587189, 0.027440665995527525, 0.03242008300003363, 0.03271383300307207, 0.040130166002199985]",Seniority N/2,False,block2_pauli,LIH_corr
seniority_Nover2,2,-7.767318553931331,0.01695962478406976,False,0.24754316600592574,2,True,False,False,100,7,1e-06,2.092380047002962e-08,0.0,"[-7.784173964713643, -7.77187642015763, -7.772198888786754, -7.767523014072747, -7.767509897511765, -7.767318533007531, -7.767318553931331]","[0.0319062920025317, 0.03041658399888547, 0.04006541700073285, 0.026333415997214615, 0.0396479580012965, 0.04329262499959441, 0.02621812500001397]",Seniority N/2,False,block2_pauli,LIH_corr
seniority_Nover2,3,-7.783925715912921,0.00035246280248024675,True,0.2668987080032821,3,True,False,False,100,7,1e-06,1.1993916970709506e-09,0.0,"[-7.784173964713643, -7.78391981671096, -7.783925643124363, -7.783925650831065, -7.7839257137244084, -7.783925714713529, -7.783925715912921]","[0.03211383400048362, 0.032241916000202764, 0.05223045799357351, 0.026310834000469185, 0.03392004199849907, 0.035673874997883104, 0.04004341700056102]",Seniority N/2,False,block2_pauli,LIH_corr
HCT_Nover2_Comm,1,-7.6250717509114825,0.1592064278039187,False,0.23106858399842167,1,True,False,False,100,7,1e-06,1.2434497875801753e-14,0.0,"[-7.784145468355383, -7.625045501327847, -7.625071750829058, -7.625071750828667, -7.6250717509114745, -7.62507175091147, -7.6250717509114825]","[0.03735400000005029, 0.027499791998707224, 0.02751837499818066, 0.02869829200062668, 0.035895875000278465, 0.03023741699871607, 0.02974812500178814]",HCT N/2 Comm,False,block2_pauli,LIH_corr
