frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-7.86212883342706,0.020195545456481945,False,0.04265941600169754,1,True,False,False,100,7,1e-06,1.7763568394002505e-15,0.0,"[-7.882310986267197, -7.862128833427062, -7.86212883342706, -7.862128833427062, -7.86212883342706, -7.862128833427062, -7.86212883342706]","[0.005557457996474113, 0.005245708998700138, 0.004808750003576279, 0.009780041000340134, 0.005472625001857523, 0.005007833999115974, 0.00436166600411525]",,False,block2_su2,LIH_eqm
raw_fermionic_su2,2,-7.8779272968594105,0.004397082024131471,False,0.053160958996159025,2,True,False,False,100,7,1e-06,5.329070518200751e-15,0.0,"[-7.882310986267197, -7.877826277127643, -7.877826277135912, -7.877825925091812, -7.87792729720013, -7.877927296859416, -7.8779272968594105]","[0.009725833995616995, 0.004747083003167063, 0.012277875001018401, 0.004499875001783948, 0.005308667001372669, 0.005363709002267569, 0.008583750000980217]",,False,block2_su2,LIH_eqm
raw_fermionic_su2,3,-7.88221550964142,0.00010886924212183402,True,0.04170341700228164,3,True,False,False,100,7,1e-06,8.15170153600775e-11,0.0,"[-7.882314976405428, -7.882215505203582, -7.882215505182692, -7.882215510821751, -7.882215510902776, -7.882215509559903, -7.88221550964142]","[0.0061879999993834645, 0.005371582999941893, 0.005831375005072914, 0.005800291997729801, 0.005718374995922204, 0.005599208998319227, 0.004622375003236812]",,False,block2_su2,LIH_eqm
raw_qubit,1,-7.861864769808658,0.020459609074883645,False,0.1803404579986818,1,True,False,False,100,7,1e-06,0.0,0.0,"[-7.882310986267197, -7.861864769808658, -7.861864769808658, -7.861864769808658, -7.861864769808658, -7.861864769808658, -7.861864769808658]","[0.024217375001171604, 0.025553207997290883, 0.024078624999674503, 0.023460625001462176, 0.01813091700023506, 0.02200045800418593, 0.029587084005470388]",,False,block2_pauli,LIH_eqm
raw_qubit,2,-7.877080908361206,0.005243470522335869,False,0.16861900000367314,2,True,False,False,100,7,1e-06,1.1285195000709791e-11,0.0,"[-7.882310986267197, -7.877080735463883, -7.8770809079345305, -7.877080907934531, -7.877080908349921, -7.877080908349921, -7.877080908361206]","[0.020391999998537358, 0.023127334003220312, 0.027409208996687084, 0.019265000002633315, 0.021674416995665524, 0.02227087500068592, 0.026474500002223067]",,False,block2_pauli,LIH_eqm
raw_qubit,3,-7.87946614930423,0.0028582295793118107,False,0.16222954200202366,3,True,False,False,100,7,1e-06,1.7956792319751003e-07,0.0,"[-7.882310986267197, -7.879335504044751, -7.879465278516658, -7.879465494741163, -7.879465874633265, -7.879465969736307, -7.87946614930423]","[0.024045666003075894, 0.02324462500109803, 0.01779170800000429, 0.025248666999686975, 0.01943483300419757, 0.023135082999942824, 0.02200295900547644]",,False,block2_pauli,LIH_eqm
raw_qubit,4,-7.881603329487101,0.0007210493964411313,True,0.17090583299432183,4,True,False,False,100,7,1e-06,1.4290790772975015e-12,0.0,"[-7.882310986267197, -7.881598226606511, -7.881603328545802, -7.881603328545805, -7.881603329488531, -7.88160332948853, -7.881603329487101]","[0.025624583002354484, 0.02027795799949672, 0.021918291997280903, 0.026390750004793517, 0.021691957997973077, 0.024904625002818648, 0.018862083998101298]",,False,block2_pauli,LIH_eqm
seniority_Nover2,1,-7.862114245535599,0.02021013334794297,False,0.1747115410034894,1,True,False,False,100,7,1e-06,0.0,0.0,"[-7.882310986267198, -7.862114245535599, -7.862114245535599, -7.862114245535599, -7.862114245535599, -7.862114245535599, -7.862114245535599]","[0.027277291999780573, 0.02376699999877019, 0.01775333300611237, 0.023403874998621177, 0.025953584001399577, 0.02168487499875482, 0.01900329199997941]",Seniority N/2,False,block2_pauli,LIH_eqm
seniority_Nover2,2,-7.881527315478142,0.0007970634054004222,True,0.16318049999972573,2,True,False,False,100,7,1e-06,8.686936858737226e-08,0.0,"[-7.882312222016363, -7.881534167355673, -7.881537642511178, -7.88152954584986, -7.881528495259976, -7.88152740234751, -7.881527315478142]","[0.020532084003207274, 0.028215416001330595, 0.019517583001288585, 0.023067374997481238, 0.021482415999344084, 0.022336624999297783, 0.0204223330001696]",Seniority N/2,False,block2_pauli,LIH_eqm
HCT_Nover2_Comm,1,-7.861987606194128,0.02033677268941414,False,0.16330562499933876,1,True,False,False,100,7,1e-06,5.240252676230739e-14,0.0,"[-7.882311077619468, -7.861987614031514, -7.8619876061918434, -7.86198760617396, -7.861987606194079, -7.86198760619418, -7.861987606194128]","[0.021560291999776382, 0.021010499993280973, 0.023990040994249284, 0.02299079099611845, 0.024209249997511506, 0.024474208999890834, 0.017944083003385458]",HCT N/2 Comm,False,block2_pauli,LIH_eqm
