frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-107.17582171697968,0.279333880726071,False,0.09667429199907929,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.28567167139875, -107.17582171697968, -107.17582171697968, -107.17582171697968, -107.17582171697968, -107.17582171697968, -107.17582171697968]","[0.014815707996604033, 0.013877750003302936, 0.0093762920005247, 0.01662654199753888, 0.008627750001323875, 0.01542712499940535, 0.009296167001593858]",,False,block2_su2,N2_diss
raw_fermionic_su2,2,-107.17582841422737,0.2793271834783866,False,0.11609858400333906,2,True,False,False,100,8,1e-06,3.325340003357269e-12,0.0,"[-107.28567167139875, -107.19693015928844, -107.19693015927722, -107.19693015928756, -107.1969301592213, -107.196930159268, -107.17582841422404, -107.17582841422737]","[0.015069708999362774, 0.0121731249964796, 0.0175670419994276, 0.012125499997637235, 0.01195204199757427, 0.013479708002705593, 0.010965540997858625, 0.014663000001746695]",,False,block2_su2,N2_diss
raw_fermionic_su2,3,-107.29064034008324,0.1645152576225115,False,0.1262658339983318,3,True,False,False,100,8,1e-06,2.886224592657527e-11,0.0,"[-107.31023335294458, -107.27337306147145, -107.29109790986445, -107.29109888386873, -107.2906293814442, -107.29062938309208, -107.29064034005438, -107.29064034008324]","[0.025249916994653177, 0.011693459004163742, 0.01037595899833832, 0.015238874999340624, 0.014521541001158766, 0.0148469589985325, 0.010032583995780442, 0.015898915997240692]",,False,block2_su2,N2_diss
raw_fermionic_su2,4,-107.30857276012068,0.14658283758507196,False,0.23535816599905957,4,True,False,False,100,14,1e-06,1.1517811060457461e-07,0.0,"[-107.31828039007252, -107.3100276640525, -107.31892101033608, -107.31892242859462, -107.31719598255198, -107.31719600067413, -107.31468757210341, -107.31468157260443, -107.31189002862891, -107.31187112115313, -107.30975622694251, -107.30976112388193, -107.30857264494257, -107.30857276012068]","[0.02125812500162283, 0.011727083001460414, 0.015293915996153373, 0.015816709004866425, 0.011327541003993247, 0.02487704200029839, 0.014717917001689784, 0.012199999997392297, 0.0107895830005873, 0.01495666600385448, 0.010886459000175819, 0.015272083997842856, 0.022782833999372087, 0.019865959002345335]",,False,block2_su2,N2_diss
raw_fermionic_su2,5,-107.34308114065904,0.1120744570467167,False,0.13771874999656575,5,True,False,False,100,8,1e-06,6.181721801112872e-11,0.0,"[-107.343967437413, -107.31007610964679, -107.34430953131519, -107.34431568116437, -107.34389929772726, -107.34389930237796, -107.34308114059722, -107.34308114065904]","[0.017556834005517885, 0.01367745800234843, 0.015094624999619555, 0.01831166699412279, 0.016740708000725135, 0.018623291995027103, 0.016951249999692664, 0.012609167002665345]",,False,block2_su2,N2_diss
raw_fermionic_su2,6,-107.3822792458638,0.07287635184195551,False,0.1391260410018731,6,True,False,False,100,8,1e-06,3.0814874207862886e-08,0.0,"[-107.37082964453359, -107.36035923681438, -107.3633759506139, -107.36337594712246, -107.37890149743856, -107.37890148769023, -107.38227927667867, -107.3822792458638]","[0.021093458999530412, 0.02218916700076079, 0.013942625002528075, 0.017983541001740377, 0.017363667000608984, 0.013164999996661209, 0.011223624998820014, 0.011747417003789451]",,False,block2_su2,N2_diss
raw_fermionic_su2,7,-107.37512193049427,0.08003366721148097,False,0.12272583400044823,7,True,False,False,100,8,1e-06,1.7706724975141697e-11,0.0,"[-107.37747344154886, -107.3708557041493, -107.38397331396052, -107.38397331386949, -107.38514246456322, -107.38514246447194, -107.37512193047657, -107.37512193049427]","[0.017145290999906138, 0.01474216699716635, 0.013889583002310246, 0.01426641700527398, 0.01310475000354927, 0.014034083003934938, 0.012137874997279141, 0.015970874999766238]",,False,block2_su2,N2_diss
raw_fermionic_su2,8,-107.37873668120923,0.07641891649652166,False,0.1815987089939881,8,True,False,False,100,8,1e-06,2.8691715669992846e-11,0.0,"[-107.37806061711036, -107.37115836347293, -107.39487451830583, -107.39487451828884, -107.3965245940058, -107.39365115535033, -107.37873668123792, -107.37873668120923]","[0.04019433299981756, 0.027701250000973232, 0.03274033300112933, 0.019153667002683505, 0.013616208998428192, 0.013124167002388276, 0.013593667004897725, 0.013444791999063455]",,False,block2_su2,N2_diss
raw_fermionic_su2,9,-107.36530142800221,0.08985416970354265,False,0.12690374999510823,9,True,False,False,100,8,1e-06,7.841549631848466e-11,0.0,"[-107.3785222849712, -107.37854421639906, -107.37652312108659, -107.37652312110103, -107.37052880228629, -107.3705288022705, -107.3653014279238, -107.36530142800221]","[0.019841833993268665, 0.014300208000349812, 0.013903332997870166, 0.01711129099567188, 0.013567250003688969, 0.01474900000175694, 0.013201166002545506, 0.01257558399811387]",,False,block2_su2,N2_diss
raw_fermionic_su2,10,-107.40697756190022,0.04817803580553459,False,0.1299044999977923,10,True,False,False,100,8,1e-06,9.023892744153272e-12,0.0,"[-107.3785431869707, -107.37856500360684, -107.39548965520402, -107.39548965517537, -107.40435590073089, -107.40123589405859, -107.40697756190924, -107.40697756190022]","[0.017257584004255477, 0.015708958002505824, 0.01463629199861316, 0.015675917005864903, 0.015208291995804757, 0.014456625001912471, 0.012347541996859945, 0.016565334000915755]",,False,block2_su2,N2_diss
raw_fermionic_su2,12,-107.40702422416472,0.04813137354103958,False,0.1495464159961557,12,True,False,False,100,8,1e-06,6.45599129711627e-11,0.0,"[-107.37867486660407, -107.37869662800028, -107.41063792214065, -107.41063792217098, -107.41593052442357, -107.4159305244277, -107.40702422410016, -107.40702422416472]","[0.018754792006802745, 0.019501249997119885, 0.018422790999466088, 0.018066707998514175, 0.01586574999964796, 0.017391042005328927, 0.013337666001461912, 0.012688000002526678]",,False,block2_su2,N2_diss
raw_fermionic_su2,14,-107.41888286467413,0.03627273303162326,False,0.1340940000009141,14,True,False,False,100,7,1e-06,1.933666737841122e-08,0.0,"[-107.37950729842152, -107.37979421950678, -107.40989767694322, -107.41685081889473, -107.41888284533549, -107.41888284533746, -107.41888286467413]","[0.01772379199974239, 0.019590625001001172, 0.018431166994560044, 0.018722875000094064, 0.0181115419982234, 0.018170124996686354, 0.016025334000005387]",,False,block2_su2,N2_diss
raw_fermionic_su2,16,-107.41892523698705,0.036230360718704446,False,0.17118325000046752,16,True,False,False,100,7,1e-06,1.615781854980014e-07,0.0,"[-107.37952698793842, -107.38020126562103, -107.41196409368648, -107.41892402672606, -107.41892539855955, -107.41892539856524, -107.41892523698705]","[0.022254666000662837, 0.043191208998905495, 0.021435459006170277, 0.020724209003674332, 0.019235082996601705, 0.018836833005480003, 0.018056708002404775]",,False,block2_su2,N2_diss
raw_fermionic_su2,18,-107.4199957040621,0.035159893643651685,False,0.19552220799960196,18,True,False,False,100,8,1e-06,4.2021497392852325e-11,0.0,"[-107.37957632827623, -107.38031741537561, -107.41127690070441, -107.4196349936769, -107.41988635897088, -107.41988635896988, -107.41999570402008, -107.4199957040621]","[0.025883082998916507, 0.03076166699611349, 0.02554066699667601, 0.023614624995389022, 0.021502083996892907, 0.02167475000169361, 0.019843374997435603, 0.019257957996160258]",,False,block2_su2,N2_diss
raw_fermionic_su2,20,-107.42034297223361,0.034812625472142145,False,0.21946083399961935,20,True,False,False,100,8,1e-06,4.7620574150641914e-11,0.0,"[-107.37958623119663, -107.3803062741099, -107.41036840255995, -107.4199768561634, -107.42038087031099, -107.42038087030323, -107.42034297228123, -107.42034297223361]","[0.0201301670022076, 0.036897375000989996, 0.027207042003283277, 0.028533834003610536, 0.023798458998498973, 0.025888666001264937, 0.02627658299752511, 0.023465833997761365]",,False,block2_su2,N2_diss
raw_fermionic_su2,30,-107.45480566013443,0.000349937571328951,True,0.3000772910017986,30,True,False,False,100,8,1e-06,6.060638213511993e-08,0.0,"[-107.37993685447536, -107.41961102577135, -107.45470042231119, -107.45480193585774, -107.45480737237723, -107.45480927731623, -107.45480559952804, -107.45480566013443]","[0.02454412499355385, 0.040896749997045845, 0.04139004099852173, 0.041339124996738974, 0.03800245800084667, 0.03959579199727159, 0.034197417000541463, 0.032734209002228454]",,False,block2_su2,N2_diss
raw_qubit,1,-107.29940953283321,0.15574606487254528,False,0.492201583001588,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.29940953283321, -107.29940953283321, -107.29940953283321, -107.29940953283321, -107.29940953283321, -107.29940953283321, -107.29940953283321]","[0.0728217500000028, 0.06569266699807486, 0.07049470899801236, 0.059503500000573695, 0.05729616600001464, 0.05135841599985724, 0.07879550000507152]",,False,block2_pauli,N2_diss
raw_qubit,2,-107.2994095328321,0.15574606487365372,False,0.47254433300258825,2,True,False,False,100,7,1e-06,0.0,0.0,"[-107.29940953283204, -107.29940953283207, -107.29940953283207, -107.2994095328321, -107.2994095328321, -107.2994095328321, -107.2994095328321]","[0.07485445799829904, 0.07500862500455696, 0.06350216600549174, 0.04809795799519634, 0.05053504199895542, 0.047852083000179846, 0.06547070799570065]",,False,block2_pauli,N2_diss
raw_qubit,3,-107.29940953279726,0.15574606490849874,False,0.3804823749960633,3,True,False,False,100,7,1e-06,0.0,0.0,"[-107.29940953279734, -107.29940953279747, -107.2994095327973, -107.29940953279726, -107.29940953279723, -107.29940953279726, -107.29940953279726]","[0.07010199999785982, 0.05209770799410762, 0.04740250000031665, 0.04634116699890001, 0.04377483300049789, 0.05163991599692963, 0.041431833000387996]",,False,block2_pauli,N2_diss
raw_qubit,4,-107.29940953281694,0.1557460648888167,False,0.36727287500252714,4,True,False,False,100,7,1e-06,1.4210854715202004e-14,0.0,"[-107.29940953281684, -107.29940953281695, -107.29940953281692, -107.29940953281694, -107.29940953281694, -107.29940953281692, -107.29940953281694]","[0.0684097919947817, 0.05123379200085765, 0.04417924999870593, 0.044753041001968086, 0.044315708000794984, 0.044614499995077495, 0.041394666994165163]",,False,block2_pauli,N2_diss
raw_qubit,5,-107.30470350049163,0.1504520972141279,False,1.0472891249955865,5,True,False,False,100,18,1e-06,2.395406255573107e-07,0.0,"[-107.2998811480359, -107.30016072629648, -107.30021991826172, -107.30023322771618, -107.30023875071039, -107.30024695382102, -107.30028291197024, -107.30050120892224, -107.3013659610973, -107.30180148881473, -107.30183950686093, -107.30184248193139, -107.30194600046332, -107.30462954381917, -107.30469930987988, -107.3047017312501, -107.304703260951, -107.30470350049163]","[0.09607179199520033, 0.05824820899579208, 0.05127958299999591, 0.05312525000044843, 0.056082333001540974, 0.0570727079975768, 0.05092750000039814, 0.05122945800394518, 0.05108733299857704, 0.05379029100004118, 0.06853316699562129, 0.05457300000125542, 0.050411625001288485, 0.05165212500287453, 0.06446629199490417, 0.049806000002718065, 0.0485921670042444, 0.04736054199747741]",,False,block2_pauli,N2_diss
raw_qubit,6,-107.40988457850929,0.0452710191964627,False,0.6692932500009192,6,True,False,False,100,11,1e-06,3.7014541476310114e-07,0.0,"[-107.30184246136965, -107.30184274247654, -107.3018427451239, -107.30469209591595, -107.3047018204778, -107.40291901776433, -107.40960421918355, -107.40987502827889, -107.40988318078271, -107.40988420836388, -107.40988457850929]","[0.08205124999949476, 0.05351570800121408, 0.051884041997254826, 0.05678687500039814, 0.06511270799819613, 0.06618179200449958, 0.05722299999615643, 0.053260084001522046, 0.050576749999891035, 0.05111558400676586, 0.05197608400339959]",,False,block2_pauli,N2_diss
raw_qubit,7,-107.42574504396293,0.029410553742820866,False,0.6396679999961634,7,True,False,False,100,9,1e-06,1.3938958431936044e-08,0.0,"[-107.301841919466, -107.30200783585396, -107.30462926465543, -107.3132497371235, -107.39629201414914, -107.42552685813077, -107.42573825886167, -107.42574503002398, -107.42574504396293]","[0.0913665830012178, 0.05916520900063915, 0.07669924999936484, 0.06686258300032932, 0.061666333000175655, 0.07814820900239283, 0.058026250000693835, 0.056001124998147134, 0.06297608399472665]",,False,block2_pauli,N2_diss
