frame,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,dataset_tag,fiedler,backend,system
raw_fermionic_su2,1,-147.35692499163127,0.29155371134760344,False,0.09443179100344423,1,True,False,False,100,7,1e-06,0.0,0.0,"[-147.5953120727894, -147.35692499163127, -147.35692499163127, -147.35692499163127, -147.35692499163127, -147.35692499163127, -147.35692499163127]","[0.01657554199482547, 0.010317209002096206, 0.008407333996728994, 0.014706792004290037, 0.010229125000478234, 0.01654995799617609, 0.011095166999439243]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,2,-147.51897782197233,0.12950088100654966,False,0.10297133299900452,2,True,False,False,100,7,1e-06,5.684341886080802e-14,0.0,"[-147.59679914118078, -147.5189778219712, -147.51897782197238, -147.51897782197233, -147.51897782197221, -147.51897782197227, -147.51897782197233]","[0.02140450000297278, 0.011549542003194802, 0.01115912500245031, 0.011175583000294864, 0.019624417000159156, 0.010573665997071657, 0.009772459001396783]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,3,-147.58145715158287,0.06702155139601018,False,0.1224439999932656,3,True,False,False,100,7,1e-06,4.920637479699508e-07,0.0,"[-147.5982326135009, -147.58149592423712, -147.58145804390222, -147.58145804387317, -147.58145764365946, -147.58145764364662, -147.58145715158287]","[0.020113874998060055, 0.016232125002716202, 0.017007542002829723, 0.013767999997071456, 0.011614875002123881, 0.019515457999659702, 0.016881791001651436]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,4,-147.58407798560438,0.06440071737449671,False,0.21241983399522724,4,True,False,False,100,8,1e-06,3.581135388230905e-12,0.0,"[-147.5989373397984, -147.58400795598192, -147.58518805132422, -147.58519778973476, -147.58520182564808, -147.58520325109703, -147.58407798560796, -147.58407798560438]","[0.0181553750007879, 0.02476287500030594, 0.02887308299978031, 0.02158883299853187, 0.033152041003631894, 0.026163041999097914, 0.017798333006794564, 0.026339709002058953]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,5,-147.58978556111765,0.05869314186122665,False,0.23748504200193565,5,True,False,False,100,7,1e-06,1.7916886463353876e-07,0.0,"[-147.5990860320635, -147.58976896510734, -147.58977711743808, -147.58977711744456, -147.58978538194407, -147.5897853819488, -147.58978556111765]","[0.061018790998787154, 0.02712266700109467, 0.021378874997026287, 0.04853637499763863, 0.014149582995742094, 0.02919616700091865, 0.02487525000469759]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,6,-147.5935007262771,0.054977976701763964,False,0.15482508299464826,6,True,False,False,100,8,1e-06,2.6716406864579767e-12,0.0,"[-147.59912836954072, -147.59558810481212, -147.5934880167332, -147.59348801673883, -147.5934961508401, -147.59349615084278, -147.59350072627444, -147.5935007262771]","[0.019620625003881287, 0.02212633399904007, 0.01814175000617979, 0.01846520799881546, 0.016396790997532662, 0.019665292005811352, 0.015539832995273173, 0.01741675000084797]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,7,-147.59766802776136,0.050810675217519474,False,0.12994329199864296,7,True,False,False,100,8,1e-06,7.437961357936729e-10,0.0,"[-147.59912912849938, -147.59766314540718, -147.5976644522782, -147.597666775469, -147.59766686914168, -147.5976668879528, -147.59766802701756, -147.59766802776136]","[0.021699500000977423, 0.01570487499702722, 0.01344937500107335, 0.01470224999502534, 0.013987999998789746, 0.014297209003416356, 0.012393042001349386, 0.012920500004838686]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,8,-147.5991076894922,0.049371013486677384,False,0.1128514170050039,8,True,False,False,100,7,1e-06,2.4379244223382557e-07,0.0,"[-147.5991334203615, -147.5991069440376, -147.59910694407017, -147.59910697057245, -147.5991074455075, -147.59910744569976, -147.5991076894922]","[0.018216584001493175, 0.014946750001399778, 0.014063832997635473, 0.017241249996004626, 0.0137649579992285, 0.01515987500170013, 0.012791084001946729]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,9,-147.59915234755152,0.049326355427353974,False,0.12601645899849245,9,True,False,False,100,7,1e-06,1.1778894304370624e-07,0.0,"[-147.599142072439, -147.5991489847982, -147.59915159224715, -147.59915180711573, -147.59915222713641, -147.59915222976258, -147.59915234755152]","[0.018117874999006744, 0.01816129199869465, 0.016134500001498964, 0.01751466700079618, 0.017244499998923857, 0.01731479199952446, 0.01471020899771247]",,False,block2_su2,O2_1.7500_sto_3g
raw_fermionic_su2,10,-147.59915236337685,0.049326339602032476,False,0.13145679100125562,10,True,False,False,100,7,1e-06,9.458744898438454e-11,0.0,"[-147.5991473492187, -147.5991499553332, -147.59915181009848, -147.59915234509066, -147.59915234508924, -147.59915236328226, -147.59915236337685]","[0.020765749999554828, 0.018833542002539616, 0.01631008300319081, 0.017509290999441873, 0.018018415998085402, 0.01766966700233752, 0.014799625001614913]",,False,block2_su2,O2_1.7500_sto_3g
