system,frame,first_converged_bond_dim,converged_within_grid,mpo_bond_dimension,first_converged_dmrg_seconds
F2_corr,raw_fermionic_su2,3,True,87,0.10606108399952063
F2_corr,raw_qubit,4,True,369,0.4075366250035586
F2_corr,seniority_Nover2,2,True,416,0.45288308399904054
F2_corr,HCT_Nover2_Comm,5,True,884,0.5554181250045076
F2_corr,HCT_N_Comm,2,True,726,0.5101105829962762
F2_corr,Pauli_BLISS+HCT_N_Comm,4,True,607,1.3831255830009468
F2_corr,BS_Nover2_Comm,2,True,706,0.47371087499777786
F2_corr,BS_N_Comm,2,True,1112,0.7180694169946946
F2_corr,HCT_N_Comm_Fiedler,2,True,581,0.4922138330002781
F2_corr,BS_N_Comm_Fiedler,2,True,1095,0.5746975830043084
F2_diss,raw_fermionic_su2,1,True,87,0.08807945900480263
F2_diss,raw_qubit,2,True,371,0.5388049999965006
F2_diss,seniority_Nover2,1,True,416,0.49869604199921014
F2_diss,HCT_Nover2_Comm,1,True,897,0.6346277499978896
F2_diss,HCT_N_Comm,1,True,851,0.5752059160004137
F2_diss,Pauli_BLISS+HCT_N_Comm,2,True,810,7.58085199999914
F2_diss,BS_Nover2_Comm,2,True,806,0.5431179160004831
F2_diss,BS_N_Comm,1,True,1136,0.6799998330025119
F2_diss,HCT_N_Comm_Fiedler,1,True,744,0.5600624590006191
F2_diss,BS_N_Comm_Fiedler,1,True,1317,0.9763529170013499
F2_eqm,raw_fermionic_su2,3,True,87,0.15469816700351657
F2_eqm,raw_qubit,5,True,364,0.3884152499958873
F2_eqm,seniority_Nover2,3,True,416,0.39864745900558773
F2_eqm,HCT_Nover2_Comm,4,True,645,0.46637616700172657
F2_eqm,HCT_N_Comm,2,True,481,0.46281287500460166
F2_eqm,Pauli_BLISS+HCT_N_Comm,6,True,888,1.909530833007011
F2_eqm,BS_Nover2_Comm,3,True,654,0.4549720829963917
F2_eqm,BS_N_Comm,2,True,939,0.5895633340041968
F2_eqm,HCT_N_Comm_Fiedler,2,True,764,0.4877563749978435
F2_eqm,BS_N_Comm_Fiedler,2,True,709,0.5006577499952982
H2O_corr,raw_fermionic_su2,5,True,53,0.07394487500278046
H2O_corr,raw_qubit,,False,166,
H2O_corr,seniority_Nover2,5,True,198,0.6806734579949989
H2O_corr,HCT_Nover2_Comm,5,True,459,0.6705952499978594
H2O_corr,HCT_N_Comm,4,True,390,0.5754596660044626
H2O_corr,Pauli_BLISS+HCT_N_Comm,4,True,488,0.8475994590044138
H2O_corr,BS_Nover2_Comm,,False,253,
H2O_corr,BS_N_Comm,4,True,452,0.4956640839955071
H2O_corr,HCT_N_Comm_Fiedler,4,True,460,0.7510893340004259
H2O_corr,BS_N_Comm_Fiedler,4,True,485,0.9911723749974044
H2O_diss,raw_fermionic_su2,2,True,53,0.062222375003329944
H2O_diss,raw_qubit,3,True,165,0.2570334999982151
H2O_diss,seniority_Nover2,2,True,200,0.26238537499739323
H2O_diss,HCT_Nover2_Comm,1,True,331,0.23596729199925903
H2O_diss,HCT_N_Comm,1,True,426,0.32588733300508466
