frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,symmetry_count,n_symmetries,reference_energy
new_HCT_Nover2_Comm,block2_pauli,1,-107.07206668761792,0.3830889100878352,False,0.6779819589999931,1,True,False,False,100,7,1e-06,1.2931877790833823e-12,0.0,"[-107.29205355376953, -107.02883133040697, -107.07206668761643, -107.07206668761643, -107.07206668761758, -107.07206668761663, -107.07206668761792]","[0.14558100000002128, 0.07391987500000141, 0.0711140410000155, 0.07095175000000609, 0.0708415420000108, 0.07423370800000839, 0.0758009159999915]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,2,-107.31013556130627,0.14502003639948668,False,0.727771166999986,2,True,False,False,100,7,1e-06,2.8303901444814983e-09,0.0,"[-107.31664788480157, -107.31072853204594, -107.31034046899015, -107.31017408988305, -107.31013695861436, -107.31013556413666, -107.31013556130627]","[0.15781579200000806, 0.07579712499997981, 0.08652458400001706, 0.09285970800002019, 0.09308687499998314, 0.07687925000001883, 0.06888087499999074]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,3,-107.35050030392105,0.10465529378470251,False,0.7748063749999972,3,True,False,False,100,8,1e-06,8.847678145684768e-11,0.0,"[-107.3986269630736, -107.35351108892146, -107.35174147019599, -107.35174147012324, -107.35104066171272, -107.35104066163086, -107.35050030400953, -107.35050030392105]","[0.17285662500000853, 0.07880825000000868, 0.07747395799998458, 0.07755929200001788, 0.07682783300001006, 0.07728466699998648, 0.07272000000000389, 0.07279891600001065]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,4,-107.42869647471349,0.026459122992264383,False,0.8260606249999967,4,True,False,False,100,8,1e-06,1.693933882052079e-11,0.0,"[-107.39924003725949, -107.42503820941285, -107.42852775042309, -107.42866482411392, -107.4286939648587, -107.42869396486816, -107.42869647473043, -107.42869647471349]","[0.1717378339999982, 0.0872840420000216, 0.08662649999999417, 0.08683000000002039, 0.08247500000001651, 0.08401629200000116, 0.08076787499999227, 0.07817900000000577]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,5,-107.43121965968695,0.02393593801880911,False,0.9276891670000111,5,True,False,False,100,8,1e-06,2.587418066468672e-07,0.0,"[-107.40142227241262, -107.42698773779583, -107.42872403065712, -107.42936163229905, -107.42905878673196, -107.42959762751971, -107.43121940094514, -107.43121965968695]","[0.1870328329999893, 0.09071504100000993, 0.08925116700001468, 0.09063725000001455, 0.09107883400000105, 0.09060604100000091, 0.0870534169999928, 0.1312231670000017]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,6,-107.43049152072783,0.024664076977927607,False,0.9381264170000065,6,True,False,False,100,8,1e-06,6.907316958404408e-07,0.0,"[-107.40912894381063, -107.4276869967955, -107.4295629868297, -107.43001859324558, -107.43044744787628, -107.43043820316882, -107.43049221145952, -107.43049152072783]","[0.1974678330000188, 0.10093212499998572, 0.09692599999999629, 0.09948024999999916, 0.09759191699998837, 0.09726249999999936, 0.08994920799997885, 0.08875912500002414]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,7,-107.43196940234819,0.023186195357567385,False,0.8900012919999938,7,True,False,False,100,7,1e-06,1.0443679343552503e-07,0.0,"[-107.42937249389126, -107.43202884944313, -107.4320880010336, -107.43200221921418, -107.43200464376531, -107.4319692979114, -107.43196940234819]","[0.20343412500000113, 0.10605579200000648, 0.10363100000000713, 0.10344087499998977, 0.1035040419999973, 0.10510700000000384, 0.09630379200001471]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,8,-107.43404850016853,0.021107097537225172,False,0.8731755000000021,8,True,False,False,100,7,1e-06,4.8268503860526835e-08,0.0,"[-107.43074899041935, -107.43399726508451, -107.43404766388039, -107.43404766388352, -107.4340484518584, -107.43404845190003, -107.43404850016853]","[0.21300966699999435, 0.09913749999998345, 0.10122058400000356, 0.098109667000017, 0.10030100000000175, 0.09835837500000366, 0.0951167919999989]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,9,-107.4395216504779,0.015633947227854605,False,1.0427092500000015,9,True,False,False,100,7,1e-06,6.234557758943993e-09,0.0,"[-107.43651717688701, -107.43944248332889, -107.43952162939394, -107.43952162937492, -107.43952165668756, -107.43952165671246, -107.4395216504779]","[0.26700741600001265, 0.12494687500000623, 0.12310687499999062, 0.11898458299998538, 0.11507766699998001, 0.11729079099998785, 0.1083392920000108]",N2_diss,N/2,10,-107.45515559770575
new_HCT_Nover2_Comm,block2_pauli,10,-107.4414774731442,0.01367812456155093,False,1.2644587919999992,10,True,False,False,100,8,1e-06,3.1178615245153196e-11,0.0,"[-107.43846288725882, -107.44118574831245, -107.44133640154362, -107.44133640163446, -107.44136619692783, -107.44136619701668, -107.44147747311303, -107.4414774731442]","[0.2890181660000053, 0.13453633299999979, 0.13238679199997705, 0.12465158399999154, 0.13820729200000414, 0.13092100000000073, 0.12808387500001572, 0.11714720800000578]",N2_diss,N/2,10,-107.45515559770575
