frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,symmetry_count,n_symmetries,reference_energy
new_HCT_Nover2_Comm,block2_pauli,1,-107.52033719147875,0.13378525604379377,False,0.6107732500000012,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.64167024788324, -107.52033109824134, -107.52033719148042, -107.52033719147875, -107.52033719147875, -107.52033719147875, -107.52033719147875]","[0.12218720900000335, 0.06948670799999945, 0.0659989169999946, 0.06725166700000074, 0.06579558300000343, 0.06611533400000269, 0.06207004200000199]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,2,-107.59712291164828,0.05699953587425455,False,0.5785897080000026,2,True,False,False,100,7,1e-06,7.0912165028858e-11,0.0,"[-107.64167034212223, -107.59710290680896, -107.5971232679479, -107.59712290796655, -107.59712291188056, -107.59712291157737, -107.59712291164828]","[0.1009194579999999, 0.07231437500000482, 0.068974125000004, 0.07030558299999967, 0.06919958299999962, 0.06978829199999836, 0.06455133299999716]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,3,-107.60530192235137,0.048820525171166196,False,0.6714050420000035,3,True,False,False,100,8,1e-06,2.924737430021196e-08,0.0,"[-107.64167034212223, -107.6041220189231, -107.60463555131597, -107.60463596406763, -107.6049897287232, -107.60498975005282, -107.605301893104, -107.60530192235137]","[0.11135237499999562, 0.07286049999999733, 0.07116054200000121, 0.07170170799999909, 0.07053395800000573, 0.07154866700000184, 0.06947525000000354, 0.0671432079999974]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,4,-107.6185402762357,0.035582171286833386,False,0.6395558749999992,4,True,False,False,100,7,1e-06,6.817344910814427e-09,0.0,"[-107.64536920141315, -107.61618943282616, -107.61823774544656, -107.61853646647972, -107.61854034220315, -107.61854026941836, -107.6185402762357]","[0.12063895799999358, 0.08025820900000014, 0.07707525000000004, 0.07732066699999507, 0.07566091600000391, 0.07649991599999595, 0.07270949999999488]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,5,-107.62092532887323,0.033197118649312074,False,0.6836929170000019,5,True,False,False,100,7,1e-06,1.0856950893867179e-09,0.0,"[-107.64635235126566, -107.62089400260135, -107.62095367331645, -107.62092582576193, -107.6209261162725, -107.62092532778753, -107.62092532887323]","[0.12537575000000345, 0.0837804159999962, 0.08357829199999856, 0.08400837500000335, 0.0846047499999969, 0.08463174999999978, 0.07991033300000083]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,6,-107.63107732548522,0.0230451220373169,False,0.7309078329999963,6,True,False,False,100,7,1e-06,2.0975221559638157e-11,0.0,"[-107.64746010785899, -107.6310212189731, -107.63105260392697, -107.63107657460051, -107.63107657487174, -107.6310773255062, -107.63107732548522]","[0.1315203750000009, 0.09151395800000017, 0.08986470800000035, 0.0903800419999996, 0.09015995900000462, 0.09016337500000304, 0.08515116600000283]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,7,-107.63674853092625,0.01737391659628429,False,0.8683943750000012,7,True,False,False,100,8,1e-06,5.24025608683587e-07,0.0,"[-107.64856394072419, -107.63641277918967, -107.63625411372797, -107.63634878025897, -107.63664471189128, -107.63664661155636, -107.63674800690065, -107.63674853092625]","[0.13625254200000114, 0.0993897079999968, 0.09657791700000473, 0.09661220799999626, 0.09776654200000223, 0.09794916599999937, 0.09297262500000159, 0.0918884160000033]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,8,-107.64064658222244,0.01347586530009437,False,0.8258312500000002,8,True,False,False,100,8,1e-06,6.332220436888747e-08,0.0,"[-107.6488711092006, -107.6399612229848, -107.6402382949317, -107.64024200573465, -107.64029805368367, -107.64029812281183, -107.64064651890024, -107.64064658222244]","[0.14015416599999497, 0.09066904099999817, 0.09148191699999586, 0.09098041600000073, 0.0908344170000035, 0.09027708399999312, 0.08685966600000228, 0.08473458299999947]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,9,-107.64202104393456,0.012101403587976733,False,1.058080375000003,9,True,False,False,100,8,1e-06,3.970232285155362e-07,0.0,"[-107.6488711092006, -107.64150671733432, -107.64153257425542, -107.64153643673764, -107.641652252075, -107.64165230478764, -107.64202144095779, -107.64202104393456]","[0.16842650000000248, 0.1588475410000001, 0.1095868330000016, 0.11030804199999977, 0.12265299999999968, 0.11551395800000108, 0.10454579099999961, 0.10555045899999982]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,10,-107.64534503716575,0.008777410356785253,False,0.9181248340000039,10,True,False,False,100,7,1e-06,1.1781568787228025e-07,0.0,"[-107.64904639333129, -107.64590970666774, -107.64537132408218, -107.6453539280093, -107.64534525455446, -107.64534515498144, -107.64534503716575]","[0.17437929099999394, 0.1182562919999981, 0.11397525000000286, 0.11329266699999607, 0.1137677090000011, 0.1125860000000003, 0.10939283300000113]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,12,-107.648634752526,0.005487694996546111,False,1.0023606660000013,12,True,False,False,100,7,1e-06,6.44790532078332e-09,0.0,"[-107.64943326113949, -107.6484427559082, -107.64863045659332, -107.6486344054671, -107.64863472795062, -107.64863474607809, -107.648634752526]","[0.1867989169999973, 0.11949512500000026, 0.1223803330000024, 0.15460095800000317, 0.12097108400000423, 0.12271412500000167, 0.11662312499999672]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,14,-107.65076616234606,0.0033562851764799007,False,1.229237083000001,14,True,False,False,100,7,1e-06,3.969117301494407e-08,0.0,"[-107.64961686263243, -107.65045169707594, -107.6507724176666, -107.65076774109008, -107.65076861933593, -107.65076612265489, -107.65076616234606]","[0.2076454159999983, 0.16169679099999712, 0.1547729170000025, 0.162198042, 0.16056991699999656, 0.16498179200000607, 0.15915979200000407]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,16,-107.65121922963819,0.002903217884352216,False,1.270194250000003,16,True,False,False,100,7,1e-06,8.466676604257373e-08,0.0,"[-107.65082410571459, -107.65111854095531, -107.65121495720805, -107.6512175117699, -107.6512187249349, -107.65121914497142, -107.65121922963819]","[0.25064504200000215, 0.16009224999999816, 0.16037337499999893, 0.1583219999999983, 0.16139704199999727, 0.16046599999999955, 0.1599398330000028]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,18,-107.6519722052093,0.002150242313234685,False,1.7457987499999987,18,True,False,False,100,7,1e-06,1.1957583012645046e-07,0.0,"[-107.65148466336996, -107.65173356108671, -107.65196245640226, -107.65196925405247, -107.65197144373246, -107.65197208563347, -107.6519722052093]","[0.3526515410000002, 0.2752928749999981, 0.2194111250000006, 0.21224341700000338, 0.21340191699999878, 0.21035758299999685, 0.20411495799999813]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,20,-107.65252731416896,0.0015951333535753065,True,1.8992092499999984,20,True,False,False,100,7,1e-06,1.3435322898658342e-07,0.0,"[-107.65171602455015, -107.65202696377824, -107.65249062570192, -107.65249413908465, -107.65252668457771, -107.65252717981573, -107.65252731416896]","[0.3683115420000007, 0.28034195800000106, 0.24978316700000391, 0.23997620900000527, 0.23534100000000535, 0.24205254200000326, 0.21868116699999973]",N2_eqm,N/2,10,-107.65412244752254
