frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
seniority_Nover2,block2_pauli,1,-107.37247880025583,0.20915612192659694,False,0.25522158300009323,1,True,False,False,100,3,1e-06,0.0,0.0,"[-107.52694981960472, -107.37247880025583, -107.37247880025583]","[0.08456250000017462, 0.07067441599792801, 0.06566866699722596]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-107.47677315517178,0.10486176701064664,False,0.6112468330029515,2,True,False,False,100,8,1e-06,7.662293910470908e-09,0.0,"[-107.52694981960472, -107.48350117229928, -107.47733313550668, -107.47731569107623, -107.47678256931096, -107.47678364507951, -107.47677316283408, -107.47677315517178]","[0.09787362499628216, 0.06687741699715843, 0.06767891700292239, 0.06285283399483887, 0.08319416700396687, 0.0683078750007553, 0.06299325000145473, 0.05714233300386695]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-107.5066816145875,0.07495330759492447,False,0.32383937499980675,3,True,False,False,100,4,1e-06,1.3031353773840237e-11,0.0,"[-107.54111956419061, -107.5046412555392, -107.50668161460054, -107.5066816145875]","[0.09815195800183574, 0.06014425000466872, 0.06305762500414858, 0.0652341669992893]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,4,-107.52801037208243,0.05362455009999678,False,0.7111082909977995,4,True,False,False,100,9,1e-06,1.663994311229544e-07,0.0,"[-107.55537535830628, -107.52600134430975, -107.52803803219537, -107.52800431607454, -107.52801675553998, -107.52801008671085, -107.52801149553477, -107.528010205683, -107.52801037208243]","[0.10170400000060908, 0.07264187500550179, 0.10569024999858811, 0.06181404100061627, 0.06812324999918928, 0.07461916700412985, 0.060512666997965425, 0.06644762500218349, 0.05947112500143703]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,5,-107.54795801257455,0.03367690960787684,False,0.33491637500264915,5,True,False,False,100,4,1e-06,5.510969458555337e-11,0.0,"[-107.56074511240269, -107.54354151320088, -107.54795801251944, -107.54795801257455]","[0.10094279100303538, 0.0640542910041404, 0.06676608300040243, 0.06688699999358505]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,6,-107.55611843159525,0.02551649058717942,False,0.6125288750045002,6,True,False,False,100,8,1e-06,6.949580324544513e-07,0.0,"[-107.56578934460478, -107.5602803868758, -107.55565163846151, -107.55612128354106, -107.55612879221403, -107.55612721754953, -107.55611773663722, -107.55611843159525]","[0.0969501660001697, 0.07005070799641544, 0.06857966700044926, 0.06746595799631905, 0.07308829099929426, 0.06794204199832166, 0.06426108299638145, 0.06518783399951644]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,7,-107.57037570745999,0.01125921472244329,False,0.33616274999803863,7,True,False,False,100,4,1e-06,2.6119550966541283e-11,0.0,"[-107.56957638743611, -107.56918904958262, -107.57037570743387, -107.57037570745999]","[0.09690545799821848, 0.06810204200155567, 0.06758283399540232, 0.06733520800480619]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,8,-107.57592297715996,0.005711945022468967,False,0.394811625003058,8,True,False,False,100,4,1e-06,6.210143510543276e-12,0.0,"[-107.57401643566348, -107.57609821136322, -107.57592297716617, -107.57592297715996]","[0.10215025000070455, 0.09947158399882028, 0.08012470800167648, 0.07690262499818346]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,9,-107.57700594437446,0.0046289778079682264,False,0.40526170800148975,9,True,False,False,100,4,1e-06,3.439026841078885e-12,0.0,"[-107.5752333444842, -107.57667595996078, -107.5770059443779, -107.57700594437446]","[0.12463275000482099, 0.08197179099806817, 0.08250391700130422, 0.07939387499936856]",N2_corr,Seniority N/2,False
seniority_Nover2,block2_pauli,10,-107.57756093006476,0.004073992117668013,False,0.41539929099963047,10,True,False,False,100,4,1e-06,7.240430477395421e-11,0.0,"[-107.57645745827782, -107.57720274737233, -107.57756092999236, -107.57756093006476]","[0.12678774999949383, 0.08361524999781977, 0.08535820899851387, 0.0853765830033808]",N2_corr,Seniority N/2,False
