frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
seniority_Nover2,block2_pauli,1,-107.07206668762069,0.38308891008506407,False,0.2721199589941534,1,True,False,False,100,3,1e-06,0.0,0.0,"[-107.340316756859, -107.07206668762069, -107.07206668762069]","[0.09435541699349415, 0.06923608299985062, 0.06795433300430886]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-107.28263927101779,0.172516326687969,False,0.48794516699854285,2,True,False,False,100,6,1e-06,6.958013898383797e-08,0.0,"[-107.36971406460839, -107.27212938638138, -107.26771294626066, -107.26797624757552, -107.28263920143765, -107.28263927101779]","[0.10387991600146051, 0.05714920799800893, 0.06562612499692477, 0.08034087499981979, 0.05966075000469573, 0.07547579200036125]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-107.2998796170508,0.15527598065494885,False,0.5827729169977829,3,True,False,False,100,7,1e-06,3.649432755992166e-07,0.0,"[-107.38295579667755, -107.30350032692769, -107.29394804433261, -107.299686160866, -107.29976181036554, -107.29987925210753, -107.2998796170508]","[0.1435674160020426, 0.07169499999872642, 0.066672707995167, 0.06119829200179083, 0.061270917001820635, 0.06243062499561347, 0.060885332997713704]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,4,-107.32415928919505,0.13099630851070287,False,0.3795609590015374,4,True,False,False,100,4,1e-06,1.2657181969188969e-09,0.0,"[-107.39494813095112, -107.33527711323813, -107.32415929046077, -107.32415928919505]","[0.1403165829979116, 0.06571729099960066, 0.06346187500457745, 0.06581462499889312]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,5,-107.36004883351052,0.09510676419523634,False,0.471467000003031,5,True,False,False,100,4,1e-06,2.071942617476452e-11,0.0,"[-107.39666872928903, -107.35382624210054, -107.3600488334898, -107.36004883351052]","[0.15062345800106414, 0.07036304099892732, 0.07333945800201036, 0.13080883299699053]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,6,-107.3713590901081,0.08379650759765411,False,0.7717808329980471,6,True,False,False,100,9,1e-06,3.5025986733216996e-07,0.0,"[-107.39773728675563, -107.36925040152141, -107.37118439240939, -107.37128829888243, -107.37134357549411, -107.3713539605889, -107.37135728927916, -107.37135873984823, -107.3713590901081]","[0.1557705410014023, 0.07387308299803408, 0.07309212499967543, 0.07544070899893995, 0.07052491699869279, 0.0712974169946392, 0.06959466699481709, 0.06789349999598926, 0.0661281249995227]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,7,-107.40655810788081,0.048597489824942386,False,0.253996792001999,7,True,False,False,100,2,1e-06,6.293987553362967e-11,0.0,"[-107.40655810781787, -107.40655810788081]","[0.14169041700370144, 0.07124670799385058]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,8,-107.44631614608554,0.008839451620218597,False,0.4091864579968387,8,True,False,False,100,4,1e-06,3.517186542012496e-11,0.0,"[-107.42494868160802, -107.44457049793834, -107.44631614605036, -107.44631614608554]","[0.15596137499960605, 0.06962766699871281, 0.06970316699880641, 0.07152650000352878]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,9,-107.44846048594196,0.006695111763789896,False,0.5029112920019543,9,True,False,False,100,4,1e-06,3.367972567502875e-12,0.0,"[-107.43399780272642, -107.44630737083784, -107.4484604859386, -107.44846048594196]","[0.18435912499990081, 0.10283879099733895, 0.08536258400272345, 0.0885440829952131]",N2_diss,Seniority N/2,False
seniority_Nover2,block2_pauli,10,-107.45015783421889,0.004997763486869644,False,0.5197226250020321,10,True,False,False,100,4,1e-06,9.180212146020494e-11,0.0,"[-107.44304362951364, -107.44782667915919, -107.45015783431069, -107.45015783421889]","[0.20608825000090292, 0.09306829099659808, 0.08809866600495297, 0.08726345899776788]",N2_diss,Seniority N/2,False
