frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
seniority_Nover2,block2_pauli,1,-107.49845898787564,0.15566345964690242,False,0.27326583299873164,1,True,False,False,100,3,1e-06,0.0,0.0,"[-107.6416702478833, -107.49845898787564, -107.49845898787564]","[0.09280633299931651, 0.07199191700055962, 0.069478874997003]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-107.56733578932798,0.08678665819455489,False,0.27670724999916274,2,True,False,False,100,3,1e-06,9.626205610402394e-09,0.0,"[-107.6416702478833, -107.56733577970178, -107.56733578932798]","[0.09313487500185147, 0.06566404200566467, 0.06617587499931687]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-107.60759317566445,0.04652927185809119,False,0.5803786670003319,3,True,False,False,100,7,1e-06,9.74519309693278e-08,0.0,"[-107.6416702478833, -107.60678850444701, -107.60755140794166, -107.60759263799505, -107.60759163157051, -107.60759327311638, -107.60759317566445]","[0.11284945899387822, 0.06355574999906821, 0.06637541600503027, 0.06431770799827063, 0.08120229199994355, 0.07224879199930001, 0.06335204200149747]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,4,-107.62208236322876,0.03204008429378291,False,0.36532470900419867,4,True,False,False,100,4,1e-06,7.204903340607416e-12,0.0,"[-107.6416702478833, -107.62383709536694, -107.62208236323596, -107.62208236322876]","[0.09728704199369531, 0.10436587499862071, 0.06451266699878033, 0.05975816700083669]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,5,-107.62928510021314,0.02483734730940057,False,0.3327500420055003,5,True,False,False,100,4,1e-06,6.821210263296962e-13,0.0,"[-107.64167024788331, -107.62971204057001, -107.62928510021246, -107.62928510021314]","[0.09678962500038324, 0.06505287500476697, 0.06117762500070967, 0.06454279200261226]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,6,-107.64058298064425,0.013539466878285111,False,0.47254024999710964,6,True,False,False,100,6,1e-06,3.5541323484267195e-07,0.0,"[-107.64777818677112, -107.63989493805343, -107.64057722316707, -107.64057841767816, -107.64058333605749, -107.64058298064425]","[0.09648700000252575, 0.0664465840018238, 0.06937445899529848, 0.064884625004197, 0.06440712500625523, 0.06568054200033657]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,7,-107.64575844719005,0.008364000332491628,False,0.3366803329990944,7,True,False,False,100,4,1e-06,1.2079226507921703e-12,0.0,"[-107.64973887778213, -107.64601377240263, -107.64575844719126, -107.64575844719005]","[0.09416649999911897, 0.06805650000023888, 0.06839337500423426, 0.06802574999892386]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,8,-107.64829560327794,0.005826844244595009,False,0.35189366700069513,8,True,False,False,100,4,1e-06,1.0828671292983927e-11,0.0,"[-107.65008352358305, -107.64814942833178, -107.64829560328877, -107.64829560327794]","[0.10034887499932665, 0.07147624999925029, 0.07449049999559065, 0.06763266599591589]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,9,-107.64957926103435,0.004543186488191964,False,0.40216958399832947,9,True,False,False,100,4,1e-06,1.498237907071598e-07,0.0,"[-107.65016172062437, -107.65006036329956, -107.64957911121056, -107.64957926103435]","[0.1129434160029632, 0.0787302080061636, 0.07967495800403412, 0.0923296670007403]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,10,-107.6508369421895,0.0032855053330393957,False,0.403378041999531,10,True,False,False,100,4,1e-06,4.973799150320701e-12,0.0,"[-107.65059735010269, -107.65060733925783, -107.65083694219447, -107.6508369421895]","[0.11824450000131037, 0.08352874999400228, 0.08275508299993817, 0.080836792003538]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,12,-107.65177433398259,0.0023481135399521236,False,0.43582516600145027,12,True,False,False,100,4,1e-06,5.434711596308262e-07,0.0,"[-107.65098901783006, -107.65178044175181, -107.65177487745375, -107.65177433398259]","[0.12996437499532476, 0.08668979100184515, 0.09111762500106124, 0.08709720900515094]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,14,-107.65240317176068,0.001719275761857375,False,0.7318103329962469,14,True,False,False,100,6,1e-06,3.367404133314267e-10,0.0,"[-107.65134575384407, -107.65218111148698, -107.65219007382463, -107.65220166841755, -107.65240317142394, -107.65240317176068]","[0.1420400829956634, 0.10418475000187755, 0.1070992919994751, 0.10570041699975263, 0.1233032500022091, 0.1103247079954599]",N2_eqm,Seniority N/2,False
seniority_Nover2,block2_pauli,16,-107.65288759497989,0.0012348525426517654,True,0.5440930830009165,16,True,False,False,100,4,1e-06,6.252776074688882e-13,0.0,"[-107.65198080258429, -107.65283736720946, -107.65288759497926, -107.65288759497989]","[0.1572998749979888, 0.11729754099360434, 0.1201482499964186, 0.11122099999920465]",N2_eqm,Seniority N/2,False
