frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,dataset_tag,fiedler
seniority_Nover2,block2_pauli,1,-147.35692499163093,0.2915537113479445,False,0.25615804100380046,1,True,False,False,100,3,1e-06,0.0,0.0,"[-147.59326145250952, -147.35692499163093, -147.35692499163093]","[0.08383062499342486, 0.07025904100009939, 0.06120116699457867]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,2,-147.5189778219719,0.129500881006976,False,0.3222727920001489,2,True,False,False,100,4,1e-06,2.842170943040401e-14,0.0,"[-147.59330178505775, -147.51891963053262, -147.51897782197193, -147.5189778219719]","[0.08407045799685875, 0.06049408399849199, 0.06924533400160726, 0.06440899999870453]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,3,-147.57936868111165,0.06911002186723181,False,0.3190179170051124,3,True,False,False,100,4,1e-06,0.0,0.0,"[-147.5933197590308, -147.57920844999148, -147.57936868111165, -147.57936868111165]","[0.09427683299873024, 0.06231783299881499, 0.05837254200014286, 0.05881166600011056]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,4,-147.58118054795546,0.06729815502342262,False,0.3314138339992496,4,True,False,False,100,4,1e-06,1.6655121726216748e-11,0.0,"[-147.59333204054113, -147.58076653630656, -147.5811805479721, -147.58118054795546]","[0.09609095799532952, 0.07041483399370918, 0.06768337499670452, 0.058112832994083874]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,5,-147.5909396054994,0.057539097479491375,False,0.40215387500211364,5,True,False,False,100,5,1e-06,3.932567267384002e-07,0.0,"[-147.5952568630239, -147.5903455192248, -147.59094383930923, -147.59093921224266, -147.5909396054994]","[0.11338450000039302, 0.06277158299781149, 0.06128304199955892, 0.06401387499499833, 0.06224804199882783]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,6,-147.59656165573233,0.051917047246547554,False,0.41008712500479305,6,True,False,False,100,5,1e-06,8.861172773322323e-08,0.0,"[-147.59700720288697, -147.59651750692325, -147.59654746554207, -147.5965615671206, -147.59656165573233]","[0.1031520000033197, 0.06950845900428249, 0.06500004199915566, 0.06314041699806694, 0.07056550000561401]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,7,-147.59803736017477,0.05044134280410617,False,0.43764133299555397,7,True,False,False,100,5,1e-06,1.1391762200219091e-08,0.0,"[-147.59785433065778, -147.59781980523982, -147.59803408159848, -147.59803737156653, -147.59803736017477]","[0.1086688330033212, 0.07100495799386408, 0.07983233299455605, 0.07090516699827276, 0.06742654099798528]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,8,-147.5984839551701,0.04999474780876767,False,0.6664662080002017,8,True,False,False,100,8,1e-06,1.1253575848968467e-09,0.0,"[-147.598222557937, -147.59837984543879, -147.59840181501062, -147.59844543421795, -147.598474874589, -147.59847639785306, -147.59848395404475, -147.5984839551701]","[0.11539370800164761, 0.07189241699961713, 0.07401183399633737, 0.0663241670044954, 0.06860545800009277, 0.0710507920011878, 0.0804393330035964, 0.07315783300145995]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,9,-147.64549888916537,0.0029798138135106456,False,0.6450263340011588,9,True,False,False,100,6,1e-06,3.2022728646552423e-07,0.0,"[-147.59896865753913, -147.606297618381, -147.64511290613393, -147.64535393759488, -147.64549920939265, -147.64549888916537]","[0.15762499999982538, 0.10626424999645678, 0.08856820799701381, 0.07897437499923399, 0.08442941700195661, 0.08860224999807542]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,10,-147.64568236651317,0.0027963364657068723,False,0.5237364580025314,10,True,False,False,100,5,1e-06,5.5143800636869855e-09,0.0,"[-147.59908360613946, -147.6455001438357, -147.64561951625043, -147.6456823609988, -147.64568236651317]","[0.1342291250039125, 0.09810816700337455, 0.08661833299993305, 0.08165687500149943, 0.08439058400108479]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,12,-147.64572501406806,0.0027536889108148443,False,0.5527608340053121,12,True,False,False,100,5,1e-06,1.328661198840564e-07,0.0,"[-147.59914506750482, -147.64560496416158, -147.64571607911301, -147.64572488120194, -147.64572501406806]","[0.14434045900270576, 0.09362562499882188, 0.09322995800175704, 0.09456454199971631, 0.08796370899653994]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,14,-147.59915164138576,0.04932706159311806,False,0.42489783400378656,14,True,False,False,100,3,1e-06,2.2327108695208153e-07,0.0,"[-147.59914748015495, -147.59915141811467, -147.59915164138576]","[0.17886912500398466, 0.104982791999646, 0.10313783300080104]",O2_1.7500_sto_3g,Seniority N/2,False
seniority_Nover2,block2_pauli,16,-147.64595295868398,0.002525744294899823,False,0.5702341670039459,16,True,False,False,100,4,1e-06,6.207634157817665e-07,0.0,"[-147.59915206571233, -147.64587629083366, -147.64595233792056, -147.64595295868398]","[0.17607958300504833, 0.11257479200139642, 0.13318175000313204, 0.1094492500051274]",O2_1.7500_sto_3g,Seniority N/2,False
