system,benchmark,within_chemical_accuracy,converged_dmrg_bond_dimension,mpo_bond_dimension,mpo_build_seconds,converged_dmrg_seconds,source_input_dir
F2_corr,Seniority N/2,True,2,416,0.28089962500234833,0.2432998750009574,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/F2_corr/orbital_optimization_inputs
F2_diss,Seniority N/2,True,1,416,0.28096945799916284,0.28053599999839207,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/F2_diss/orbital_optimization_inputs
F2_eqm,Seniority N/2,True,3,416,0.3552910409998731,0.23388620899640955,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/F2_eqm/orbital_optimization_inputs
H2O_corr,Seniority N/2,True,4,198,0.1475738340013777,0.44319083399750525,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H2O_corr/orbital_optimization_inputs
H2O_diss,Seniority N/2,True,2,200,0.12717237500328338,0.22876212499977555,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H2O_diss/orbital_optimization_inputs
H2O_eqm,Seniority N/2,True,5,199,0.15228012499574106,0.14793650000501657,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H2O_eqm/orbital_optimization_inputs
H4chain_corr,Seniority N/2,True,4,52,0.035656416999700014,0.03608183399774134,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H4chain_corr/orbital_optimization_inputs
H4chain_diss,Seniority N/2,True,4,52,0.03919816699635703,0.03476283300551586,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H4chain_diss/orbital_optimization_inputs
H4chain_eqm,Seniority N/2,True,4,52,0.045354333000432234,0.027713499999663327,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H4chain_eqm/orbital_optimization_inputs
H4rect_corr,Seniority N/2,True,4,33,0.04559262499969918,0.022985458999755792,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H4rect_corr/orbital_optimization_inputs
H4rect_diss,Seniority N/2,True,4,37,0.0633595420003985,0.023612000004504807,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/H4rect_diss/orbital_optimization_inputs
LIH_corr,Seniority N/2,True,3,115,0.08281366699520731,0.10231279100116808,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/LIH_corr/orbital_optimization_inputs
LIH_eqm,Seniority N/2,True,2,115,0.08379441700526513,0.1785798339988105,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/LIH_eqm/orbital_optimization_inputs
N2_corr,Seniority N/2,True,16,417,0.2801093750022119,2.119466292002471,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/N2_corr/orbital_optimization_inputs
N2_diss,Seniority N/2,True,20,417,0.27830595900013577,1.426976333001221,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/N2_diss/orbital_optimization_inputs
N2_eqm,Seniority N/2,True,16,416,0.2857982919958886,0.5440930830009165,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_16_systems/N2_eqm/orbital_optimization_inputs
O2_1.2075_sto_3g,Seniority N/2,True,14,417,0.3172537919963361,0.41094000000157394,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_o2/O2_1.2075_sto_3g/orbital_optimization_inputs
O2_1.7500_sto_3g,Seniority N/2,True,18,417,0.2995686249996652,2.161597000005713,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_o2/O2_1.7500_sto_3g/orbital_optimization_inputs
O2_2.5000_sto_3g,Seniority N/2,True,4,416,0.26847387500311015,0.2760787499937578,/Users/praveenjayakumar/Jay Family Dropbox/praveen jayakumar/6.To-Fro Praveen/UToronto/codes backup/seniority/QuasiSymmetries/saved/results/pyblock2_o2/O2_2.5000_sto_3g/orbital_optimization_inputs
