system,ncore,active_electrons,active_orbitals,mpo_bond_dimension,mps_converged_bond_dimension,converged,reference_energy,dmrg_energy,absolute_error,energy_tolerance
H4chain_eqm,0,4,4,27,3,True,-2.180316614323856,-2.1803166143228023,1.0538236949741986e-12,0.0016
H4chain_corr,0,4,4,27,3,True,-1.897780645989872,-1.8977806459895348,3.3728575488112256e-13,0.0016
H4chain_diss,0,4,4,27,3,True,-1.8672913724013773,-1.867291372401371,6.217248937900877e-15,0.0016
H4rect_corr,0,4,4,27,4,True,-1.9151065495117974,-1.9151065495117985,1.1102230246251565e-15,0.0016
H4rect_diss,0,4,4,27,3,True,-2.2018255074308173,-2.2018255073910717,3.9745540192370754e-11,0.0016
LIH_eqm,0,4,6,51,3,True,-7.88232437888349,-7.88221551700932,0.00010886187416936366,0.0016
LIH_corr,0,4,6,51,2,True,-7.784278178715391,-7.7833755376604215,0.0009026410549699548,0.0016
H2O_eqm,0,10,7,53,5,True,-75.01985479624338,-75.01860774345465,0.0012470527887273875,0.0016
H2O_corr,0,10,7,53,5,True,-74.7537908683858,-74.7530669217048,0.0007239466810062822,0.0016
H2O_diss,0,10,7,53,2,True,-74.73773981628365,-74.73738804210574,0.0003517741779148764,0.0016
N2frozen_eqm,2,10,8,83,20,True,-107.67708539161352,-107.67577188125242,0.0013135103611006116,0.0016
N2frozen_corr,2,10,8,83,30,True,-107.62299159525516,-107.62298567760791,5.9176472433364324e-06,0.0016
N2frozen_diss,2,10,8,83,30,True,-107.44483810162623,-107.4448015087977,3.659282853618606e-05,0.0016
